id	chapter	lab_or_surface	current_visual_state	source_or_asset_ids	visual_decision	claim_boundary	photo_or_screenshot_priority	next_action
CH10-11AUD-001	10	Meta/Llama family	One committed SVG: Llama family open-weight map.	A-0030;data/chapter10_llama_family_tree_i0104.tsv	Keep as Figure 10.1; it is a release-and-permission map, not a rank chart.	Do not read family order as capability rank, benchmark superiority, license freedom, adoption, safety, or price-quality.	Medium; one launch-page screenshot can add texture after source-role captioning.	Use A-0044 or A-0047 only if the caption emphasizes release surface or developer artifact, not ecosystem size.
CH10-11AUD-002	10	LLaMA / Llama launch surface	Four acquisition-ready slots exist for launch pages and repository surface.	A-0044;A-0045;A-0046;A-0047	Use only one or two in final layout; avoid four Meta web-page screenshots in a row.	Do not infer current license state, availability, adoption, stars, downloads, or commercial deployment from mutable pages.	High for A-0044 or A-0047; lower for A-0045/A-0046 unless final design needs sequence texture.	Capture one release-page proof panel and one developer-surface proof panel later, with hashes and viewport metadata.
CH10-11AUD-003	10	Llama control stack	Missing schematic: weights, license, data transparency, hosting burden, safety/governance, ecosystem, benchmark permission.	C-0127;CH10LLAMA-002;CH10LLAMA-007;CH10LLAMA-009	Add one future control-stack diagram before any second family timeline.	Do not flatten "open weights" into "open source"; do not quantify ecosystem or price pressure.	No screenshot required; this is a rights-safe SVG candidate.	Queue later visual package if Chapter 10 still feels visually thin after audit.
CH10-11AUD-004	10	Code Llama bridge	Represented in Chapter 10 family map and Chapter 19 code visuals.	A-0030;A-0090;A-0091;A-0092;A-0093	Do not add another code-specific Llama figure unless render shows a bridge gap.	Do not claim coding-agent capability, productivity, security quality, or best coding model from Code Llama lineage.	Low; Chapter 19 already owns code workflow visuals.	Use cross-reference rather than duplicate benchmark/coding ladder visual grammar.
CH10-11AUD-005	11	Qwen2/Qwen3	One committed SVG: China open-model source-permission map; acquisition slots for Qwen2 and Qwen3 arXiv pages.	A-0031;A-0048;A-0049;S-0026;S-0027	Keep source-permission lane; add Qwen family mini-lane only after exact feature/spec extraction.	Do not write Qwen 3.5/3.6 as happened releases without cutoff primary source capture; no benchmark superiority chart.	High for A-0049 if Chapter 11 needs a visible primary-source proof.	Capture Qwen3 arXiv/source page before final design; leave Qwen 3.5/3.6 in gap lane.
CH10-11AUD-006	11	DeepSeek-V3/R1	One committed SVG source lane; acquisition slots for V3 and R1 arXiv pages.	A-0031;A-0050;A-0051;S-0028;S-0029	Use DeepSeek as technical/reasoning bridge to Chapter 21, not as a national scoreboard.	Do not infer cheap-frontier general law, market impact, adoption, or DeepSeek V4-era history from V3/R1 papers.	High for A-0050 or A-0051; choose one depending whether Chapter 11 emphasizes reasoning or training architecture.	Add exact numerical extraction before any MoE/training-cost chart.
CH10-11AUD-007	11	GLM/Z.ai	Source-permission map includes GLM-4, but no screenshot slot currently appears in I-0112.	A-0031;S-0030	Keep as a supported lane in Figure 11.1; defer standalone visual until source capture diversity improves.	No exact benchmark, product, adoption, multimodal superiority, or release-comparison claims without extraction.	Medium; future source screenshot slot could diversify away from Qwen/DeepSeek.	Add GLM source screenshot candidate in a later acquisition pass if Chapter 11 remains Qwen/DeepSeek-heavy.
CH10-11AUD-008	11	Kimi/Moonshot	Source-permission map includes Kimi k1.5, but no screenshot slot currently appears in I-0112.	A-0031;S-0031	Keep as reasoning lane and Chapter 21 handoff; do not build a separate Kimi visual yet.	No product adoption, benchmark superiority, or full Kimi-family chronology from one paper.	Medium; source screenshot slot would help balance the China chapter.	Add Kimi source screenshot candidate in a later acquisition pass or Chapter 21 bridge package.
CH10-11AUD-009	11	MiniMax/Baidu/Tencent/Xiaomi MiMo/StepFun	Currently explicit source-gap lane only.	C-0007;CH11CHINA-008	Keep visible as gap lane, not silence; do not grant narrative weight until primary sources exist.	No release, rank, adoption, product, geopolitical, or benchmark claims.	Low until source pack exists; screenshot before source rows would be cosmetic.	Dedicated source pack before any visual expansion.
CH10-11AUD-010	10-11	Open-weight vs source-permission visual grammar	Both chapters currently use map-style SVGs with caveat bands.	A-0030;A-0031	Rename roles mentally: Chapter 10 = control stack; Chapter 11 = source-permission lanes.	Do not let both chapters become similar family maps or logos plus dates.	N/A; decision is about diagram grammar.	Future Chapter 10 visual should be a control-stack matrix; future Chapter 11 visual should be a supported-vs-gap source board.
CH10-11AUD-011	10-11	Photo/screenshot rhythm	Chapters 10 and 11 each have four acquisition-ready slots, but none should all be used at once.	A-0044;A-0045;A-0046;A-0047;A-0048;A-0049;A-0050;A-0051	Final layout should use at most two Chapter 10 screenshots and two Chapter 11 source screenshots unless the photo target remains badly short.	Web/source screenshots prove surfaces and provenance, not adoption, quality, or popularity.	High overall because the book remains photo-light.	Acquisition pass should capture selected pages with provenance, not commit heavy rasters.
CH10-11AUD-012	10-11	Leaderboard/benchmark overlap	Chapter 13, 19, 21, and 22 already own benchmark and price-quality caveat grammar.	C-0046;C-0121;A-0019;A-0092;A-0080	Do not add Chapter 10/11 leaderboard visuals unless same-scope extraction exists.	No best-open-model, frontier-equivalent, price-quality, live-rank, safety, or productivity claims.	Low; charts would be high-risk before extraction.	Use blocker captions and source-permission maps instead.
CH10-11AUD-013	10-11	Recommended figure sequence	Current best sequence: Llama family map, one Llama source screenshot, China source-permission map, one Qwen/DeepSeek source screenshot.	A-0030;A-0044;A-0047;A-0031;A-0049;A-0050	Promote sparse, different visual roles instead of adding four similar diagrams.	Every caption must say whether it is release evidence, source evidence, developer surface, or schematic synthesis.	High for selected source screenshots.	Use this sequence in render planning.
CH10-11AUD-014	10-11	BookScore effect	Audit improves visual diversity and claim control without increasing chart/photo counts.	C-0127;C-0128;C-0135;data/full_book_visual_inventory_i0134.tsv	Promote as decision-quality pass; no new visual asset required.	Do not treat audit as closing visual count gaps.	N/A	Follow with acquisition/source-pack work only after selected slots are prioritized.
