row_id	claim_family	status	source_ids	allowed_use	blocked_use	notes
CH6Q-001	InstructGPT/RLHF pipeline	supported	S-0014;S-0074	Describe supervised demonstrations, output rankings, reward modeling, and RL optimization as the practical sequence that shaped GPT-3-style models toward instruction-following assistant behavior.	Do not claim RLHF solves truth, safety, bias, robustness, jailbreaking, misuse, or all user-goal conflicts.	Expanded prose integrates the pipeline visual and quote-safe S-0074 snippets.
CH6Q-002	Human-preference RL lineage	supported	S-0073	Use the 2017 human-preference RL paper as a lineage point for learning from comparisons where reward functions are hard to specify.	Do not imply the 2017 non-language work solved LLM alignment or directly produced ChatGPT behavior.	Keeps historical root narrow.
CH6Q-003	Quote-safe instruction-following wording	supported	S-0074;SNAP-20260525-016	Use short phrases such as following user intentions, safely perform, provide demonstrations, default language models, alignment tax, and far from fully aligned with renderer caveat.	Do not add longer exact product-post passages, detailed labeler-process claims, or broad deployment/adoption claims without separate extraction rows.	Uses the existing quote-safe table as permission map.
CH6Q-004	Model Spec behavior hierarchy	supported	S-0075;SNAP-20260525-005	Describe the Model Spec as a behavior specification using desired behavior, objectives/rules/defaults, and instruction-priority hierarchy.	Do not generalize 2024 Model Spec wording to all labs, all later OpenAI specs, or all deployed products.	Supports product-policy and refusal hierarchy sections.
CH6Q-005	System-card evaluation loop	supported	S-0005;S-0076;S-0077	Describe GPT-4/GPT-4o system cards as first-party evidence that frontier launches included red teaming, evals, mitigations, and public safety documentation.	Do not treat system cards as independent certificates of safety or proof of absence of failures.	Expanded prose uses quote-safe humility language.
CH6Q-006	Constitutional AI/RLAIF branch	supported	S-0019	Describe Anthropic's Constitutional AI as a principle-guided assistant-shaping branch using critiques, revisions, and AI feedback.	Do not claim it is morally superior, final, or sufficient; do not turn it into a Claude product history before later source rows.	Chapter keeps this as research signature and product-identity preview.
CH6Q-007	Refusal as interface behavior	supported	S-0014;S-0075;S-0076	Describe refusals as layered product behavior shaped by training, policy, system instructions, classifiers, and evaluation rather than as proof of model values.	Do not make claims about the model having beliefs, conscience, or solved values.	Core guardrail for the expanded refusal section.
CH6Q-008	Alignment tax/product trade	supported	S-0074	Explain alignment tax as a first-party OpenAI framing of possible tradeoffs between customer-task alignment and some academic NLP task performance, plus a narrative trade around product usefulness.	Do not turn alignment tax into a universal law across all models, labs, and tasks.	Keeps technical and narrative meanings separate.
CH6Q-009	ChatGPT handoff	supported	S-0006;S-0014	Hand off to Chapter 7 by saying ChatGPT's public assistant feel depended on pretraining plus instruction-following and preference-alignment work.	Do not claim ChatGPT solved hallucination, safety, memory, or evaluation.	Supports chapter ending.
CH6Q-010	Regulation/copyright exclusion	active	GOAL.md	Keep Chapter 6 focused on LLM product behavior, reliability, refusal, and deployment mechanics.	Do not turn the chapter into regulation, copyright, or generic AI ethics unless the issue changes assistant behavior.	Protects project invariant.
CH6Q-011	Quote length/extraction blocker	active	C-0044	Keep longer system-card passages, red-team examples, exact policy wording, and detailed labeler-process claims gated behind row-specific extraction.	Do not promote exact long quotations or detailed examples merely because the source is captured.	C-0044 remains active after this pass.
