pass_id	check_id	category	result	evidence	recommended_action
I-0293	I0293-001	object_render	warn	object=7 pass/1 warn/2 fail; images=100	Carry this defect into I-0294 correction and rerender.
I-0293	I0293-002	image_count	warn	html_img=98; pdf_images=100	Carry this defect into I-0294 correction and rerender.
I-0293	I0293-003	blank_pages	pass	pages=234; blank_like=0	No action required for this automated check.
I-0293	I0293-004	figure_failures	pass	fail_figures=0; p0=0	No action required for this automated check.
I-0293	I0293-005	caption_font	warn	min_caption_font=5.40pt; small_text=100	Carry this defect into I-0294 correction and rerender.
I-0293	I0293-006	source_note_proximity	pass	missing_source_notes=0	No action required for this automated check.
I-0293	I0293-007	rights_stage_proximity	pass	missing_rights_stage=0	No action required for this automated check.
I-0293	I0293-008	image_size	warn	too_small_images=20; median_area=27.7%	Carry this defect into I-0294 correction and rerender.
I-0293	I0293-009	visual_fatigue	warn	max_consecutive=4; max_per_20=12	Carry this defect into I-0294 correction and rerender.
I-0293	I0293-010	chapter_density	pass	chapters=24; min_figures=1	No action required for this automated check.
