row_id	provider	snapshot_id	source_id	pricing_section	model	input_usd_per_1m_tokens	cached_input_usd_per_1m_tokens	output_usd_per_1m_tokens	batch_or_priority	cutoff_status	chart_readiness	caveat
PPR-0001	Anthropic	SNAP-20260524-003	S-0060	claude_api_standard	Claude Opus 4.1	15.00	1.50	75.00	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Base input and output prices are normalized from the captured table; cache hit price is captured as cached input, while 5m and 1h cache-write premiums are excluded from the general price row.
PPR-0002	Anthropic	SNAP-20260524-003	S-0060	claude_api_standard	Claude Opus 4 (deprecated)	15.00	1.50	75.00	standard	cutoff_day_capture	exclude_from_general_price_chart	Deprecated row is useful for lineage and audit, but should not be mixed into current frontier price-quality charts.
PPR-0003	Anthropic	SNAP-20260524-003	S-0060	claude_api_standard	Claude Sonnet 4	3.00	0.30	15.00	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Base input and output prices are normalized from the captured table; cache hit price is captured as cached input, while cache-write premiums are excluded from the general price row.
PPR-0004	Anthropic	SNAP-20260524-003	S-0060	claude_api_standard	Claude Haiku 4.5	1.00	0.10	5.00	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Base input and output prices are normalized from the captured table; cache hit price is captured as cached input, while cache-write premiums are excluded from the general price row.
PPR-0005	Anthropic	SNAP-20260524-003	S-0060	claude_api_standard	Claude Haiku 3.5 (retired except Bedrock and Vertex AI)	0.80	0.08	4.00	standard	cutoff_day_capture	exclude_from_general_price_chart	Retired/provider-limited row is useful for audit but should not be mixed into current frontier price-quality charts.
PPR-0006	Google	SNAP-20260524-004	S-0061	gemini_api_standard	Gemini 2.5 Pro prompts <=200k	1.25	0.125	10.00	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Long-context tiering is normalized as separate rows; output includes thinking tokens per the captured table.
PPR-0007	Google	SNAP-20260524-004	S-0061	gemini_api_standard	Gemini 2.5 Pro prompts >200k	2.50	0.25	15.00	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Long-context tiering is normalized as separate rows; output includes thinking tokens per the captured table.
PPR-0008	Google	SNAP-20260524-004	S-0061	gemini_api_batch	Gemini 2.5 Pro prompts <=200k	0.625	0.125	5.00	batch	cutoff_day_capture	exclude_from_general_price_chart	Batch tier changes product scope and latency, so keep separate from standard price-quality comparisons.
PPR-0009	Google	SNAP-20260524-004	S-0061	gemini_api_standard	Gemini 2.5 Flash text/image/video	0.30	0.03	2.50	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	Audio prices differ from text/image/video; this row normalizes only text/image/video prices for comparable LLM chart work.
PPR-0010	Google	SNAP-20260524-004	S-0061	gemini_api_batch	Gemini 2.5 Flash text/image/video	0.15	0.03	1.25	batch	cutoff_day_capture	exclude_from_general_price_chart	Batch tier changes product scope and latency, so keep separate from standard price-quality comparisons.
PPR-0011	xAI	SNAP-20260524-005	S-0062	xai_models_page	Grok 4.3	1.25		2.50	standard	cutoff_day_capture	candidate_only_requires_same_scope_rank_join	The captured xAI models page exposes input and output prices on a model card; no cache/batch fields were visible in the normalized section.
PPR-0012	Mistral	SNAP-20260524-006	S-0063	mistral_model_docs	Mistral model docs				no_pricing_row	cutoff_day_capture	exclude_until_pricing_source_paired	The captured Mistral page is a model documentation page, not a pricing source; pair with official pricing or API billing evidence before using Mistral in price-quality charts.
