row_id	claim_family	status	source_ids	allowed_use	blocked_use	notes
CH5Q-001	GPT-1 mechanism	supported	S-0011	Describe GPT-1 as generative Transformer pretraining followed by supervised transfer and as a mechanism milestone for reusable language representations.	Do not imply GPT-1 was a consumer assistant, ChatGPT precursor in product form, or proof of broad real-world adoption.	Used in the expanded Chapter 5 opening and lineage sections.
CH5Q-002	GPT-2 mechanism	supported	S-0012;S-0013	Describe GPT-2 as prompted unsupervised multitask continuation and as a public release-strategy turning point.	Do not invent internal motives, exact risk assessments, or broad public reaction without secondary/source-specific rows.	Supports the release-as-artifact section.
CH5Q-003	GPT-3 few-shot interface	supported	S-0004	Describe GPT-3 as showing zero-shot, one-shot, and few-shot prompting where examples in context can shape task behavior.	Do not claim all tasks became solved, task-specific systems became obsolete, or scale alone explains every capability.	Supports the context-as-temporary-program sections.
CH5Q-004	OpenAI API distribution	supported	S-0069	Describe the OpenAI API as hosted text-in/text-out access that made a general model callable by developers.	Do not claim exact usage, revenue, customer adoption, pricing history, or industry transformation without snapshots and normalization.	C-0029 remains active for ecosystem counts.
CH5Q-005	GPT-3 app ecosystem	caveated	S-0071	May mention OpenAI-reported direction of API ecosystem growth only with explicit snapshot/adoption caveat.	Do not treat hundreds-of-apps or developer-count phrasing as final adoption history until local capture and source-chain checks exist.	Existing text keeps the caveat in the paragraph.
CH5Q-006	Codex executable-language bridge	supported	S-0052	Describe Codex/code-trained LMs as converting natural language or docstrings into candidate executable code and as measured with functional-correctness framing.	Do not promote benchmark superiority, production reliability, or coding-agent autonomy without harness-specific rows.	Used as the bridge from language output to machine action.
CH5Q-007	GitHub Copilot interface	supported	S-0070	Describe Copilot as a Codex-powered VS Code technical preview that placed LLM suggestions at the developer cursor.	Do not claim adoption, productivity gains, licensing outcomes, or legal conclusions without separate triangulation.	Supports ambient developer workflow framing.
CH5Q-008	Lineage table integration	supported	S-0011;S-0012;S-0013;S-0004;S-0069;S-0052;S-0070	Use data/gpt_lineage_visual_table.tsv as a prose spine for interface conversion: pretraining, prompting, API infrastructure, executable code, and cursor assistance.	Do not count the visual again or turn its caveats into factual permission for quantitative claims.	Figure remains existing; this pass integrates the table into prose.
CH5Q-009	Instruction-tuning handoff	supported	S-0014	Hand off to Chapter 6 by saying RLHF/InstructGPT addressed the gap between continuation and instruction-following assistant behavior.	Do not claim RLHF solved truth, safety, bias, robustness, jailbreaking, or misuse.	Keeps Chapter 5 ending aligned with the next chapter.
CH5Q-010	Unsupported outcome blockers	active	C-0029	Keep blockers visible for exact API usage, GPT-3 ecosystem counts, Copilot productivity, adoption, legal, licensing, and revenue claims.	Do not promote those claims from launch posts or product announcements alone.	Expanded chapter adds explicit anti-overclaim paragraphs rather than new unsupported outcomes.
