gate_id	check_area	requirement	pass_condition	fail_condition	applies_to	evidence_to_collect	prose_merge_rule
CH16PG-001	page_break	N16-1 must stay on the same rendered page as the LBNL/DOE paragraph that carries the N16-1 anchor.	PDF/page image shows the N16-1 anchor and the full N16-1 note on the same page.	The note is pushed to the next page, an endnote section, appendix, or source list.	N16-1;CH16Q-003;CH16Q-004;CH16Q-005;CH16Q-006	Render Chapter 16 PDF page images and record page number plus screenshot path.	Reject live merge until same-page placement passes.
CH16PG-002	sidenote_proximity	N16-1 must be visually near the paragraph anchor and scannable without interrupting the reading path.	Note top aligns within the paragraph block or begins no farther than one paragraph-height below the anchor; any leader/callout line points unambiguously to the anchor.	Reader must search the page for the note, leader line crosses unrelated text, or note appears closer to another paragraph.	N16-1	Render screenshot with anchor and note bounding boxes.	Reject live merge until proximity is visually obvious.
CH16PG-003	line_length	The main text and note text must remain readable after the note is introduced.	Main text stays within the production measure; N16-1 lines are short enough for comfortable scanning and do not create cramped or overlong sidenote text.	Layout produces very short broken main-text lines, overlong note lines, hyphenation clutter, or note text smaller than final-note style permits.	N16-1;Chapter 16 page	Record page width, main text measure, note column width, and minimum visible note font size.	Reject live merge if readability is worse than current inline cue version.
CH16PG-004	note_collision	N16-1 may not collide with headings, figures, footnotes, page numbers, marginalia, or neighboring notes.	Page image shows clear separation between N16-1 and all other layout objects.	Note overlaps or visually crowds a figure, footnote, page furniture, another sidenote, or the next section.	N16-1;A-0015;A-0017	Render with all Chapter 16 figures/notes enabled, not an isolated mock.	Reject live merge until collision-free page proof exists.
CH16PG-005	mapping_integrity	The note must preserve the four distinct LBNL/DOE measured/scenario mappings from I-0062/I-0063.	N16-1 visibly contains separate CH16Q-003, CH16Q-004, CH16Q-005, and CH16Q-006 mappings with reported/modeled/projected/scenario language.	Note collapses the four rows into generic LBNL/DOE evidence, drops CH16Q IDs, omits U.S./year/range labels, or turns scenarios into fact.	CH16Q-003;CH16Q-004;CH16Q-005;CH16Q-006	Extract note text from rendered PDF or screenshot OCR and compare against data/chapter16_note_acceptance_checklist_i0062.tsv.	Reject live merge until row-level mapping survives text and visual QA.
CH16PG-006	inline_ch16q017_visibility	CH16Q-017 must remain inline in the NVIDIA/GTC AI-factory company-framing sentence.	Rendered page shows CH16Q-017 still sentence-visible beside the AI-factory/company-argument wording.	CH16Q-017 appears only in N16-1, a broad note, an endnote, a source list, or disappears.	CH16Q-017;C-0021;C-0047	Render screenshot and text extraction for the opening Chapter 16 page.	Reject live merge if CH16Q-017 is not inline.
CH16PG-007	inline_ch16q018_visibility	CH16Q-018 must remain inline in the energy-per-token exclusion sentence.	Rendered page shows CH16Q-018 still sentence-visible beside the sentence saying the stack is not a quantified energy-per-token model.	CH16Q-018 appears only in a note/endnote/source list or disappears from the exclusion sentence.	CH16Q-018	Render screenshot and text extraction for the dependency-stack page.	Reject live merge if CH16Q-018 is not inline.
CH16PG-008	operator_signal_stability	CH16Q-015 and CH16Q-016 must remain inline during this N16-1 production test.	Rendered Uptime paragraph keeps CH16Q-015 and CH16Q-016 inline as operator-survey signals.	Operator-survey rows are moved into N16-1 or an unlabeled note during the N16-1 test.	CH16Q-015;CH16Q-016	Render screenshot and text extraction for the Uptime paragraph page.	Reject live merge and defer operator-note testing.
CH16PG-009	no_new_quant_claims	The layout pass may not introduce new exact quantities, Wh/token estimates, or NVIDIA/GTC performance claims.	Diff plus PDF text extraction show no new exact numbers or company-performance claims beyond existing CH16Q rows.	New number, estimate, ratio, Wh/token claim, throughput claim, deployment claim, or roadmap fact appears without a successor CH16Q row.	Chapter 16;C-0021;C-0047;CH16Q-018	Run rg/diff against manuscript and extracted PDF text.	Reject live merge and create a new claim-audit row first.
CH16PG-010	reversibility	The first production pass must be reversible and compare against the current inline-cue parent.	Render records both inline-cue parent page and N16-1 candidate page, with candidate accepted only if readability improves and all blockers pass.	Only the candidate render exists, or the pass cannot show what readability improved relative to.	manuscript/16-speed-to-power.md;N16-1	Archive parent/candidate page screenshots or record paths in render QA table.	Promote only after A/B page comparison passes.
