gap_id	lab_or_family	gap_type	current_best_source_ids	blocked_claim_or_surface	required_evidence	acquisition_status	candidate_next_query_or_action
FG-0177-001	xAI Grok	durable_capture	S-0034;S-0148;S-0149	Official Grok 3/Grok pages are browser-readable but shell capture failed, limiting direct quotation and final visual use.	Browser screenshot, archived copy, or local HTML/PDF capture with hash and access date.	open	Use browser capture for x.ai/news/grok-3 and x.ai/news/grok-os; record failure mode if blocked again.
FG-0177-002	GLM/Z.ai	newer_family	S-0030	GLM/Z.ai newer-family claims such as GLM-4.5 are not supported by the existing GLM-4 technical report.	Cutoff-bounded official Z.ai/GLM post, model card, paper, or docs with exact date/version.	open	Search official Z.ai, THUDM, and arXiv surfaces; do not borrow claims from aggregators.
FG-0177-003	Qwen/Alibaba	future_variant	S-0026;S-0027	Qwen 3.5/3.6 or later-current claims exceed the captured Qwen2/Qwen3 reports.	Official paper/model card/docs for the exact variant, with date before 2026-05-24 if used as cutoff history.	blocked_until_source	Add only exact-family rows; use Qwen3 for current supported chapter spine.
FG-0177-004	DeepSeek	future_variant	S-0028;S-0029	DeepSeek V4-era or post-R1 capability claims are unsupported.	Official DeepSeek technical report, model card, release post, or repo for the named variant.	blocked_until_source	Keep V3/R1 as the supported mechanism pair.
FG-0177-005	StepFun	release_chronology	S-0252	Step-2 chronology, trillion-parameter claim, leaderboard rank, and company/funding claims need stronger official dated evidence than dynamic docs.	Official dated Step-2 launch post, technical report, event page, or company press release.	open	Search StepFun Chinese/English site and platform docs; capture exact dated surface.
FG-0177-006	Baidu ERNIE	primary_depth	S-0249	PRNewswire announcement is company-distributed but should be paired with official ERNIE/Baidu model page before final figures.	Official ERNIE blog/model-card/PDF or Baidu investor/product page with exact model labels.	open	Capture ERNIE blog if accessible; keep vendor benchmark claims blocked.
FG-0177-007	Tencent Hunyuan	official_docs_depth	S-0250	Hunyuan-TurboS has a technical report, but official Tencent Cloud/API availability and product integration need separate stable docs.	Tencent/Tencent Cloud official docs or launch page with stable URL, date, and model/version table.	open	Add docs row only after exact URL and accessed-date capture.
FG-0177-008	MiniMax	official_org_surface	S-0248	MiniMax-M1 arXiv is enough for technical mechanism, but product/repo/weight availability needs official organization provenance.	Official MiniMax GitHub/Hugging Face/project page and license/weights evidence.	open	Capture only if needed for open-weight or availability claims.
FG-0177-009	Cohere/AI21/Mistral	vendor_superiority	S-0147;S-0150;S-0152	Vendor benchmark and efficiency charts cannot be converted into neutral superiority claims without extraction and context.	Benchmark methodology extraction, dates, independent leaderboard where relevant, and redraw plan.	blocked_for_claims	Use these surfaces for mechanism and positioning, not ranking.
FG-0177-010	NVIDIA Nemotron	quality_and_adoption	S-0068	Nemotron press-release language does not prove model quality, adoption, or deployment outcomes.	Model cards, benchmarks with methodology, customer evidence, and license/weights pages.	open	Use press release for platform/source-family existence only.
