candidate_id	priority	photo_need	source_ids	candidate_title	candidate_url_or_path	rights_status	license_proof_to_preserve	target_private_path	alt_caption	blocked_claims	next_action
PPH-0181-001	P0	ASML machine / lithography proxy	S-0273;S-0274	Extreme ultraviolet lithography tool plus ASML headquarters fallback	https://commons.wikimedia.org/wiki/File:Extreme_ultraviolet_lithography_tool.jpg;https://commons.wikimedia.org/wiki/File:ASML_headquarters_Veldhoven.jpg	rights_proxy_not_final	Commons file pages list reuse license/status; ASML machine-specific page still needs stronger proof.	assets/photo_candidates/i0181/A-0133_lithography_asml_proxy_candidate.txt	An EUV/lithography or ASML-site image can show the physical scale of chipmaking infrastructure, but it should not stand in for ASML allocation, machine performance, customer shipments, or AI-chip supply.	ASML allocation; EUV capacity; wafer yield; export-control outcome; customer shipment; AI accelerator volume	Find a machine-specific ASML/EUV photo with license proof or keep this as a proxy-only exhibit.
PPH-0181-002	P0	fab cleanroom	S-0275	Clean room	https://commons.wikimedia.org/wiki/File:Clean_room.jpg	likely_cc_or_public_domain_candidate	Commons file page provides author/license metadata; preserve license, author, and page revision at download time.	assets/photo_candidates/i0181/A-0134_fab_cleanroom_candidate.txt	Cleanroom imagery can make semiconductor manufacturing legible as controlled physical process, not proof of any named fab's AI-chip output.	named-fab production; yield; capacity; customer allocation; process-node claim; AI-chip supply	Download only after confirming license terms and whether people/logos require extra treatment.
PPH-0181-003	P0	wafer	S-0276	Silicon wafer / semiconductor wafer candidate	https://commons.wikimedia.org/wiki/File:Silicon_wafer.jpg	likely_cc_or_public_domain_candidate	Commons file page provides reuse/license metadata; preserve creator, license, and exact file revision.	assets/photo_candidates/i0181/A-0135_silicon_wafer_candidate.txt	A wafer photo can show the material substrate of chipmaking without claiming a specific AI accelerator, node, defect rate, or supplier.	accelerator identity; node; yield; supplier; cost; production volume; performance	Confirm exact file title/license and choose a visually clean wafer image with enough resolution.
PPH-0181-004	P0	GPU/server rack	S-0277	Front of server racks at NERSC	https://commons.wikimedia.org/wiki/File:Front_of_server_racks_at_NERSC.jpg	likely_public_domain_us_gov_or_cc_candidate	Commons/NERSC page license metadata must be preserved; verify government or CC status before use.	assets/photo_candidates/i0181/A-0136_gpu_server_rack_candidate.txt	Server-rack imagery can show compute becoming room-scale infrastructure, not proof that the pictured system trained a named LLM.	named model training; GPU count; workload attribution; utilization; cost; owner-specific AI claim	Prefer a neutral rack photo unless a GPU-specific licensed image with clear provenance is found.
PPH-0181-005	P0	data-center hall	S-0278	Datacenter Server Racks	https://commons.wikimedia.org/wiki/File:Datacenter_Server_Racks_(22370909788).jpg	likely_cc_candidate	Commons file page lists a Flickr-derived license; preserve Flickr/Commons license trail, author, and revision.	assets/photo_candidates/i0181/A-0137_data_center_hall_candidate.txt	A data-center hall photo can convey the industrial setting of inference and training, but not the hidden workloads inside it.	workload attribution; model training; energy use; owner identity; uptime; carbon intensity; capacity	Verify original Flickr license compatibility and final resolution before selection.
PPH-0181-006	P1	data-center exterior / cooling equipment	S-0279	Outdoor cooling equipment at NERSC (2)	https://commons.wikimedia.org/wiki/File:Outdoor_cooling_equipment_at_NERSC_(2).jpg	likely_public_domain_us_gov_or_cc_candidate	Commons file page license/author metadata must be preserved; verify public-domain or CC terms.	assets/photo_candidates/i0181/A-0138_data_center_exterior_candidate.txt	A data-center exterior/cooling-equipment photo can show footprint and visible support infrastructure while blocking claims about internal hardware, power draw, or customer workloads.	GPU inventory; power draw; fuel mix; workload; project economics; operating status	Choose only if license and location are clear enough for a caption.
PPH-0181-007	P0	substation	S-0280	Electrical substation candidate	https://commons.wikimedia.org/wiki/File:Electrical_Substation.JPG	likely_cc_or_public_domain_candidate	Commons file page supplies license metadata; preserve exact page revision and author.	assets/photo_candidates/i0181/A-0139_substation_candidate.txt	A substation photo can explain grid interconnection as a visible constraint, not prove that any data center is served by that equipment.	site power path; capacity; energized status; data-center service; reliability; fuel mix	Prefer a generic substation unless same-site evidence is separately sourced.
PPH-0181-008	P0	transmission lines	S-0281	Overhead Transmission Lines candidate	https://commons.wikimedia.org/wiki/File:Overhead_Transmission_Lines.jpg	likely_cc_candidate	Commons file page supplies license metadata; preserve exact page revision and author.	assets/photo_candidates/i0181/A-0140_transmission_lines_candidate.txt	Transmission lines can show why scaled computing depends on grid infrastructure without proving available capacity or data-center access.	capacity; congestion; interconnection queue position; data-center service; reliability; fuel mix	Confirm license and choose a legible image with towers/wires visible at book trim size.
PPH-0181-009	P0	gas turbine	S-0282	Gas Turbine Power Plant	https://commons.wikimedia.org/wiki/File:Gas_Turbine_Power_Plant.JPG	likely_cc_candidate	Commons file page lists license/author metadata; preserve license and attribution string.	assets/photo_candidates/i0181/A-0141_gas_turbine_candidate.txt	A gas-turbine image can illustrate speed-to-power tradeoffs without claiming a given data center installed or operated turbines.	site deployment; runtime; emissions; fuel contract; turbine count; delivered capacity	Use only with a caption that separates generic generation equipment from named-site evidence.
PPH-0181-010	P1	battery storage	S-0283	Air-cooled industrial and commercial battery energy storage system	https://commons.wikimedia.org/wiki/File:Air-cooled_industrial_and_commercial_battery_energy_storage_system.jpg	likely_cc_candidate	Commons file page must be checked for exact license, author, and any utility/company restrictions.	assets/photo_candidates/i0181/A-0142_battery_storage_candidate.txt	Battery storage imagery can show one grid-support component, not proof that batteries solve data-center intermittency or interconnection delays.	solved intermittency; site service; capacity; duration; emissions effect; data-center backup	Verify exact license; replace if the file page lacks durable reuse rights.
