"source_id"	"file_path"	"sha256"	"capture_date"	"capture_method"	"notes"
"S-0115"	"assets/source_docs/google_deepmind/S-0115_palm-arxiv-abs.html"	"2fc66ae20c875752d997b60a2647e31238d102d78f1142b22e2d696e381bee16"	"2026-05-25"	"Invoke-WebRequest"	"Local arXiv abs capture for PaLM/Pathways."
"S-0116"	"assets/source_docs/google_deepmind/S-0116_gemini-arxiv-abs.html"	"c1c8bc8485e13a098763171369ebad06936c94661086e0b423972df12fc9d03a"	"2026-05-25"	"Invoke-WebRequest"	"Local arXiv abs capture for Gemini technical report."
"S-0117"	"assets/source_docs/google_deepmind/S-0117_gemini15-arxiv-abs.html"	"d8f6fcb857fb53a353986c3747102196b9339000cab8c6a80988e101fba1ace9"	"2026-05-25"	"Invoke-WebRequest"	"Local arXiv abs capture for Gemini 1.5 technical report."
"S-0118"	"assets/source_docs/google_deepmind/S-0118_try-bard-google-blog.html"	"b201a6d8fcfe0b82925f75d4ec35f3618d96e1fe42804ce58594b74309f3a27a"	"2026-05-25"	"Invoke-WebRequest"	"Local Google blog capture for Bard early access/product framing."
"S-0119"	"assets/source_docs/google_deepmind/S-0119_gemini-model-thinking-updates-march-2025.html"	"8dd2ae50852d6a0c65da8bb5d48508bf45dc4acae2e5b4d99f2cee19d9e3146f"	"2026-05-25"	"Invoke-WebRequest"	"Local Google DeepMind blog capture for Gemini 2.5 thinking framing."
"S-0120"	"assets/source_docs/google_deepmind/S-0120_deepmind-model-cards.html"	"54496545ebc7e4ab35cf1ef11482ed4595663a3d783c945972fadbb7ccfbf6fa"	"2026-05-25"	"Invoke-WebRequest"	"Local Google DeepMind model-card page capture; mutable and may contain post-cutoff rows."
"S-0121"	"assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html"	"2b04ec177e4ce357e5fd81e90004fe8145a02e9a0f8757878b5b77c9e7f3684c"	"2026-05-25"	"Invoke-WebRequest"	"Local Google Gemini launch blog capture."
"S-0122"	"assets/source_docs/google_deepmind/S-0122_bard-becomes-gemini-blog.html"	"e0b22eadd4bbb6aaa6d6a1c63cd7a5ba12d8acbfbd8f5ac27bd5f216399c867e"	"2026-05-25"	"Invoke-WebRequest"	"Local Google product blog capture for Bard-to-Gemini rebrand."
"S-0123"	"assets/source_docs/google_deepmind/S-0123_gemini-may-2024-update.html"	"42764006deb13bef96b1f59c683224b78f6d922f3484b5ba037c706767d2ec5c"	"2026-05-25"	"Invoke-WebRequest"	"Local Google Gemini product update capture for 1.5 Pro/Advanced long-context framing."
"S-0124"	"assets/source_docs/google_deepmind/S-0124_gemini-gemma-developer-updates-may-2024.html"	"6a696b463cba6588c14070726d7cb8058f761f0a25abf9ddc75e26d647aac9ec"	"2026-05-25"	"Invoke-WebRequest"	"Local Google developer update capture for Gemini 1.5 Pro/Flash and 2M-token access path."
