package_field	recommendation	evidence_or_source	rationale	blockers_or_constraints	next_action
positioning_line	A serious, illustrated history of how next-token prediction became a computing interface, from embeddings and Transformers to ChatGPT, Claude Code, GPUs, datacenters, inference economics, and trust.	GOAL.md;manuscript/00-title-positioning.md;data/full_book_timeline_integrity_audit_i0149.tsv	Keeps the commercial hook specific to LLMs and computing rather than generic AI futurism.	Current primary-file spine is 98,529 words and not final; visual floor and source-density repairs remain open.	Use this as jacket/agent-query spine only after final structural map is settled.
champion_title	Next Token	manuscript/00-title-positioning.md;data/title_candidates.tsv	Shortest technically native title; memorable for AI-literate readers and teachable for general readers.	Some readers may not know "token"; title needs subtitle and first-page explanation.	Keep until reader-test evidence beats it under the existing protocol.
recommended_subtitle	The Race to Build the Machines That Learned Language, Code, and Computing	manuscript/00-title-positioning.md	Broad enough for model history, code, infrastructure, economics, and trust.	Long but still below KDP title+subtitle metadata limit; must match cover metadata.	Retest shorter variants after source-density and Chapter 12 structure repairs.
shorter_subtitle_candidate	How Language Models Became the New Computing Interface	manuscript/00-title-positioning.md;manuscript/00-title-reader-test-protocol.md	More general-reader legible and less crowded than the current subtitle.	Loses some hardware/code/race energy; may sound too abstract.	Include in next reader test.
back_cover_hook	Every age of computing gets a new command surface. Ours arrived as a box of text that could answer, invent, hallucinate, code, search, call tools, and ask for more power. Next Token tells the story of how that happened.	KDP metadata description rules S-0178;manuscript/01-the-shock.md;manuscript/24-next-token.md	Opens with reader recognition and book-level thesis without claims about sales, reviews, or outcomes.	KDP descriptions cannot include reviews, testimonials, price, availability, promotional dates, or keyword stuffing.	Use as draft jacket opening; trim after final manuscript voice pass.
back_cover_body	A deeply sourced narrative history of large language models through May 24, 2026, Next Token follows the race from early language modeling, word embeddings, attention, and scaling laws to GPT-3, ChatGPT, Gemini, Claude, Llama, Qwen, DeepSeek, Claude Code, benchmarks, CUDA, GTC 2026, datacenters, data, inference economics, and trust. It is a book about language becoming operational: a prompt becoming an interface, code becoming a work loop, and compute becoming a product readers can buy by the token.	data/full_book_timeline_integrity_audit_i0149.tsv;data/full_book_source_density_primary_ratio_i0166.tsv	Says what is in the book and why it matters; keeps cutoff visible.	Must not imply all named labs are equally supported; Chapter 12 and unsupported frontier lanes remain structurally sensitive.	Revise after Chapter 12 slot conflict and source-density repairs.
reader_promise	Readers will leave understanding why LLMs felt sudden, why they were not magic, why hardware and power mattered, why rankings and prices mislead, and why the final question is judgment rather than inevitability.	GOAL.md;insights.md;manuscript/24-next-token.md	Translates technical scope into purchase value for serious nonfiction readers.	Do not promise investment advice, productivity gains, future prediction, or definitive AGI answer.	Use in sell sheet and query copy.
primary_audience	Smart general nonfiction readers, software engineers, technology/business strategy readers, AI practitioners, and book-world readers who liked serious technology history.	data/title_reader_test_segments.tsv	Matches existing title-test segments and benchmark-canon ambition.	Audience is broad; jacket must not become too technical or too hypey.	Test with the existing six-segment protocol.
comparable_title_1	Chip War by Chris Miller	GOAL.md	Industrial supply-chain seriousness, geopolitical/technical accessibility, hardware stakes.	Next Token must avoid becoming a semiconductor book; compare on ambition and industrial texture, not topic identity.	Use as top seriousness comp.
comparable_title_2	The Prize by Daniel Yergin	GOAL.md	Energy/infrastructure scale and business-history sweep.	Too grand if the book lacks final source density and narrative polish.	Use only for ambition/internal positioning, not boastful jacket copy.
comparable_title_3	The Innovators by Walter Isaacson / Steve Jobs by Walter Isaacson	GOAL.md	Human-readable computing history and platform narrative.	Current manuscript is less character/interview driven; no fake insider access.	Use as shelf lineage, not scene-method promise.
comparable_title_4	The Coming Wave by Mustafa Suleyman and Michael Bhaskar	current AI nonfiction shelf context	Popular AI-change readership and general-market appetite.	The book should distinguish itself as history/reporting through a fixed cutoff, not futurist manifesto.	Use as contrast: less prophecy, more machinery.
recommended_categories_primary	Technology / Artificial Intelligence; Business & Money / Industries / Computers & Technology; Computers & Technology / History & Culture	S-0178	KDP currently allows up to three categories; these keep relevance high across AI, business, and computing-history shelves.	Actual KDP category labels depend on primary marketplace/audience dropdown and can change; avoid irrelevant category gaming.	Verify exact category paths during KDP upload and with comparable-title pages.
backup_categories	Science & Math / Computer Science; Business & Money / Management & Leadership / Innovation; Engineering & Transportation / Engineering / Computer Technology	S-0178	Backup lanes if dropdown labels differ or if the final manuscript tilts technical/business.	Only use if the final description and sample pages support the category.	Review before upload, not now.
backend_keywords	next token; large language models; ChatGPT history; artificial intelligence history; generative AI business; AI infrastructure; coding agents	S-0178;manuscript/00-title-positioning.md	Seven keyword boxes should describe real central content, not manipulate unrelated searches.	KDP prohibits misleading/unrelated keywords and keyword stuffing in description.	Refine with live Amazon search/autocomplete after cover and subtitle freeze.
