id	status	claim	source_ids	evidence_note	blocked_leap	use
CH21REASON-001	supported	Chain-of-thought prompting supports the qualitative claim that generating intermediate reasoning can improve multi-step task performance in studied settings.	S-0170	Pre-cutoff research source ledged in pass I-0122.	Do not claim visible rationales are faithful causal explanations or that all models benefit equally.	Opening mechanism section.
CH21REASON-002	supported	Self-consistency supports sampling multiple reasoning paths and choosing by answer agreement as an inference-time method.	S-0171	Pre-cutoff research source ledged in pass I-0122.	Do not claim majority agreement guarantees truth or broad reliability.	Inference procedure section.
CH21REASON-003	supported	OpenAI o1 official materials support vendor-attributed product/research framing around models spending more time thinking before responding.	S-0168	Official OpenAI source identified via web in pass I-0122.	Do not claim independent benchmark crowns, hidden chain-of-thought access, or exact production behavior.	Product turn section.
CH21REASON-004	supported	OpenAI o3/o4-mini official materials support vendor-attributed framing of a reasoning-model family and tool-using reasoning products.	S-0169	Official OpenAI source identified via web in pass I-0122.	Do not claim exact ranks, product adoption, current availability beyond cutoff, or cost/latency curves.	Product-family section.
CH21REASON-005	supported	Gemini 2.5 source supports Google-attributed thinking/reasoning product grammar.	S-0119	Existing local Google DeepMind capture.	Do not use vendor blog as independent proof of best-model or benchmark superiority.	Industry-convergence section.
CH21REASON-006	supported	DeepSeek-R1 supports reasoning via reinforcement learning, self-reflection, verification, strategy adaptation, and distillation framing.	S-0029	Existing local DeepSeek-R1 arXiv abstract capture.	Do not claim DeepSeek V4, broad deployment, adoption, or all-domain superiority.	RL/verifiable-task section.
CH21REASON-007	supported	Kimi k1.5 supports scaling reinforcement learning with LLMs as a reasoning-model lane.	S-0031	Existing local Kimi k1.5 arXiv abstract capture.	Exact benchmark/product claims need extraction.	Cross-lab reasoning section.
CH21REASON-008	supported	Process-supervision work supports rewarding intermediate reasoning steps rather than only final answers in a mathematical reasoning setting.	S-0172	Pre-cutoff OpenAI/arXiv source ledged in pass I-0122.	Do not claim process supervision solves reasoning, truth, or safety.	Verifier/process section.
CH21REASON-009	supported	Tree-of-thought style work supports search over intermediate reasoning states as an LLM problem-solving method.	S-0173	Pre-cutoff research source ledged in pass I-0122.	Do not claim general planning reliability or production-agent autonomy.	Search section.
CH21REASON-010	supported	Reasoning benchmark claims require inference-contract caveats including tools, attempts, sampling, verifier, harness, date, and contamination scope.	C-0121;C-0130;S-0035;S-0036;S-0037	Existing ranking and coding-agent audit rows.	Do not convert benchmark scores into global usefulness, safety, productivity, or live-rank claims.	Benchmark caveat section.
CH21REASON-011	supported	Chapter 21 fills the missing reasoning/test-time-compute spine between agents/coding and economics/trust.	manuscript/00-master-outline.md;ideas.tsv	Outline and I-0122 queue item require the chapter.	Full render order and continuity still need later verification.	Continuity and scoreboard support.
