rank	paper_id	source_id_or_gap	figure_or_surface	chapter_targets	recommended_use	rights_rationale	blocked_claim_note
1	P-0006	S-0002	Transformer architecture and attention mechanism	2	House-style redraw, cite paper, do not reproduce original figure	Core technical image; redraw avoids copying the paper art while preserving mechanism.	Does not prove modern LLM implementation details, attention explainability, or architecture-alone causality.
2	P-0018	S-0014	RLHF pipeline	6	House-style redraw with local blockers	The pipeline is central and already chapter-backed; redraw is clearer than original paper figure reuse.	Does not prove solved alignment, deployed safety, or universal preference transfer.
3	P-0009	S-0003	Scaling-law evidence lanes	3	Redraw simplified loss/compute/data concept, not exact plot unless values are extracted	Power-law visual is central but easy to overclaim; use abstraction plus row-level caveats.	No prophecy, exact exponent, emergence threshold, or universal scaling formula claim.
4	P-0010	S-0190	Chinchilla compute/data balance	3	Redraw conceptual compute-optimal balance after source row and extraction	Important correction to model-size-only intuition.	No claim that all later systems follow Chinchilla exactly or that token/parameter ratios are universal.
5	P-0028	S-0029	DeepSeek-R1 RL and distillation mechanism	11,21	Redraw mechanism, keep benchmark tables out of art	Useful for reasoning and China/open-model chapters.	No DeepSeek V4, live-rank, exact-cost, or geopolitical-performance claim.
6	P-0041	S-0035	SWE-bench benchmark contract	19,20	Redraw task/harness/evaluation-contract diagram	The benchmark is central but should teach scaffold caveats rather than crown a model.	No productivity, enterprise outcome, or best coding model claim.
7	P-0042	S-0037	LiveCodeBench contamination-aware evaluation	19,20	Redraw time-window/evaluation contract	Complements SWE-bench and blocks benchmark misuse.	No production code quality, security, or live rank claim.
8	P-0037	S-0135	ReAct thought/action/observation loop	18,21	Redraw as loop with trust boundaries	Small schematic can make agents concrete.	No production autonomy, planning reliability, or tool-safety claim.
9	P-0038	S-0136	Toolformer API-call insertion pipeline	18	Redraw with "research lineage" caption	Shows tool-use training lineage without product screenshots.	No arbitrary tool mastery or deployed assistant capability claim.
10	P-0002	S-0105	Word-vector analogy/source card	1	Redraw tiny vector-space concept with caveat label	Good early technical hook if kept humble.	No human-like understanding or semantic completeness claim.
11	P-0004	S-0107	Attention alignment heatmap concept	1,2	Redraw simplified source-derived alignment idea	Connects fixed bottleneck to attention pressure.	No faithful explanation or priority fight claim.
12	P-0005	S-0153	Subword merge ladder	1,17	Redraw with invented neutral tokens or source-labeled examples	Tokenization needs visible texture.	No modern proprietary-tokenizer or language-cost claim.
13	P-0016	S-0004	Few-shot prompt format	5	Redraw prompt interface, avoid benchmark table	Shows GPT-3's interface shift better than prose alone.	No adoption, API value, or benchmark-superiority claim.
14	P-0020	S-0019	Constitutional AI critique/revision loop	6,12	Redraw behavior-shaping pipeline	Important Anthropic mechanism.	No solved harmlessness, final policy truth, or deployment-safety proof.
15	P-0045	S-0170	Chain-of-thought prompt pattern	21	Small source-excerpt card or redraw, no full prompt copying	Useful if quote permissions remain tight.	No faithful hidden thought or universal improvement claim.
16	P-0046	S-0171	Self-consistency vote	21	Redraw multiple-path voting schematic	Teaches inference-time compute without exact cost.	No truth guarantee or reliability proof.
17	P-0047	S-0172	Process vs outcome supervision	21	Redraw process-supervision contrast	Helpful for reasoning-verifier section.	No solved reasoning, truth, or safety claim.
18	P-0048	S-0173	Tree-of-thought search	21	Redraw branching search diagram	Visually distinctive and conceptually easy.	No general planning or production-agent reliability claim.
19	P-0054	S-0199	FlashAttention IO-aware attention	14,22	Redraw only after systems/source pass	Can connect algorithms to hardware/software stack.	No exact speedup, deployment, or market-power claim.
20	P-0055	S-0154	SentencePiece tokenization example	17	Redraw with neutral example and source note	Good data/tokenization exhibit candidate.	No exact tokenizer behavior for closed models.
