"draft_asset_id"	"capture_id"	"manifest_action"	"status"	"file_path"	"asset_type"	"source_title"	"source_url_or_path"	"source_page_or_time"	"creator_or_org"	"accessed_date"	"caption"	"story_purpose"	"rights_or_private_use_note"	"used_in"	"blocked_claims"	"sync_gate"
"A-0168"	"CAP-20260526-2101"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2101__jensen-huang-cropped.jpg"	"source_media_image"	"Jensen Huang cropped portrait"	"https://commons.wikimedia.org/wiki/Special:FilePath/Jensen%20Huang%20(cropped).jpg"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Jensen Huang cropped portrait. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0169"	"CAP-20260526-2102"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2102__tsmc-fab5.jpg"	"source_media_image"	"TSMC Fab5 building"	"https://commons.wikimedia.org/wiki/Special:FilePath/TSMC%20Fab5.JPG"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - TSMC Fab5 building. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0170"	"CAP-20260526-2103"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2103__google-data-center.jpg"	"source_media_image"	"Google data center in The Dalles"	"https://commons.wikimedia.org/wiki/Special:FilePath/Google%20data%20center.jpg"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Google data center in The Dalles. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0171"	"CAP-20260526-2104"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2104__electrical-substation.jpg"	"source_media_image"	"Electrical substation"	"https://commons.wikimedia.org/wiki/Special:FilePath/Electrical%20Substation.JPG"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Electrical substation. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0177"	"CAP-20260526-2110"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2110__silicon-wafer.jpg"	"source_media_image"	"Silicon wafer"	"https://commons.wikimedia.org/wiki/Special:FilePath/Silicon%20wafer.jpg"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Silicon wafer. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0183"	"CAP-20260526-2116"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2116__anthropic-claude4.html"	"source_media_html"	"Anthropic Claude 4 news page"	"https://www.anthropic.com/news/claude-4"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Anthropic Claude 4 news page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0184"	"CAP-20260526-2117"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2117__google-gemini.html"	"source_media_html"	"Google Gemini announcement page"	"https://blog.google/technology/ai/google-gemini-ai/"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Google Gemini announcement page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0185"	"CAP-20260526-2118"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2118__meta-llama-3-1.html"	"source_media_html"	"Meta Llama 3.1 announcement page"	"https://ai.meta.com/blog/meta-llama-3-1/"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Meta Llama 3.1 announcement page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0186"	"CAP-20260526-2119"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2119__deepseek-r1.pdf"	"source_media_pdf"	"DeepSeek-R1 arXiv PDF"	"https://arxiv.org/pdf/2501.12948"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - DeepSeek-R1 arXiv PDF. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0187"	"CAP-20260526-2120"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2120__deepseek-v3.pdf"	"source_media_pdf"	"DeepSeek-V3 arXiv PDF"	"https://arxiv.org/pdf/2412.19437"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - DeepSeek-V3 arXiv PDF. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0188"	"CAP-20260526-2121"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2121__microsoft-openai-partnership.html"	"source_media_html"	"Microsoft and OpenAI extended partnership"	"https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Microsoft and OpenAI extended partnership. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0189"	"CAP-20260526-2122"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2122__nvidia-h100.html"	"source_media_html"	"NVIDIA H100 product page"	"https://www.nvidia.com/en-us/data-center/h100/"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - NVIDIA H100 product page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0190"	"CAP-20260526-2123"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2123__asml-euv.html"	"source_media_html"	"ASML EUV lithography systems page"	"https://www.asml.com/en/products/euv-lithography-systems"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - ASML EUV lithography systems page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0192"	"CAP-20260526-2125"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2125__anthropic-claude-code.html"	"source_media_html"	"Anthropic Claude Code page"	"https://www.anthropic.com/claude-code"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Anthropic Claude Code page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0193"	"CAP-20260526-2126"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2126__anthropic-claude-code-overview.html"	"source_media_html"	"Anthropic Claude Code overview docs"	"https://docs.anthropic.com/en/docs/claude-code/overview"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - Anthropic Claude Code overview docs. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
"A-0197"	"CAP-20260526-2130"	"candidate_local_ignored"	"available_local_ignored"	"assets\source_media\i0210_wave1\CAP-20260526-2130__deepseek-home.html"	"source_media_html"	"DeepSeek home page"	"https://www.deepseek.com/"	"n/a"	"source_page_or_org_review_needed"	"2026-05-26"	"Figure candidate - DeepSeek home page. Local source-media capture for visual/reference use only until rights and claim review complete."	"Adds real-world/source-surface texture to people, labs, products, chips, infrastructure, or model-report chapters without promoting broad business or technical claims."	"Ignored local file; hash in capture log; publication rights, attribution, and fair-use status pending."	"manuscript/real-world-image-acquisition-wave1-i0210.md"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"hash,size,caption,story_purpose,blocked_claims_present;rights_not_cleared"
