"chapter"	"total_exhibits"	"scene_count"	"mechanism_count"	"evidence_count"	"comparison_count"	"source_texture_count"	"dominant_class"	"rhythm_flag"	"recommended_fix"
"1"	"3"	"2"	"1"	"0"	"0"	"0"	"scene"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"2"	"1"	"0"	"1"	"0"	"0"	"0"	"mechanism"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"3"	"1"	"0"	"1"	"0"	"0"	"0"	"mechanism"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"4"	"1"	"0"	"0"	"1"	"0"	"0"	"evidence"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"5"	"1"	"0"	"1"	"0"	"0"	"0"	"mechanism"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"6"	"3"	"0"	"1"	"0"	"0"	"2"	"source_texture"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"7"	"5"	"1"	"0"	"0"	"0"	"4"	"source_texture"	"source_texture_cluster"	"Interleave mechanism/evidence captions and avoid product-surface repetition."
"8"	"4"	"1"	"1"	"1"	"1"	"0"	"comparison"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"9"	"5"	"1"	"2"	"0"	"1"	"1"	"mechanism"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"10"	"5"	"1"	"2"	"0"	"0"	"2"	"mechanism"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"11"	"5"	"1"	"0"	"1"	"0"	"3"	"source_texture"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"12"	"6"	"2"	"2"	"0"	"1"	"1"	"mechanism"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"13"	"3"	"0"	"0"	"0"	"3"	"0"	"comparison"	"comparison_cluster"	"Separate comparison figures with prose or mechanism beats; reserve one matrix if layout feels tabular."
"14"	"6"	"0"	"2"	"0"	"1"	"3"	"source_texture"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"15"	"7"	"1"	"1"	"3"	"0"	"2"	"evidence"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"16"	"9"	"0"	"3"	"1"	"1"	"4"	"source_texture"	"source_texture_cluster"	"Interleave mechanism/evidence captions and avoid product-surface repetition."
"17"	"4"	"0"	"3"	"0"	"1"	"0"	"mechanism"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"18"	"5"	"0"	"2"	"2"	"0"	"1"	"evidence"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"19"	"5"	"0"	"3"	"0"	"1"	"1"	"mechanism"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"20"	"5"	"0"	"1"	"1"	"2"	"1"	"comparison"	"balanced_or_acceptable"	"Preserve current alternation; verify final page breaks."
"21"	"4"	"0"	"3"	"0"	"1"	"0"	"mechanism"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"22"	"4"	"0"	"3"	"0"	"1"	"0"	"mechanism"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"23"	"4"	"0"	"3"	"0"	"1"	"0"	"mechanism"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"24"	"4"	"0"	"3"	"1"	"0"	"0"	"mechanism"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
