pass_id	chapter	figure_id	page	sample_png	sample_png_exists	sample_png_sha256	page_text_chars	page_image_count	largest_image_area_pct	chapter_sample_status	manual_review_note
I-0280	CH01	F01.01	2	rendered/full_book_i0280/chapter_page_samples/ch01_page_002_F01-01.png	yes	00e5874d1795897258e5c4329acf0d25034fe2c793e32fdc5401444060b5f547	1988	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH02	F02.01	11	rendered/full_book_i0280/chapter_page_samples/ch02_page_011_F02-01.png	yes	2aefed0c71562e70897d82a4b806da0d2ba794528957491ecd72498f96302e52	1994	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH03	F03.01	18	rendered/full_book_i0280/chapter_page_samples/ch03_page_018_F03-01.png	yes	fde1de1e892ba9fbf3a3e3a4f27efbe9a34e1c8737a7c86d6dfa8063dc70b4b2	2277	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH04	F04.01	26	rendered/full_book_i0280/chapter_page_samples/ch04_page_026_F04-01.png	yes	5cca033bbbacfc9ec7e91d2484fbde4980ae9f94b14c4a3b00a5ae40d3eedff9	2198	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH05	F05.01	34	rendered/full_book_i0280/chapter_page_samples/ch05_page_034_F05-01.png	yes	b9541c11db67a42515ed81f894fbf882687b34cd31cc9328dc6118e90cac6cef	2162	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH06	F06.01	45	rendered/full_book_i0280/chapter_page_samples/ch06_page_045_F06-01.png	yes	36aa148bc3dd870a529048c18d018cff823a4f19beebf40cefe15beda2cc6e24	1958	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH07	F07.01	57	rendered/full_book_i0280/chapter_page_samples/ch07_page_057_F07-01.png	yes	cdadff987565649e32901ac7f1f3973e870123ca61c6f3482ac26035ca5d7b21	2307	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH08	F08.01	70	rendered/full_book_i0280/chapter_page_samples/ch08_page_070_F08-01.png	yes	c3d298de9632f1611d8096533033a8da1cbd9cb4958b446e898c4dcc855cb2a5	1741	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH09	F09.01	81	rendered/full_book_i0280/chapter_page_samples/ch09_page_081_F09-01.png	yes	98d689aab5ecbc749759ec29c8e535a5a897309c338514106902d6119801d641	2107	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH10	F10.01	92	rendered/full_book_i0280/chapter_page_samples/ch10_page_092_F10-01.png	yes	7337935644e8c2d13849340ef9b7111d8203911bb6848cc7f84fecb3d5686d34	2184	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0280	CH11	F11.01	103	rendered/full_book_i0280/chapter_page_samples/ch11_page_103_F11-01.png	yes	2813ba73459dfb2af7bb80d7ce15502114efd271592204ece23b3d9554b5e1fb	2008	1	26.4	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
