rank	chapter	asset_id	asset_type	selection_status	rights_status	final_role	rationale	next_gate
001	1	A-0068	svg_diagram	selected_100	ready_svg	opener chronology	Best current opener chronology because it pairs shock with blocked metric lanes.	Render in full-book opener spread.
002	1	A-0069	svg_diagram	selected_100	ready_svg	mechanism bridge	Keeps the chat box tied to next-token mechanics before company drama.	Check mobile/print legibility.
003	1	A-0070	svg_diagram	selected_100	ready_svg	local response texture	Shows institutional reaction without broad public-panic overclaiming.	Keep only if prose placement stays tight.
004	2	A-0115	svg_diagram	selected_100	ready_svg	pre-Transformer pressure chain	Fills the Chapter 2 mechanism gap with a constraint map.	Trace final caption to paper-source rows.
005	3	A-0116	svg_diagram	selected_100	ready_svg	self-attention mechanism	Fills the Chapter 3 architecture gap with a non-mystical attention schematic.	Add exact Transformer-figure provenance before final art.
006	4	A-0117	svg_diagram	selected_100	ready_svg	scaling evidence lanes	Fills Chapter 4 with a permissioned curve grammar rather than prophecy.	Verify plotted-value exclusions in final caption.
007	5	A-0010	svg_diagram	selected_100	ready_svg	GPT lineage anchor	Compactly connects GPT-1/GPT-2/GPT-3/API/Codex/Copilot.	Check against Chapter 19 overlap.
008	6	A-0011	svg_diagram	selected_100	ready_svg	alignment mechanism	Strongest RLHF/alignment pipeline visual already in house style.	Pair with one source surface, not more diagrams.
009	6	A-0121	screenshot_slot	selected_100	private_capture_needed	ChatGPT product surface	Product texture for assistant behavior becoming a public interface.	Capture screenshot/hash; rights review.
010	6	A-0122	screenshot_slot	selected_100	private_capture_needed	Plus productization surface	Shows subscription packaging without revenue or adoption inference.	Capture screenshot/hash; strict caption.
011	7	A-0016	svg_diagram	selected_100	ready_svg	ChatGPT business timeline	Best safe chronology for interface-to-business conversion.	Retain blocked adoption lane.
012	7	A-0036	screenshot_slot	selected_100	private_capture_needed	ChatGPT launch surface	High reader-recognition value for the interface event.	Capture/hash or use archival fallback.
013	7	A-0037	screenshot_slot	selected_100	private_capture_needed	ChatGPT Plus surface	Useful paid-product bridge if it does not duplicate A-0122.	Choose one of A-0037/A-0122 in final layout.
014	7	A-0038	screenshot_slot	selected_100	private_capture_needed	Enterprise surface	Enterprise controls surface for work-product chapter handoff.	Capture/hash; block productivity and customer outcomes.
