shortlist_id	rank	chapter_targets	source_ids	paper_or_source	figure_or_table_candidate	decision	redraw_scope	why_it_matters	rights_and_provenance_needed	blocked_claims	next_action
CPR-0190-001	1	3	S-0002	Attention Is All You Need	Figure 1 Transformer architecture plus Figure 2 scaled dot-product/multi-head attention	redraw_now	House-style architecture and attention-flow pair, simplified labels only	Best single mechanism bridge from early attention to modern LLM architecture.	Exact PDF page refs; cite original paper; redraw from concepts rather than tracing original geometry.	No modern implementation equivalence, attention-as-explanation, consciousness, truth, or architecture-alone causality.	Extract page/figure refs and draft paired redraw spec.
CPR-0190-002	2	4	S-0003	Scaling Laws for Neural Language Models	Loss/compute/data scaling evidence lanes	redraw_now	Conceptual evidence-lane chart; no exact exponents until values are extracted	Turns scaling into measured regimes rather than prophecy.	Figure/table page refs; value extraction if plotting numeric curves.	No universal formula, emergence threshold, product success, safety, or exact exponent claim.	Use abstracted lanes first; schedule numeric extraction separately.
CPR-0190-003	3	4	S-0190;S-0015	Training Compute-Optimal Large Language Models	Compute-optimal frontier / data-model balance	redraw_now	House-style compute/data balance schematic, not copied plot	Corrects model-size-only intuition and supports the data side of scale.	Page/figure refs; reconcile S-0190/S-0015 duplicate source handles before final art.	No universal token/parameter law, proof all labs followed it, or product guarantee.	Normalize source ID choice and write redraw caption blocker.
CPR-0190-004	4	6	S-0014	Training language models to follow instructions with human feedback	RLHF pipeline: demonstrations, comparisons, reward model, RL loop	redraw_now	Source-backed pipeline diagram with product-behavior caveat	Core visual for how completion models became assistant-shaped.	Paper figure/page refs; avoid copying layout; use existing A-0011 only as local precedent.	No solved alignment, universal preference transfer, labeler representativeness, or deployed safety proof.	Compare against A-0011 and decide whether to replace or cite as already satisfied.
CPR-0190-005	5	6;12	S-0019	Constitutional AI: Harmlessness from AI Feedback	Critique/revision and RLAIF process	redraw_now	Behavior-shaping loop with principle-selection blocker	Explains Anthropic's distinctive mechanism without turning it into moral proof.	Paper page/figure refs; cite source; preserve principle/context caveats.	No solved harmlessness, universal constitution, policy truth, or deployment-safety proof.	Map against A-0094 to avoid duplicate art.
CPR-0190-006	6	11;21	S-0029	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	RL reasoning and distillation mechanism	redraw_now	Mechanism panel separating RL, self-improvement framing, and distillation; exclude benchmark table	Connects China/open-model story to reasoning/test-time compute.	Full paper page refs; benchmark table excluded unless separately normalized.	No DeepSeek V4, live rank, exact cost, export-control causality, all-domain superiority, or geopolitical conclusion.	Extract full paper figure/table provenance before sketching.
CPR-0190-007	7	19;20	S-0035	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	Task-to-patch-to-test harness pipeline	redraw_now	Benchmark contract diagram with task, repo, patch, tests, scaffold, and metric fields	Makes coding benchmark drama legible without productivity laundering.	Paper page refs; local capture hash; metric/split definitions if any terms appear.	No raw-model productivity, enterprise outcome, live rank, best coding model, or security-quality claim.	Draft benchmark-contract visual beside existing A-0033/A-0092.
CPR-0190-008	8	19;20	S-0037	LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code	Time-window and contamination-aware evaluation pipeline	redraw_now	Evaluation freshness/time-window diagram paired with SWE-bench	Teaches why benchmark date windows matter in code evaluation.	Paper page refs; task-window definitions; local capture hash.	No production code quality, security, live rank, broad software-engineering skill, or best-model claim.	Pair with CPR-0190-007 as a two-benchmark spread.
CPR-0190-009	9	18;21	S-0135	ReAct: Synergizing Reasoning and Acting in Language Models	Reason/action/observation loop	redraw_now	Loop diagram with trust boundary and observation source labels	Shows agent behavior as a loop, not magic autonomy.	Paper page refs or local arXiv capture; avoid copying full prompt trace.	No production autonomy, tool safety, broad planning reliability, or workplace productivity.	Use as a compact source-backed supplement to A-0079.
CPR-0190-010	10	18	S-0136	Toolformer: Language Models Can Teach Themselves to Use Tools	API-call insertion/self-supervision pipeline	redraw_now	Training-data pipeline for tool-use research lineage	Provides pre-product tool-use mechanism texture.	Paper page refs; quote labels only.	No arbitrary tool mastery, product assistant capability, or safe tool execution.	Extract figure refs and mark as Chapter 18 candidate.
