"chapter"	"svg_rows"	"proxy_ok"	"render_scale_review"	"annotation_review"	"style_metadata_review"	"dominant_issue"	"chapter_action"
"1"	"3"	"0"	"3"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"2"	"1"	"0"	"0"	"0"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"3"	"1"	"0"	"0"	"0"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"4"	"1"	"0"	"0"	"0"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"5"	"1"	"0"	"0"	"0"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"6"	"1"	"0"	"0"	"0"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"7"	"1"	"1"	"0"	"0"	"0"	"none"	"Carry chapter SVGs to page-image proof."
"8"	"4"	"0"	"4"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"9"	"4"	"1"	"3"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"10"	"3"	"0"	"1"	"0"	"2"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"11"	"2"	"0"	"2"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"12"	"4"	"2"	"1"	"1"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"13"	"3"	"3"	"0"	"0"	"0"	"none"	"Carry chapter SVGs to page-image proof."
"14"	"3"	"0"	"3"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"15"	"5"	"4"	"1"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"16"	"5"	"4"	"1"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"17"	"4"	"0"	"4"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"18"	"4"	"0"	"4"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"19"	"4"	"3"	"1"	"0"	"0"	"print_scale_small_text"	"Resolve print-scale text before placing chapter figures."
"20"	"4"	"4"	"0"	"0"	"0"	"none"	"Carry chapter SVGs to page-image proof."
"21"	"4"	"1"	"1"	"0"	"2"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"22"	"4"	"1"	"1"	"0"	"2"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"23"	"4"	"1"	"1"	"1"	"1"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
"24"	"4"	"0"	"0"	"1"	"3"	"text_contrast_proxy_review"	"Resolve print-scale text before placing chapter figures."
