pass_id	inventory_id	visual_family	asset_id	title	old_pdf_page_i0300	pdf_page_i0302	mapping_method	mapping_evidence	status
I-0302	FI-0001	expanded_300_exhibit	A-0287-013	Figure 01.01 - OpenAI Platform Became A Public Product Surface		2	figure_or_section_id	F01.01	mapped
I-0302	FI-0002	expanded_300_exhibit	A-0069	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.		7	figure_or_section_id	F01.02	mapped
I-0302	FI-0003	expanded_300_exhibit	A-0070	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.		12	figure_or_section_id	F01.03	mapped
I-0302	FI-0004	expanded_300_exhibit	A-0285-001	Figure 02.01 - Transformer Paper Page As The Breakthrough Surface		17	figure_or_section_id	F02.01	mapped
I-0302	FI-0005	expanded_300_exhibit	A-0288-001	Figure 03.01 - BERT Page As Bidirectional Transformer Lineage		30	figure_or_section_id	F03.01	mapped
I-0302	FI-0006	expanded_300_exhibit	A-0285-005	Figure 04.01 - Scaling Laws Page As Loss-Compute Evidence		43	figure_or_section_id	F04.01	mapped
I-0302	FI-0007	expanded_300_exhibit	A-0285-002	Figure 05.01 - GPT-1 Paper Page As Pretraining Origin		56	figure_or_section_id	F05.01	mapped
I-0302	FI-0008	expanded_300_exhibit	A-0287-014	Figure 06.01 - Anthropic Console Product Surface		72	figure_or_section_id	F06.01	mapped
I-0302	FI-0009	expanded_300_exhibit	A-0284-006	Figure 06.02 - OpenAI API As Behavior Interface	77	77	figure_or_section_id	F06.02	mapped
I-0302	FI-0010	expanded_300_exhibit	A-0284-057	Figure 06.03 - Dario Amodei Public Profile Texture		83	figure_or_section_id	F06.03	mapped
I-0302	FI-0011	expanded_300_exhibit	A-0016	Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane.		91	figure_or_section_id	F07.01	mapped
I-0302	FI-0012	expanded_300_exhibit	A-0284-052	Figure 07.02 - Sam Altman Public Profile Texture	95	95	figure_or_section_id	F07.02	mapped
I-0302	FI-0013	expanded_300_exhibit	A-0260-001	Paid access became a product surface	99	99	figure_or_section_id	F07.03	mapped
I-0302	FI-0014	expanded_300_exhibit	A-0260-002	Enterprise ChatGPT added workplace controls	102	102	figure_or_section_id	F07.04	mapped
I-0302	FI-0015	expanded_300_exhibit	A-0260-003	Release notes are product archaeology	106	106	figure_or_section_id	F07.05	mapped
I-0302	FI-0016	expanded_300_exhibit	A-0056	Figure 8.1 - Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane.		111	figure_or_section_id	F08.01	mapped
I-0302	FI-0017	expanded_300_exhibit	A-0287-017	Figure 08.02 - Microsoft Copilot Product Surface	115	115	figure_or_section_id	F08.02	mapped
I-0302	FI-0018	expanded_300_exhibit	A-0058	Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers.		118	figure_or_section_id	F08.03	mapped
I-0302	FI-0019	expanded_300_exhibit	A-0059	Figure 8.4 - Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows.		121	figure_or_section_id	F08.04	mapped
I-0302	FI-0020	expanded_300_exhibit	A-0288-004	Figure 09.01 - PaLM Page As Google's Scale Surface		127	figure_or_section_id	F09.01	mapped
I-0302	FI-0021	expanded_300_exhibit	A-0289-004	Figure 09.02 - Gemini API Model Docs Surface	130	130	figure_or_section_id	F09.02	mapped
I-0302	FI-0022	expanded_300_exhibit	A-0288-016	Figure 09.03 - Gemini 1.5 Report Page As Long-Context Surface		133	figure_or_section_id	F09.03	mapped
I-0302	FI-0023	expanded_300_exhibit	A-0289-T001	Figure 09.04 - 2023 Model-Landscape Table	136	136	figure_or_section_id	F09.04	mapped
I-0302	FI-0024	expanded_300_exhibit	A-0287-015	Figure 09.05 - Google AI Studio Product Surface	139	139	figure_or_section_id	F09.05	mapped
I-0302	FI-0025	expanded_300_exhibit	A-0288-009	Figure 10.01 - Llama 3 Herd Paper Page	144	144	figure_or_section_id	F10.01	mapped
I-0302	FI-0026	expanded_300_exhibit	A-0286-004	Figure 10.02 - Llama 2 Hugging Face Model Card	147	147	figure_or_section_id	F10.02	mapped
I-0302	FI-0027	expanded_300_exhibit	A-0286-011	Figure 10.03 - Llama 3 Hugging Face Model Card	150	150	figure_or_section_id	F10.03	mapped
I-0302	FI-0028	expanded_300_exhibit	A-0287-019	Figure 10.04 - Meta Llama Documentation Surface		153	figure_or_section_id	F10.04	mapped
I-0302	FI-0029	expanded_300_exhibit	A-0285-008	Figure 10.05 - Llama 2 Report Page As Open-Weight Infrastructure		156	figure_or_section_id	F10.05	mapped
I-0302	FI-0030	expanded_300_exhibit	A-0289-001	Figure 11.01 - Qwen3 Hugging Face Model Card	160	160	figure_or_section_id	F11.01	mapped
I-0302	FI-0031	expanded_300_exhibit	A-0289-002	Figure 11.02 - DeepSeek-V3 Hugging Face Model Card		162	figure_or_section_id	F11.02	mapped
I-0302	FI-0032	expanded_300_exhibit	A-0285-010	Figure 11.03 - Qwen2 Technical Report Page	166	166	figure_or_section_id	F11.03	mapped
I-0302	FI-0033	expanded_300_exhibit	A-0288-017	Figure 11.04 - Qwen3 Technical Report Page	169	169	figure_or_section_id	F11.04	mapped
I-0302	FI-0034	expanded_300_exhibit	A-0285-011	Figure 11.05 - DeepSeek-V3 Technical Report Page		172	figure_or_section_id	F11.05	mapped
I-0302	FI-0035	expanded_300_exhibit	A-0094	Figure 12.1 - Constitutional AI As Behavior Grammar. Written principles, critique/revision, AI feedback, and evaluation loops can shape assistant behavior, but they do not prove solved alignment or moral guarantees.		179	figure_or_section_id	F12.01	mapped
I-0302	FI-0036	expanded_300_exhibit	A-0095	Figure 12.2 - Claude Becomes A Product Family. Haiku, Sonnet, Opus, computer use, Claude Code, and Claude 4 mark release surfaces and product positioning, not permanent best-model status.		181	figure_or_section_id	F12.02	mapped
I-0302	FI-0037	expanded_300_exhibit	A-0096	Figure 12.3 - From Assistant To Action Surface. Anthropic's computer-use, MCP, and Claude Code materials show a move toward tool-connected assistants, with permissions and review as part of the system.		186	figure_or_section_id	F12.03	mapped
I-0302	FI-0038	expanded_300_exhibit	A-0097	Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope.		191	figure_or_section_id	F12.04	mapped
I-0302	FI-0039	expanded_300_exhibit	A-0260-017	Computer use was a product announcement	188	188	figure_or_section_id	F12.05	mapped
I-0302	FI-0040	expanded_300_exhibit	A-0260-018	Claude is a model-family product surface	189	189	figure_or_section_id	F12.06	mapped
I-0302	FI-0041	expanded_300_exhibit	A-0286-009	Figure 13.01 - LMArena Leaderboard Surface	204	204	figure_or_section_id	F13.01	mapped
I-0302	FI-0042	expanded_300_exhibit	A-0289-T005	Figure 13.02 - May 2026 Cutoff Model-Landscape Table		209	figure_or_section_id	F13.02	mapped
I-0302	FI-0043	expanded_300_exhibit	A-0289-T002	Figure 13.03 - 2024 Model-Landscape Table	214	214	figure_or_section_id	F13.03	mapped
I-0302	FI-0044	expanded_300_exhibit	A-0071	Figure 14.1 - CUDA Stack: The Moat Under The Moat. Frameworks, libraries, CUDA programming model, runtime, accelerators, and cloud operations form one stack.		219	figure_or_section_id	F14.01	mapped
I-0302	FI-0045	expanded_300_exhibit	A-0072	Figure 14.2 - GPU Memory and Interconnect: The Traffic Pattern. Host orchestration, HBM, GPU shards, and interconnect fabric make LLM systems a communication problem.		221	figure_or_section_id	F14.02	mapped
I-0302	FI-0046	expanded_300_exhibit	A-0073	Figure 14.3 - Training vs Inference: Two Capacity Problems. Training runs and inference services stress the same GPU stack in different ways.		223	figure_or_section_id	F14.03	mapped
I-0302	FI-0047	expanded_300_exhibit	A-0261-001	Lithography Texture Becomes Packaging Logic	227	227	figure_or_section_id	F14.04	mapped
I-0302	FI-0048	expanded_300_exhibit	A-0261-002	Cleanrooms Are Too Weak Without Rights	230	230	figure_or_section_id	F14.05	mapped
I-0302	FI-0049	expanded_300_exhibit	A-0287-002	Figure 14.06 - NVIDIA GB200 NVL72 Hardware Surface		233	figure_or_section_id	F14.06	mapped
