sequence_rank	asset_id	source_page	role	chapter_slot	final_decision	reason	caption_guard	next_gate
1	A-0024	page 29	opening thesis claim card	Chapter 15 opening after AI-factory metaphor	place_primary	Best commit-safe representation of NVIDIA's AI-factory thesis; use the card rather than raw slide to keep attribution and blockers visible.	NVIDIA framing only; no neutral industry definition, deployed-factory performance, independent economics, or revenue proof.	Render QA for opening spread; choose A-0004/A-0106 only as provenance/private-use handles unless rights review favors raw slide.
2	A-0012	n/a	neutral mechanism bridge	After "A Keynote As A Sales Funnel For A Worldview"	place_primary	Explains the AI factory stack in the book's own visual grammar, separating mechanism layers from NVIDIA's stagecraft.	Does not validate NVIDIA ratios, roadmap claims, partner lists, deployment scale, revenue, or facility performance.	Check layout density against A-0024 and prose; keep as first explanatory diagram.
3	A-0027	page 49	system comparison claim card	"The One-Gigawatt Argument"	place_primary	Strongest source-actor comparison for the system-level factory argument; card is safer than raw slide because it foregrounds claim status.	NVIDIA promotional comparison only; no exact ratios, token throughput, revenue, deployed capacity, or neutral performance proof.	Keep caption narrow; do not pair with raw A-0007 unless a source-surface inset is later needed.
4	A-0028	page 50	roadmap cadence card	"Roadmaps Are Not Time Machines"	place_primary_if_space	Best roadmap/cadence visual, but it should be subordinate to thesis and system cards.	NVIDIA roadmap only; no future item as happened history, guaranteed delivery, production status, specs, or timing.	Use if Chapter 15 can carry four GTC source surfaces; otherwise cite the slide in prose and reserve the card.
5	A-0029	page 51	DSX platform handoff card	"DSX: The Factory Becomes A Reference Design" and Chapter 16 handoff	place_primary_or_handoff	Best bridge from stagecraft to facility/power/software constraints; may work as a Chapter 15 closing/handoff visual or Chapter 16 opener reference.	NVIDIA DSX framing only; no customer deployment, adoption scale, facility performance, energy efficiency, or proof DSX solves power/cooling/interconnection.	Choose final placement in Chapter 15/16 spread QA; avoid duplicating A-0009/A-0107.
reserve-1	A-0145	page 32	token-economics source surface	"Inference Becomes The Business"	reserve_redraw_backlog	Newly hashed, high-value token-economics chart, but exact axes and plotted rows are not extracted; use as source handle for a future redraw, not final art yet.	No exact TPS/MW values, company-result proof, cost-per-token, energy-per-token, or model-rank inference.	Axis/value extraction, same-scope economics corroboration, and redraw/caption contract.
reserve-2	A-0025	page 45	inference-compute product roadmap card	"Roadmaps Are Not Time Machines"	reserve_or_cite_only	Product-specific Groq 3 LPX roadmap card is less central than page 50 cadence and risks spec clutter.	NVIDIA roadmap/availability/performance framing only; no shipped availability or verified product performance.	Use only if replacing A-0028 or if Chapter 14/15 needs a narrow product example.
reserve-3	A-0026	page 46	Vera Rubin partner/performance card	"Vera Rubin As A System Promise"	reserve_or_cite_only	Can support prose, but final art should avoid stacking too many product announcement cards around the system argument.	NVIDIA announcement, partner, and performance framing only; no independent partner confirmation, launch status, or performance proof.	Cite in prose or use as sidebar if A-0027 is dropped.
provenance	A-0004	page 29	raw slide render	private-use source handle	provenance_only	Raw slide has visual drama but duplicates A-0024 and needs rights/fair-use review.	No independent AI-factory economics or deployed-performance proof.	Keep hash/provenance; do not place with A-0024.
provenance	A-0007	page 49	raw slide render	private-use source handle	provenance_only	Raw slide duplicates A-0027 and could over-awe readers with exact-looking numbers.	No independent ratios, throughput, or revenue proof.	Keep hash/provenance; do not place with A-0027.
provenance	A-0008	page 50	raw slide render	private-use source handle	provenance_only	Raw slide duplicates A-0028; card better preserves roadmap label.	No future item as happened history.	Keep hash/provenance; do not place with A-0028.
provenance	A-0009	page 51	raw slide render	private-use source handle	provenance_only	Raw slide duplicates A-0029 and Chapter 16 handoff handles.	No facility-performance, deployment-scale, or power/cooling proof.	Keep hash/provenance; do not place with A-0029.
