row_id	snapshot_id	source_id	pricing_section	model	training_usd_per_hour	input_usd_per_1m_tokens	cached_input_usd_per_1m_tokens	output_usd_per_1m_tokens	batch_or_priority	cutoff_status	chart_readiness	caveat
OPR-0001	SNAP-20260525-001	S-0072	fine_tuning_standard	o4-mini-2025-04-16	100.00	4.00	1.00	16.00	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0002	SNAP-20260525-001	S-0072	fine_tuning_standard	gpt-4.1-2025-04-14	25.00	3.00	0.75	12.00	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0003	SNAP-20260525-001	S-0072	fine_tuning_standard	gpt-4.1-mini-2025-04-14	5.00	0.80	0.20	3.20	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0004	SNAP-20260525-001	S-0072	fine_tuning_standard	gpt-4.1-nano-2025-04-14	1.50	0.20	0.05	0.80	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0005	SNAP-20260525-001	S-0072	fine_tuning_standard	gpt-4o-2024-08-06	25.00	3.75	1.875	15.00	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0006	SNAP-20260525-001	S-0072	fine_tuning_standard	gpt-4o-mini-2024-07-18	3.00	0.30	0.15	1.20	standard	model_name_pre_cutoff_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Official OpenAI developer-docs row was captured on 2026-05-25, one day after the book cutoff; do not treat as exact May 24 price truth without corroboration.
OPR-0007	SNAP-20260525-001	S-0072	fine_tuning_legacy	gpt-3.5-turbo	8.00	3.00		6.00	standard	legacy_model_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Legacy row is visible in the post-cutoff capture; exact cutoff-day pricing still needs corroboration.
OPR-0008	SNAP-20260525-001	S-0072	fine_tuning_legacy	davinci-002	6.00	12.00		12.00	standard	legacy_model_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Legacy row is visible in the post-cutoff capture; exact cutoff-day pricing still needs corroboration.
OPR-0009	SNAP-20260525-001	S-0072	fine_tuning_legacy	babbage-002	0.40	1.60		1.60	standard	legacy_model_but_price_capture_post_cutoff	candidate_only_requires_cutoff_day_corroboration	Legacy row is visible in the post-cutoff capture; exact cutoff-day pricing still needs corroboration.
OPR-0010	SNAP-20260525-001	S-0072	fine_tuning_data_sharing	o4-mini-2025-04-16	100.00	2.00	0.50	8.00	data_sharing	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Data-sharing discount tier is not comparable to standard public price rows without separate chart scope.
