chapter	visual_state	reader_effect_job	addiction_gap	visual_decision	priority	next_gate
CH01	3 selected visuals with healthy pressure and low fatigue	Shock, mechanism, consequence	The opener already has a visual sentence; the risk is over-explaining the shock before the reader feels it.	Keep the three-beat sequence and make the first caption short enough to preserve velocity.	P1	Verify first spread so chronology leads and source apparatus follows.
CH02	1 mechanism visual, too open	Clarity plus mystery	The lone bottleneck map explains the old problem but does not yet make the pre-Transformer world feel lived-in.	Add or promote one small source/paper texture only if it sharpens the "before the breakthrough" tension.	P1	Test one source-texture candidate during prose-around-figures pass.
CH03	1 mechanism visual, too open, caption risk	Technical awe	Self-attention can be thrilling, but a long caption may turn awe into homework.	Keep the mechanism, shorten the reader-facing caption, and move exact provenance to a nearby note.	P0	Create short-caption variant before render.
CH04	1 evidence visual, too open, caption risk	Suspense from scaling	The scaling visual explains why curves mattered, but the chapter needs the reader to feel uncertainty rather than destiny.	Keep the visual if the caption blocks product guarantees and preserves surprise.	P1	Rewrite surrounding prose so the chart raises the question, not the answer.
CH05	1 mechanism visual, too open, caption risk	Lineage momentum	The GPT lineage anchor orients the reader, but one table-like beat can feel thin after four technical chapters.	Add source texture only if it makes GPT-1 to GPT-3 feel like a race rather than a catalog.	P2	Check overlap with Chapter 19 before adding.
CH06	3 visuals, healthy pressure, two pending captures	Product memory	Alignment becomes memorable when the reader sees product surface plus mechanism, but screenshot debt can slow trust.	Keep mechanism-plus-product mix; close or replace capture slots before final layout.	P0	Resolve A-0121/A-0122 capture or source-card substitution.
CH07	5 visuals, dense but workable, source-texture cluster	Launch suspense and productization	The chapter has memory assets but risks becoming a product-page gallery.	Select the one or two strongest surfaces and cut duplicate conversion surfaces if prose already carries the business turn.	P0	Choose between overlapping ChatGPT launch/Plus/Enterprise/plugin surfaces.
CH08	4 visuals, healthy pressure, caption cluster	Strategic reversal	The cloud bargain visuals can make Microsoft's move feel inevitable too early.	Keep timeline and cost-stack; consider demoting one flywheel/blocker map if the chapter feels managerial.	P1	A/B with and without enterprise blocker map in layout.
CH09	5 visuals, dense but workable	Institutional character	Google/DeepMind visuals can clarify the giant-waking image, but too many platform maps can flatten character.	Keep one chronology and one architecture anchor; use source texture to preserve institutional stakes.	P1	Check whether five figures crowd the chapter's strongest prose.
CH10	5 visuals, dense but workable, pending rights	Product and lab contrast	Anthropic/Claude visuals should make constitutional alignment and product restraint feel distinct.	Keep visual diversity; replace any weak screenshot with source-card evidence if rights remain open.	P1	Close pending capture/rights gates before render.
CH11	5 visuals, dense but workable, multiple pending captures	Open-weight surprise	Meta/Llama needs the reader to feel the twist of release strategy and ecosystem spread.	Preserve one release/source surface, one ecosystem map, and one technical anchor; cut repeated product-page evidence.	P1	Prioritize source cards over unresolved screenshots.
CH12	6 visuals, dense but workable	Plural frontier energy	The rest-of-frontier chapter can delight through variety, but six visuals may become a sampler platter.	Use one landscape, one surprising source card, and one local mechanism; demote extras to appendix if identities blur.	P0	Resolve chapter identity/title conflict before final visual selection.
CH13	3 visuals, comparison cluster	Leaderboard suspense	Rankings are addictive when they feel unstable and fair; matrices are dull when they pretend to crown a winner.	Separate comparisons with methodology prose and make uncertainty visible.	P0	Keep contamination/live-rank caveat next to the first comparison figure.
CH14	6 visuals, dense but workable, source texture	China systems surprise	The chapter can win word-of-mouth if visuals show how disclosure, chips, training, and release choices interact.	Keep source-surface variety, but prevent a document-wall rhythm.	P1	Select one source card as the emotional hinge, not all of them.
CH15	7 visuals, crowded, caption cluster	Company theater plus industrial machine	GTC visuals can be vivid stagecraft, but crowding risks corporate-slide fatigue.	Prune company-sourced visuals unless they create a source-actor argument the prose cannot.	P0	Apply rights-risk triage before any additional GTC placement.
CH16	9 visuals, crowded, source-texture cluster	Physical constraint	The strongest reader pull is the collision between tokens and substations; nine exhibits can bury that punch.	Cut or merge at least two visuals; use one physical/place beat to humanize the grid constraint.	P0	Reduce selected set before full render assembly.
CH17	4 visuals, healthy pressure, mechanism run	Craft suspense	Coding-agent visuals should make the reader wonder what the agent can and cannot do next.	Add source/prose breathing room before another workflow diagram.	P1	Use one repository/source surface to interrupt mechanism sequence.
CH18	5 visuals, dense but workable	Agency tension	Tool-use visuals should create risk and permission suspense, not a controls manual.	Keep the clearest loop; demote any duplicate guardrail/control board.	P1	Test final sequence for "manual fatigue."
CH19	5 visuals, dense but workable	Developer delight	CUDA/hardware visuals can produce awe if they show accumulated leverage, not just stack complexity.	Keep chip-to-software ladder and one object/source texture; cut overlap with Chapter 5 lineage.	P1	Check duplication against GPT lineage and AI-factory system.
CH20	5 visuals, dense but workable	Benchmark anxiety	Evaluation visuals should make uncertainty feel honest and exciting.	Keep methodology-first figures; avoid too many grids in sequence.	P1	Place one human-facing example before dense comparison.
