rank	shortlist_id	priority	chapter_targets	data_surface	source_ids	existing_asset_or_slot	recommended_treatment	story_role	allowed_caption	blocked_claims	required_provenance	next_action
1	DCS-0195-001	P0	17	Tokenization / BPE / SentencePiece source surface	S-0043;S-0153;S-0154	A-0064;DATAEX-0179-003	final existing diagram plus source-card reserve	Show text becoming subword pieces, IDs, context budget, and next-token target.	Tokenizer sources explain subword segmentation and token IDs as mechanisms, not exact behavior for every model.	exact tokenizer output; vocabulary size; language-cost comparison; tokenizer neutrality; model-specific token accounting	tokenizer label; source date; demo text if numeric; source IDs; blocker note	Keep A-0064 as final diagram; add a source card only after exact tokenizer/demo provenance is chosen.
2	DCS-0195-002	P0	17	Common Crawl to C4 filter funnel	S-0155;S-0156;S-0261	A-0065;DATAEX-0179-001	final existing diagram plus source-surface candidate	Make the web corpus feel like a supply chain: crawl, extract, filter, deduplicate, document.	Common Crawl and C4 can show open web-crawl substrate and cleaning/documentation decisions.	closed-model corpus share; legal cleanliness; consent; representativeness; content quality	source URLs; access dates; paper/page ids; redraw notes; blocker note	Use A-0065 as the main exhibit; capture Common Crawl only if a source-page inset adds provenance.
3	DCS-0195-003	P0	17	The Pile and Dolma open-corpus recipe board	S-0042;S-0157;S-0158	A-0066;DATAEX-0179-002	final existing diagram plus redraw refinement	Contrast documented open mixtures with undisclosed frontier corpora.	The Pile and Dolma can visualize data mixtures as explicit recipes and transparency lanes.	proprietary corpus composition; exact proportions; universal representativeness; legality; downstream superiority	component/table extraction; page numbers; rights notes; schematic-share label	Refine A-0066 only after extracting source-category rows and page refs.
4	DCS-0195-004	P0	17;23	Deduplication as training decision	S-0160	A-0067;DATAEX-0179-004	final candidate	Show repeated data as a training, memorization, and benchmark-risk mechanism.	Deduplication sources support the idea that repeated text changes training and evaluation behavior.	universal improvement; exact effect sizes without extraction; contamination prevalence; legal conclusion	paper figure/table candidate; page id; metric definition; blocker note	Promote into paper-redraw extraction queue before any numeric effect is shown.
5	DCS-0195-005	P0	17;23	Memorization and extraction risk surface	S-0161;S-0162	A-0067;DATAEX-0179-005	final candidate	Connect corpus decisions to trust without sensationalizing leakage.	Memorization/extraction papers show risk families and conditions, not live-model leakage rates.	model-specific leakage prevalence; product safety; legal liability; deletion sufficiency	paper page ids; figure/table or excerpt candidate; quote-limit review	Use A-0067 as blocker map; reserve exact source-card excerpt for Chapter 23 if needed.
6	DCS-0195-006	P0	17	DataComp-LM control-board surface	S-0163	DATAEX-0179-006	final candidate	Show data curation as an experimental variable, not invisible fuel.	DataComp-LM supports data as a benchmark/control object with stated evaluation frames.	best recipe; live benchmark crown; closed-corpus inference; one-score data quality	paper section/page ids; metric definitions; benchmark contract	Make a later redraw if Chapter 17 needs a data-experiment surface beyond A-0066.
7	DCS-0195-007	P1	17	FineWeb decants the web	S-0159;S-0262	DATAEX-0179-007	reserve source screenshot/redraw	Add modern Common Crawl processing texture and dataset-page materiality.	FineWeb can serve as a source surface for large-scale web processing and filtering decisions.	benchmark lift; quality superiority; legal cleanliness; proprietary-corpus inference	HF/source page hash; paper source; license/metadata; rights notes	Hold until screenshot/source-card capture freezes metadata and source page.
8	DCS-0195-008	P1	17	RefinedWeb web-only corpus surface	S-0263	DATAEX-0179-008	reserve redraw	Provide a web-only corpus-design counterpoint.	RefinedWeb supports a visual lane where web data is filtered, deduplicated, and evaluated as corpus design.	Falcon model quality; universal web-data sufficiency; outperforming claim without scope; closed-corpus comparison	paper page/figure ids; evaluation scope; blocker note	Use only if the final chapter needs a second modern web-corpus contrast.
9	DCS-0195-009	P1	10;11;17	RedPajama open-data lineage	S-0264	DATAEX-0179-009	reserve repo screenshot/lineage redraw	Make open-data reconstruction visible near Llama/open-weight chapters.	RedPajama can show open preparation code and dataset lineage around attempted recipe reconstruction.	exact LLaMA replication; training equivalence; model quality; adoption impact; legal status	repo commit/date/hash; license note; source URL; blocker note	Capture repo page hash in a source-download pass before use.
10	DCS-0195-010	P1	17	SlimPajama dedup package	S-0265	DATAEX-0179-010	reserve dataset-page source card	Show dataset packaging and dedup metadata as public infrastructure.	SlimPajama can be a dataset-page example of deduplicated multi-corpus packaging.	largest/best dataset; model performance; legal status; open-source impact	HF page hash; license/metadata capture; access date	Hold for source-card reserve unless final layout needs dataset-page texture.
11	DCS-0195-011	P1	11;17	ROOTS / BigScience multilingual corpus governance	S-0266	DATAEX-0179-011	reserve source-excerpt/mixture redraw	Add multilingual corpus governance and open-science texture.	ROOTS can show curated multilingual corpus assembly tied to governance and documentation effort.	representative world corpus; governance success; universal multilingual quality; legal sufficiency	paper page ids; language/source coverage rows; quote-limit review	Extract governance/source-category table before any final figure.
12	DCS-0195-012	P1	5;17	BookCorpus documentation-debt blocker card	S-0267	DATAEX-0179-012	reserve source-excerpt blocker card	Make books data a provenance problem rather than a decorative book image.	BookCorpus can show documentation debt and rights/provenance caution for book-derived data.	closed model used this corpus; legal ruling; consent conclusion; exact book-source share	quote-limit review; paper page id; blocker note	Use as a source card beside books/web/code caution only if quote discipline is resolved.
13	DCS-0195-013	P1	9;17;21	Long context as inference-time data supply	S-0018;S-0117;S-0248	A-0088;DATAEX-0179-013	reserve bridge exhibit	Connect training data, prompt supply, context windows, and retrieval pressure.	Long-context sources can show more input available at inference and new costs/constraints.	solved memory; solved retrieval; legal review; codebase understanding; enterprise knowledge; cheap processing	model/version/date; context figure/page id; latency/cost caveats	Use as a bridge between Chapters 9, 17, and 21 only if it does not duplicate A-0088.
14	DCS-0195-014	P2	17	Web dataset family tree	S-0155;S-0158;S-0159;S-0262;S-0263	DATAEX-0179-014	overview reserve	Summarize Common Crawl-derived and modern open web dataset lineage.	Can orient readers if too many dataset cards fragment the chapter.	completeness; legal status; quality hierarchy; representativeness; closed-corpus inference	all source IDs; date labels; lineage caveats; blocker note	Create only if it replaces, rather than adds to, multiple web-corpus cards.
15	DCS-0195-015	P2	5;17	Books/web/code caution triptych	S-0042;S-0266;S-0267	DATAEX-0179-015	source-card triptych reserve	Show why provenance differs by source type.	A triptych can contrast documented open mixtures, multilingual governance, and books documentation debt.	closed-model mixture shares; legality; consent; source completeness	source snippets/page ids; quote-limit check; source-type labels	Use only if final layout needs a compact provenance caution rather than separate cards.
