screenshot_id	priority	product_surface	source_ids	target_path	viewport	capture_state	story_role	allowed_caption	blocked_claims	hash_requirement	next_action
MPI-0180-001	P0	ChatGPT launch product surface	S-0006	assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	1280x900 desktop	private_use_slot	Chapter 6 public-interface turn	OpenAI's ChatGPT launch page as an attributed product surface for the assistant turn.	adoption; revenue; market share; quality; truth; current UI; daily usage	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture with browser, save outside git if raster is large, then log hash in a future execution row.
MPI-0180-002	P0	ChatGPT Plus productization surface	S-0078;S-0089	assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	1280x900 desktop	private_use_slot	Chapter 6 consumer subscription bridge	OpenAI's Plus announcement/source page as evidence that ChatGPT became a paid product surface.	subscriber count; revenue; margin; retention; model quality; availability today	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture announcement page and any local text-render fallback; keep pricing claims scoped to the source date.
MPI-0180-003	P0	ChatGPT Enterprise source surface	S-0079;S-0089	assets/private_use_screenshots/i0180/A-0123_chatgpt_enterprise_product_surface.png	1440x1000 desktop	private_use_slot	Chapter 7 enterprise wrapper	OpenAI's Enterprise announcement as the work-surface and governance wrapper for ChatGPT.	customer adoption; enterprise ROI; productivity; security effectiveness; revenue; deployment scale	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture source page or text-render fallback; caption must separate vendor promise from enterprise outcome proof.
MPI-0180-004	P0	ChatGPT plugins, GPTs, and tool surfaces	S-0044;S-0045;S-0046	assets/private_use_screenshots/i0180/A-0124_chatgpt_tools_gpts_product_surface.png	1280x900 desktop	private_use_slot	Chapters 12 and 18 tool turn	OpenAI product surfaces showing plugins, GPTs, and tool access as interface extensions.	plugin adoption; app-store economics; workflow productivity; tool reliability; agent autonomy; safety	Record sha256, capture timestamp, page title, URL, and source HTML hash for each chosen page.	Choose one page for final screenshot and keep other pages as provenance alternatives.
MPI-0180-005	P0	OpenAI API tools documentation surface	S-0271;S-0244	assets/private_use_screenshots/i0180/A-0125_openai_api_tools_docs_surface.png	1440x1000 desktop	private_use_slot	Chapter 18 tool/API substrate	OpenAI API documentation as a source surface for tool-calling and platform packaging.	current API behavior; availability; pricing; reliability; developer adoption; safety	Record sha256, capture timestamp, page title, URL, source HTML hash, and visible docs route.	Capture docs page with date banner/context; any API claim needs a separate exact-doc extraction.
MPI-0180-006	P0	OpenAI Codex agent source surface	S-0054;S-0244	assets/private_use_screenshots/i0180/A-0126_openai_codex_agent_surface.png	1440x1000 desktop	private_use_slot	Chapter 20 supervised repository agent	OpenAI's Codex source surface as an attributed example of repository-work agent packaging.	autonomous engineering; productivity; defect rate; market share; security; broad deployment	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture official Codex page or announcement; keep every capability claim source-dated.
MPI-0180-007	P0	GitHub Copilot coding assistant surface	S-0070	assets/private_use_screenshots/i0180/A-0127_github_copilot_product_surface.png	1440x1000 desktop	private_use_slot	Chapter 19 code-in-editor conversion	GitHub Copilot as a coding-assistant product surface embedded in developer workflow.	productivity; code quality; adoption; revenue; security; developer replacement	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture official post or product surface; do not reuse marketing productivity claims without same-scope evidence.
MPI-0180-008	P1	Microsoft 365 Copilot work-surface announcement	S-0270;S-0272	assets/private_use_screenshots/i0180/A-0128_microsoft_365_copilot_product_surface.png	1440x1000 desktop	private_use_slot	Chapter 7 Microsoft work-surface distribution	Microsoft 365 Copilot announcement as an enterprise productivity-app interface surface.	productivity gains; seat count; ARR; customer success; security; market share	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture the March 2023 official blog image/text surface and block outcome claims.
MPI-0180-009	P0	Gemini/Bard consumer and developer surfaces	S-0121;S-0123;S-0124;S-0119	assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png	1440x1000 desktop	private_use_slot	Chapter 8 Google product-conversion pressure	Google Gemini/Bard source surfaces showing consumer and developer conversion under Google distribution pressure.	Search-share effect; adoption; model rank; Workspace productivity; safety; current feature availability	Record sha256, capture timestamp, page title, URL, source HTML hash, and route.	Select launch or developer page depending on chapter placement; keep Bard/Gemini chronology explicit.
MPI-0180-010	P0	Claude product and model-family source surface	S-0007;S-0245	assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png	1440x1000 desktop	private_use_slot	Chapter 12 behavior-to-action bridge	Anthropic Claude source surface as product texture for constitutional/assistant packaging.	usage; safety success; benchmark superiority; enterprise adoption; revenue; current model state	Record sha256, capture timestamp, page title, URL, and source HTML hash before layout.	Capture model/product page only after deciding if Chapter 12 needs Claude general surface or Claude Code first.
