gap_id	gap	source_scope	affected_cards	blocker	next_resolution_step
SECG-0189-001	Exact page extraction missing for several foundational papers	S-0104;S-0105;S-0106;S-0107;S-0003;S-0015	SEC-0189-001-SEC-0189-007	Quote-safe design cannot proceed until source page/section refs are recorded.	Run a paper-page extraction pass and log chosen sentence candidates.
SECG-0189-002	System-card quotation context still needs PDF page review	S-0076;S-0077	SEC-0189-011;SEC-0189-028	Red-team and mitigation wording can mislead if lifted without surrounding caveats.	Extract only page-tagged, short snippets with risk-lane labels.
SECG-0189-003	Dynamic leaderboard pages require dated freezes	S-0253;S-0254;S-0036;S-0256	SEC-0189-026;SEC-0189-024	Live rankings cannot be used as stable historical claims.	Capture methodology pages first; only use row-level leaderboards with dated snapshot and prohibited-use caption.
SECG-0189-004	GTC slide text is a private local source surface, not independent fact	S-0001	SEC-0189-015;SEC-0189-016	Slide excerpts can show NVIDIA framing but not verify economics, deployment, or performance.	Pair GTC cards with independent power/infrastructure cards in layout.
SECG-0189-005	Product and doc pages are mutable	S-0006;S-0078;S-0048;S-0049;S-0050;S-0051;S-0111-S-0114	SEC-0189-012;SEC-0189-013;SEC-0189-024	Exact wording may drift or disappear.	Use existing local captures where available and add snapshot rows for remaining docs.
SECG-0189-006	Multi-source frontier cards risk logo-parade compression	S-0027;S-0028;S-0029;S-0031	SEC-0189-014	Small excerpts can imply equivalence across labs if not separated by source type and date.	Design as document-surface lanes with gaps, not a country/company ranking.
SECG-0189-007	Infrastructure press releases are attribution-only	S-0235;S-0238	SEC-0189-019	Company announcements cannot prove delivered power, additionality, emissions, or restart success.	Add an explicit attribution strip and pair with grid/report evidence.
SECG-0189-008	Corpus cards can overclaim legal or training-set facts	S-0261-S-0267	SEC-0189-020-SEC-0189-022	Public corpus documents do not reveal proprietary frontier training mixes or settle copyright status.	Keep cards about provenance/transformation/documentation, not legality or closed-model composition.
SECG-0189-009	Reasoning and trust excerpts invite cognitive metaphors	S-0170-S-0173;S-0164-S-0167	SEC-0189-025;SEC-0189-027	Paper phrases can be read as proof of human-like thought, truth, or stable safety.	Use method labels and task-scope captions; avoid anthropomorphic pull quotes.
SECG-0189-010	No final asset rows yet	all I-0189 cards	all candidates	This package identifies candidates; it does not create available exhibits.	Promote only after quote extraction, design file creation, manifest row, and render QA.
