pass_id	atlas_id	chapter_range	expanded_id	asset_id	asset_type	file_path	file_exists	sha256	title	story_purpose	source_url_or_path	rights_or_private_use_note	blocked_claims
I-0298	ATLAS-01	CH01-CH05	F01.02	A-0069	svg_diagram	assets/visual_system/chapter1-token-to-answer-schematic.svg	yes	42869792f0aad42b83e786d969c81ab5081fdddc94f6689180f727d59618bf58	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0043;S-0004;S-0005;S-0014;S-0006; Asset source: Generated Chapter 1 token-to-answer schematic; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	F16.08	A-0261-005	svg_repair_source_card	assets/visual_system/i0261/i0261-f16-08-speed-to-power-card.svg	yes	0c8fcc991071401647b0f796b6f9ee521fbe94abaca666d43d23c83927a354d9	Fast Power Is A Constraint Stack	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: CH16; Asset source: Fast Power Is A Constraint Stack; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	F17.01	A-0064	svg_diagram	assets/visual_system/chapter17-tokenization-ladder.svg	yes	27de6ef5355c379e7cb6f37fadc403be9ebf20daa9db5b40fd7fea6213c4449f	Figure 17.1 - Tokenization Ladder. Human text becomes subword pieces, token IDs, context budget, and next-token prediction target.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0153;S-0154;S-0043; Asset source: Generated Chapter 17 tokenization ladder; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	F17.03	A-0066	svg_diagram	assets/visual_system/chapter17-data-mixture-control-board.svg	yes	3286b2d1b058ddb17901b5aff25c8471e2ca4f84fee3e4f79aaa195dd66874f4	Figure 17.3 - Data Mixture Control Board. Schematic corpus lanes show data mixtures as recipes with open-corpus rows and closed-corpus blockers.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0042;S-0157;S-0158;S-0159;S-0163; Asset source: Generated Chapter 17 data-mixture control board; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	F18.03	A-0062	svg_diagram	assets/visual_system/chapter18-agent-loop-harness.svg	yes	d449f908e1a0c9bc1d47c37078c1ce8b71b8a7071876da687297f93455bc1709	Figure 18.3 - Agent Loop as Harness. Plan, act, observe, gate, context, and review form a bounded system loop.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0135;S-0136;S-0055;S-0109; Asset source: Generated Chapter 18 agent-loop harness; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	F23.02	A-0075	svg_diagram	assets/visual_system/chapter23-trust-stack.svg	yes	3b54b6735057d448a80201e0a05653f28dc7c0d0e69320058ed8a8fd6223a0d3	Figure 23.2 - Trust Is A Stack. Evidence selection, evidence use, authority, evaluation, permission/action, and audit memory form layered controls.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0038;S-0076;S-0077;S-0110;S-0137; Asset source: Generated Chapter 23 trust stack; Creator/org: Codex	publish_after_render_caption_source_note_qa	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	VX008	A-0014	svg_diagram	assets/visual_system/leaderboard-methodology-flow.svg	yes	a14a77c4c71673cdeb37655c7a40aad19a40a6dcedac2db13df1969f055752c7	Generated Arena leaderboard methodology flow	"Teaches readers how to interpret leaderboard rows before seeing any model as ""best,"" and prevents live-rank, release-status, price-quality, and task-superiority overclaims."	local:data/leaderboard_methodology_i0039.tsv	Original lightweight SVG generated from data/leaderboard_methodology_i0039.tsv; no external image assets.	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	VX017	A-0028	svg_claim_card	assets/visual_system/gtc-page50-roadmap-card.svg	yes	63a7b33a774b03615eef30ef83fa199d2ff073fd4d494957abfd0abe20d49270	Generated GTC page 50 roadmap card	Gives Chapter 15 a cutoff-bounded roadmap visual that keeps future-generation items from becoming happened history.	local:data/chapter15_gtc_visual_source_pack_i0101.tsv	Original lightweight SVG derived from GTC-2026-Keynote.pdf page 50 notes and A-0008 caption row; no external image assets; C-0047 remains active.	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	VX029	A-0081	svg_diagram	assets/visual_system/chapter21-reasoning-budget-routing-map.svg	yes	3b76e66f4a2de0c2b1d6d5855c5be9c25f68a891bd4cce58e1fc41c3721ff5af	Generated Chapter 21 reasoning-budget routing map	Connects reasoning budgets to product routing and human review while blocking exact routing-policy, cost, latency, adoption, and solved-truth claims.	local:data/chapter21_reasoning_visual_package_i0130.tsv	Original lightweight SVG generated from Chapter 21 source and claim rows; no external image assets; schematic lanes are not measured deployment behavior.	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
I-0298	ATLAS-01	CH01-CH05	VX040	A-0092	svg_diagram	assets/visual_system/chapter19-benchmark-ladder.svg	yes	5c0492af7da698c1aee7bf4b23055480108ebabb567e6716f19682df62bdff33	Generated Chapter 19 coding benchmark ladder	Teaches benchmark permission before any code score becomes a rank, productivity claim, or broad competence claim.	local:data/chapter19_code_visual_package_i0133.tsv	Original lightweight SVG generated from Chapter 19 benchmark rows; no external image assets; exact HumanEval values, model sizes, live leaderboards, best-coding-model claims, productivity, and broad competence claims remain blocked.	Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence-level source support.
