chapter	asset_id	current_status	i0212_decision	final_role	why	placement_rule	blocked_claims	next_gate
14	A-0071	selected_100	keep_core	CUDA software/hardware stack	Best Chapter 14 opener because it makes NVIDIA's moat a layered developer/software/accelerator system, not a chip glamour shot.	Open Chapter 14 with A-0071 before chip-package or rack visuals.	no_market_dominance;no_quantified_lock_in;no_customer_coercion;no_tco;no_universal_preference	Render legibility at book trim.
14	A-0072	selected_100	keep_core	GPU memory and interconnect traffic pattern	Explains why HBM, interconnect, and rack-scale communication matter to LLM workloads.	Second Chapter 14 figure after CUDA stack.	no_exact_bandwidth;no_speedup;no_supply;no_availability;no_customer_deployment;no_neutral_performance_ratio	Keep as mechanism, not product comparison.
14	A-0073	selected_100	keep_core	training-vs-inference capacity split	Separates the capacity problems that Chapter 15 and 16 later convert into factory rhetoric and power constraints.	Use as Chapter 14 handoff to Chapter 15.	no_exact_throughput;no_utilization;no_energy;no_tco;no_price;no_cost_per_token	Pair with prose that distinguishes synchronized training from serving.
14	A-0159	available	keep_substitute	advanced packaging and HBM stack	Best rights-safe industrial texture for the accelerator supply chain; teaches package/HBM/interposer constraints better than ambiguous photos.	Use as fourth Chapter 14 figure or sidebar, replacing unresolved ASML/TSMC/HBM photo pressure.	no_cowos_capacity;no_hbm_supplier_rank;no_customer_allocation;no_yield;no_shortage_quantification;no_asml_specificity	Promote in final matrix only after caption/style pass.
14	A-0133	selected_100	reserve_or_replace	lithography/ASML proxy photo	Visual texture is useful, but specificity and rights burden are high; A-0159 is safer for main layout.	Reserve unless exact ASML-machine license and caption are cleaner than the substitute.	no_asml_machine_specificity;no_capacity;no_yield;no_ai_chip_volume;no_supplier_rank	Find stronger licensed ASML/EUV source before final art.
14	A-0134	selected_100	keep_texture_if_rights_clear	cleanroom photo	Credible manufacturing texture if license/attribution is clean, but not needed for mechanism proof.	Use only one Chapter 14 industrial photo; do not stack cleanroom plus wafer plus ASML proxy.	no_named_fab_ai_output;no_yield;no_node;no_customer_allocation;no_capacity	Final license and attribution check.
14	A-0135	acquisition_ready	reserve_texture	silicon wafer photo	Useful simple material texture, but lower narrative value than cleanroom or packaging schematic.	Reserve for design rhythm if Chapter 14 needs a quieter object image.	no_accelerator_identity;no_node;no_yield;no_supplier;no_cost;no_production_volume	Use I-0210 A-0177 hash as private evidence if promoted.
14	A-0136	selected_100	reserve_or_shift	server rack photo	Compute-room texture belongs more naturally to Chapter 16 unless Chapter 14 needs chip-to-rack scale.	Reserve for Chapter 16 or cross-chapter rhythm; do not use as proof of GPU inventory.	no_named_llm_training;no_gpu_count;no_workload;no_utilization;no_cost	Verify license trail before final placement.
14	A-0189	available_local_ignored	reserve_source_media	NVIDIA H100 product page HTML	Captured product surface can support source texture, but should not become a spec or market claim.	Use as private source-media handle for future source card only.	no_deployment;no_availability;no_performance_rank;no_market_share;no_current_specs_without_cutoff_check	Normalize exact specs before any use.
15	A-0012	selected_100	keep_core	neutral AI factory stack	Best visual for separating NVIDIA rhetoric from actual serving/compute/network/facility layers.	Open the explanatory part of Chapter 15 with A-0012 before more GTC claim cards.	no_validation_of_nvidia_ratios;no_deployment_scale;no_revenue;no_facility_performance	Keep as the book's own explanatory grammar.
