card_asset_id	card_id	chapter	source_ids	card_title	source_family	card_role	direct_quote	quote_words_used	provenance_status	design_status	blocked_claims	next_action
A-0208	SEC-0222-001	7	S-0006;S-0078	ChatGPT starts as a public threshold	ChatGPT launch posts	Shows the launch-to-subscription turn as interface history, not adoption evidence.	no	0	source_rows_available;launch_sources_logged	near_final_svg	user-count proof; revenue proof; broad reception; current product state; education/workplace panic	Page-proof near Chapter 7 opening; pair with reception examples only when separately sourced.
A-0209	SEC-0222-002	5	S-0012	GPT-2 made absence visible	GPT-2 staged-release post	Uses the GPT-2 source surface to show withholding, staged release, and misuse framing as part of the plot.	no	0	source_row_available;web_source_logged	near_final_svg	first safety policy; actual misuse prevalence; model capability rank; hidden architecture	Use as a source-texture break in the GPT-2/GPT-3 chapter after exact source-note placement.
A-0210	SEC-0222-003	6;12	S-0076;S-0077;S-0245;S-0246	System cards are caveat engines	system/model cards	Frames system cards and model cards as disclosure-and-warning artifacts rather than certificates of safety.	no	0	source_rows_available;some_pdf_page_extraction_pending	near_final_svg	safety success; model superiority; complete risk disclosure; comparable benchmark conclusion	Add page refs for selected PDFs before final placement; keep text paraphrase-only.
A-0211	SEC-0222-004	7	S-0093	Stack Overflow hit the brake	community policy page	Shows early developer-community resistance as a specific moderation workload signal.	no	0	source_row_available;revision_extracted	near_final_svg	universal developer backlash; national education panic; permanent policy; AI uselessness	Use only with revision-specific date/status notes; do not generalize beyond the community page.
A-0212	SEC-0222-005	9	S-0121;S-0120	Gemini arrived as a family	product launch and model-card surface	Highlights product-family packaging, from launch narrative to model-card disclosure lanes.	no	0	local_html_available;model_card_mutable_caveat	near_final_svg	Google caught up; benchmark crown; model-card completeness; product adoption	Use beside Gemini chapter family map; separate launch blog from mutable card page.
A-0213	SEC-0222-006	10	S-0113;S-0114	The repo turns openness into chores	Meta Llama repository and post	Shows the user-facing burden behind an open-weight ecosystem: request, download, run, adapt, and govern.	no	0	local_html_available;repository_handle_logged	near_final_svg	open-source legal conclusion; effortless deployment; adoption count; ecosystem dominance	Use as a lighter companion or reserve alternative to A-0198, not a duplicate in the same spread.
A-0214	SEC-0222-007	13;20	S-0037	LiveCodeBench names contamination	coding benchmark paper	Uses a benchmark caveat as the story: eval design is partly about keeping the test from leaking into training.	no	0	source_row_available;local_html_available	near_final_svg	best coder; live rank; productivity proof; broad software engineering ability; contamination solved	Pair with benchmark-caption contract before any score chart appears.
A-0215	SEC-0222-008	13;20	S-0244	GPT-4.1 is launch language, not a ruler	product post and model docs candidate	Shows long-context and coding positioning as vendor-attributed launch framing that needs normalization before comparison.	no	0	source_row_available;exact_extraction_pending	near_final_svg	GPT-5 trajectory; neutral superiority; usage; training data; broad coding productivity	Use only after extracting exact model/version/date fields from the source post.
A-0216	SEC-0222-009	15;16	S-0205;S-0066	Blueprint is not a built factory	NVIDIA DSX sources	Separates AI-factory design language from evidence of deployed capacity, economics, or power outcomes.	no	0	source_rows_available;gtc_context_available	near_final_svg	deployment proof; customer outcomes; grid benefit; energy savings; facility performance	Use as a caption guardrail for DSX/GTC material where source-actor rhetoric is visually strong.
A-0217	SEC-0222-010	20	S-0048;S-0049;S-0050;S-0051	Claude Code is a terminal contract	coding-agent launch and docs	Shows agentic coding as permissions, context, commands, review, and repository hygiene rather than magic autonomy.	no	0	source_rows_available;local_html_for_docs_available	near_final_svg	developer replacement; enterprise productivity; secure code; autonomous engineer; universal workflow	Page-proof as a Chapter 20 source card or reserve against screenshot slots that remain capture-blocked.
