step_id	workstream	current_count	target_state	highest_value_action	evidence	blocked_until
BRN-0196-001	private screenshot captures	17	0 uncaptured selected screenshots	Capture/hash selected product and source screenshots, starting with ChatGPT, Enterprise, Gemini/Bard, Copilot, Claude Code, and API/tool surfaces.	data/master_100_exhibit_selection_matrix_i0182.tsv;data/product_interface_exhibit_shortlist_i0193.tsv	Raster sha256, HTML/source hash, capture timestamp, URL/title, caption blockers, and rights/fair-use review exist.
BRN-0196-002	photo rights review	7	All selected photos license-cleared or replaced	Verify ASML/cleanroom/rack/data-center/substation/gas/nuclear photo licenses and drop weak or risky rows.	data/chip_fab_power_photo_shortlist_i0191.tsv;data/master_100_exhibit_selection_matrix_i0182.tsv	Exact license, author, revision, attribution, and blocked physical-infrastructure claims are recorded.
BRN-0196-003	GTC duplicate representation	2	One safe representation per GTC claim job	Choose page 29 card versus slide/source render and avoid duplicate GTC thesis surfaces.	data/gtc_2026_exhibit_choose_drop_i0192.tsv;data/master_100_exhibit_selection_matrix_i0182.tsv	Rights/fair-use review and Chapter 15/16 layout decision are recorded.
BRN-0196-004	early technical floor gap	8	Chapters 2-5 reach at least three strong exhibits each	Execute source cards and canonical paper redraws for early LM, Transformer, scaling, and GPT/API/Codex source texture.	data/per_chapter_exhibit_quota_board_i0187.tsv;data/canonical_paper_redraw_shortlist_i0190.tsv	Page refs, quote limits, redraw specs, and source provenance are complete.
BRN-0196-005	canonical redraw-now backlog	10	All redraw_now rows either executed or demoted	Extract page/figure refs and draft house-style redraw specs before adding new visual categories.	data/canonical_paper_redraw_shortlist_i0190.tsv	Figure/page provenance, copyright/fair-use rationale, and final SVG/readability checks are complete.
BRN-0196-006	overfull chapter pruning	19	No chapter exceeds four selected exhibits without explicit exception	Prune Chapters 7, 9-12, 14-16, and 18-20 after spread-level render tests.	data/master_100_exhibit_selection_matrix_i0182.tsv;data/per_chapter_exhibit_quota_board_i0187.tsv	A replacement/drop record exists and final layout demonstrates better rhythm.
BRN-0196-007	source-excerpt card execution	28	Only page-verified cards enter final 100	Extract exact snippets or paraphrase fallbacks from the source-card candidate package.	data/source_excerpt_card_candidates_i0189.tsv;data/source_excerpt_card_design_contract_i0189.tsv	Quote-limit audit, page refs, source IDs, and blocked claims are recorded.
BRN-0196-008	benchmark and corpus reserves	30	Reserves are promoted only by replacement	Use I-0194 and I-0195 shortlists to replace weak selected rows, not inflate the exhibit count.	data/benchmark_source_surface_exhibit_shortlist_i0194.tsv;data/data_corpus_source_exhibit_shortlist_i0195.tsv	A top-100 replacement decision is recorded and the old row becomes reserve/drop.
BRN-0196-009	manifest synchronization	26	Every selected non-ready row has manifest-ready provenance	When captures/redraws finish, update assets_manifest with hashes, rights, captions, story purpose, and blockers.	assets_manifest.tsv;data/master_100_exhibit_selection_matrix_i0182.tsv	No selected row lacks provenance, rights status, story purpose, or blocked-claim note.
BRN-0196-010	full render QA	100	All final exhibits pass layout/readability QA	Render the full book and check captions, references, overflows, duplicate visuals, and source density around exhibits.	GOAL.md;rendered/	Full-book PDF render passes without broken refs, unreadable charts, missing captions, or ugly layout failures.
