claim_id	status	claim_family	source_ids	allowed_in_chapter	blocked_or_needs_followup
CH9GOOG-001	supported	Google had direct historical links to the Transformer, PaLM, Gemini, and custom AI infrastructure before and during the public ChatGPT shock.	S-0002;S-0108;S-0115;S-0121	Use as structural narrative frame.	Do not claim Google invented all modern LLM progress or that technical depth guaranteed product success.
CH9GOOG-002	supported	PaLM was a 540B dense Transformer language model trained with Pathways.	S-0115;S-0016	Use the 540B and Pathways facts in prose.	Do not chart PaLM benchmark values or training details without separate extraction.
CH9GOOG-003	supported	Bard was publicly framed by Google as an early experiment and as complementary to Search.	S-0118	Use for product-conversion and incumbent-search tension.	Do not infer adoption, user satisfaction, or market share.
CH9GOOG-004	supported	Gemini was introduced as a multimodal model family with Ultra, Pro, and Nano and as part of the Google DeepMind era.	S-0121;S-0116	Use for model-family and product-banner framing.	Do not use vendor benchmark claims as neutral superiority claims.
CH9GOOG-005	supported	Bard was rebranded as Gemini and paired with Gemini Advanced/mobile app experiences.	S-0122	Use for consolidation of consumer assistant brand.	Do not use for revenue, subscriber growth, or broad user adoption.
CH9GOOG-006	supported	Gemini 1.5 made long context a major technical and product theme.	S-0117;S-0123;S-0124	Use one-million-token consumer and two-million-token developer/cloud access-path framing with source attribution.	Do not claim long context solved retrieval, memory, enterprise knowledge, legal review, or codebase understanding.
CH9GOOG-007	supported	Google publicly tied Gemini training and deployment to its AI-optimized infrastructure and TPUs.	S-0121	Use as infrastructure-strategy framing.	Do not make detailed TPU-vs-GPU performance or cost claims without hardware rows.
CH9GOOG-008	supported_with_caveat	Gemini 2.5 product language introduced thinking/reasoning framing before the cutoff.	S-0119	Use as a bridge to the reasoning/test-time-compute chapter.	Exact benchmark numbers, best-model language, and cost-performance claims remain blocked.
CH9GOOG-009	supported_with_caveat	Google DeepMind model-card pages are useful source-discovery handles for Gemini-family documentation.	S-0120	Use as evidence of a model-card documentation surface.	Because mutable pages can include post-cutoff updates, do not use as exact cutoff-day model list without extraction.
CH9GOOG-010	needs_verification	AI Overviews/Search generative experience changed click behavior, publisher economics, or ad economics by specific amounts.	none	Only discuss as conceptual search-gravity tension.	Needs primary Google filings, product docs, publisher data, or reporting with date/metric normalization.
CH9GOOG-011	needs_verification	Gemini adoption, Gemini Advanced subscriber totals, enterprise productivity impact, or cloud revenue impact.	none	Do not quantify.	Needs customer-side evidence, filings, or normalized third-party data.
CH9GOOG-012	needs_verification	Gemini benchmark superiority over OpenAI/Anthropic/Meta/Chinese models.	S-0119;S-0120	Only mention that Google made model-update and thinking claims.	Requires row-level benchmark extraction and comparison methodology.
