pass_id	risk_id	line	verdict	rule	matched_text	boundary_evidence
I-0303	visual_overclaim_proof	43	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	> Caption: F01.01: OpenAI Platform public-web screenshot used as private-edition product texture for the ChatGPT shock opening; it proves only a captured product surface, not usage, revenue, model quality, or current availability.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	92	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	That is why the evidence has to stay narrow. The book can say that people were trying it at extraordinary speed. It cannot claim that all those people found durable value, paid for the product, used it responsibly, or changed their work. Each of those is a separate claim. Early scale made ChatGPT unavoidable. It did not prove what ChatGPT was good for.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	212	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	> Caption: F02.01: Attention Is All You Need page-one render anchors the Transformer breakthrough as a primary source surface; it does not prove intention, later implementation details, modern product behavior, or claims beyond the cited paper.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	357	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	> Caption: F03.01: BERT page-one render supplies masked-language-model lineage texture for the attention chapter; it does not make BERT a generative chatbot or prove later LLM behavior.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	514	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	> Caption: F04.01: Scaling Laws for Neural Language Models page-one render grounds the scaling chapter in measured loss, model, data, and compute tradeoffs; it does not prove truth, safety, emergence thresholds, or business value.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	545	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	"Scaling-law prose can become slippery because ""performance"" sounds general. This chapter should keep the word tied to what the sources actually measured. Kaplan et al. studied language-model loss and related evaluation behavior across model size, data, and compute regimes. [S-0003] The paper did not prove that every downstream task would improve smoothly forever. It did not pro"	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	563	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	That chain is full of ifs. Kaplan et al. did not prove the business model. They supplied a way to reason about the training side of the chain. [S-0003] The rest had to be supplied by product design, infrastructure, pricing, distribution, and trust. But even that partial map was powerful. It let technical teams argue for compute with more than vibes.	explicit caveat/quarantine language in same line
I-0303	fabricated_access_language	611	bounded_or_quarantined	No fabricated leaks, interviews, private scenes, or insider access.	A paper like PaLM is therefore also a public trace of an institution making a bet. It turns a lab's internal appetite for scale into a reproducible artifact: authors, model size, training system, benchmark tables, and caveats arranged so other researchers can argue with the claim. The scene is not a secret meeting; it is a technical report becoming a strategy document. [S-0016]	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	623	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	The safe statement is that larger models often showed new or stronger behaviors on tasks and benchmarks, and GPT-3 made in-context learning a central topic. [S-0004] The unsafe statement is that scale guarantees qualitatively new intelligence at predictable thresholds. The sources in this pass do not license that.	explicit caveat/quarantine language in same line
I-0303	visual_overclaim_proof	685	bounded_or_quarantined	Visuals may not promote broad factual claims beyond their source surface.	> Caption: F05.01: Improving Language Understanding by Generative Pre-Training page-one render anchors GPT-1 as a transfer/pretraining source surface; it does not prove ChatGPT, GPT-3, or broad product capability.	explicit caveat/quarantine language in same line
