"row_id"	"snapshot_id"	"source_id"	"dataset_config"	"split"	"category"	"leaderboard_publish_date"	"rank"	"model_name"	"organization"	"license"	"rating"	"rating_lower"	"rating_upper"	"variance"	"vote_count"	"cutoff_status"	"chart_readiness"	"caveat"
"LMA-CLEAN-0001"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"1"	"claude-opus-4-6-thinking"	"anthropic"	"Proprietary"	"1501.980281"	"1497.548727"	"1506.411835"	"5.112296"	"27454"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0002"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"2"	"claude-opus-4-7-thinking"	"anthropic"	"Proprietary"	"1500.254388"	"1494.497943"	"1506.010833"	"8.626061"	"12920"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0003"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"3"	"claude-opus-4-6"	"anthropic"	"Proprietary"	"1498.064322"	"1493.746485"	"1502.382159"	"4.85329"	"29240"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0004"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"4"	"claude-opus-4-7"	"anthropic"	"Proprietary"	"1492.393691"	"1486.667142"	"1498.12024"	"8.536696"	"13571"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0005"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"5"	"muse-spark"	"meta"	"Proprietary"	"1489.490823"	"1483.376657"	"1495.60499"	"9.731468"	"11103"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0006"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"6"	"gemini-3.1-pro-preview"	"google"	"Proprietary"	"1488.182955"	"1483.924577"	"1492.441333"	"4.720545"	"34189"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0007"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"7"	"gemini-3-pro"	"google"	"Proprietary"	"1485.815166"	"1481.947209"	"1489.683124"	"3.894639"	"41331"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0008"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"8"	"gpt-5.5-high"	"openai"	"Proprietary"	"1481.322005"	"1475.025212"	"1487.618798"	"10.321496"	"10172"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0009"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"9"	"gemini-3.5-flash"	"google"	"Proprietary"	"1480.038078"	"1472.299233"	"1487.776922"	"15.590356"	"5907"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0010"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"10"	"gpt-5.4-high"	"openai"	"Proprietary"	"1479.597811"	"1474.62045"	"1484.575172"	"6.449144"	"21023"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0011"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"11"	"gpt-5.5"	"openai"	"Proprietary"	"1477.994467"	"1471.682717"	"1484.306217"	"10.370588"	"10294"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0012"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"12"	"grok-4.20-beta1"	"xai"	"Proprietary"	"1477.97873"	"1473.126976"	"1482.830485"	"6.127756"	"22458"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0013"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"13"	"gpt-5.2-chat-latest-20260210"	"openai"	"Proprietary"	"1477.044511"	"1472.700202"	"1481.388821"	"4.912984"	"27988"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0014"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"14"	"qwen3.7-max-preview"	"alibaba"	"Proprietary"	"1475.211675"	"1465.192085"	"1485.231266"	"26.133874"	"3741"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0015"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"15"	"grok-4.20-beta-0309-reasoning"	"xai"	"Proprietary"	"1474.970047"	"1470.142333"	"1479.797761"	"6.06718"	"21572"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0016"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"16"	"grok-4.20-multi-agent-beta-0309"	"xai"	"Proprietary"	"1474.234656"	"1469.397625"	"1479.071686"	"6.09062"	"21565"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0017"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"17"	"gemini-3-flash"	"google"	"Proprietary"	"1473.315653"	"1468.887107"	"1477.744198"	"5.105357"	"30742"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
"LMA-CLEAN-0018"	"SNAP-20260525-008"	"S-0080"	"text_style_control"	"latest"	"overall"	"2026-05-19"	"18"	"ernie-5.1"	"baidu"	"Proprietary"	"1473.216936"	"1466.61498"	"1479.818893"	"11.346166"	"9004"	"pre_cutoff_published_snapshot"	"candidate_for_cutoff_rank_chart_with_dataset_caveat"	"Official historical dataset row, not live May 24 screenshot; verify methodology/version and avoid mixing with polluted live HTML rows."
