pass_id	page	words	images	drawings	ink_ratio	dark_ratio	blank	severe_sparse	micro_visual	sample
I-0317	1	188	0	21	0.31164	0.02244	no	no	no	Next Token Table of Contents Chapter 01: The Transformer Arrives: Attention Becomes the Engine (2017) Chapter 02: The Sequence Problem: The Road Into Attention
I-0317	2	116	0	8	0.20735	0.04956	no	no	no	Chapter 20: Claude Code and the Industrialization of Pair Programming (2024-2026) Chapter 21: Reasoning, Test-Time Compute, and the New Scaling Axis (2024-2026)
I-0317	3	74	0	9	0.17702	0.05868	no	no	no	Chapter 01: The Transformer Arrives: Attention Becomes the Engine Date span: 2017 ARCHITECTURE Cutoff guard: The chapter stays with pre-ChatGPT architecture. 1.
I-0317	4	64	1	4	0.32347	0.01923	no	no	no	The Break In The Loop BERT Page As Bidirectional Transformer Lineage, shown as a paper or report page The Transformer begins as a revolt against waiting In the
I-0317	5	365	0	2	0.54364	0.08383	no	no	no	sequential experiences. But intuition can be expensive. If every position depends on the previous position's computation, the model has a hard time using the fu
I-0317	6	332	0	2	0.47066	0.07791	no	no	no	position in a sequence should draw information from other positions, then uses those weights to mix representations The Transformer paper used scaled dot-produc
I-0317	7	361	0	2	0.51898	0.09024	no	no	no	Many Heads, Many Relations Multi-head attention is one of the Transformer's most important design choices because language rarely has one relationship at a time
I-0317	8	332	0	2	0.48200	0.08703	no	no	no	changes the route by which information can travel. The architecture makes distance less like a hallway and more like an address book The address book still has
I-0317	9	313	0	2	0.48644	0.06977	no	no	no	"That is a major reason the architecture belongs in a business and computing history, not only in a technical appendix. It made the question ""what is in the prom"
I-0317	10	352	0	2	0.54389	0.09246	no	no	no	The architecture also changed what counted as product imagination. Before the LLM boom, a model architecture could feel like a research artifact. After the boom
I-0317	11	320	0	2	0.47830	0.07347	no	no	no	"This is also where the phrase ""next token"" begins to earn its title weight. Next- token prediction sounds small until the context becomes large and varied. The"
I-0317	12	323	0	2	0.41716	0.11317	no	no	no	Still, the grammar made later chapters possible. Scaling laws ask what happens as models, data, and compute grow. GPT asks what happens when generative Transfor
I-0317	13	357	0	2	0.48891	0.09295	no	no	no	Those four properties explain why the architecture keeps resurfacing in chapters that seem, on the surface, to be about other things. OpenAI's GPT lineage is a
I-0317	14	358	0	3	0.49753	0.07766	no	no	no	"These diagrams matter because architecture prose can easily become soup. A reader can follow ""query, key, value"" for a paragraph and lose the larger shape. Visu"
I-0317	15	46	2	9	0.32816	0.16124	no	no	no	sentimentality, would intelligence arrive as a property of scale or expose the whole wager as expensive wishful thinking? Chapter 03 Image Sequence Images place
I-0317	16	4	2	9	0.20291	0.00000	no	no	no	Ashish Vaswani Noam Shazeer
I-0317	17	81	6	34	0.55054	0.20044	no	no	no	Aidan Gomez PERSON Transformer, Scaling, And Evaluation Line Architecture and evaluation figures give attention, MoE, systems, and reasoning sections human hand
I-0317	18	34	0	50	0.57544	0.00814	no	no	no	Percy Liang person image evaluation/f models human anchor Language Model Foundations Tokens, attention, GPT lineage, scaling, and early benchmark context Captio
I-0317	19	255	1	64	0.52490	0.08185	no	no	no	Figure 1.2 - From Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next- token predictio and generated answer diagra
I-0317	20	0	0	4	0.07717	0.00000	no	no	no	
I-0317	21	78	0	9	0.16765	0.05251	no	no	no	Chapter 02: The Sequence Problem: The Road Into Attention Date span: pre-2017 PREHISTORY Cutoff guard: The chapter is a compact prehistory, not a detour after C
I-0317	22	54	1	4	0.25962	0.02244	no	no	no	The Older Machine Transformer Paper Page As The Breakthrough Surface, shown as a paper or report page Before the language model became a chat window, it was a m
I-0317	23	368	0	2	0.52638	0.07002	no	no	no	what word should come next? Given a sentence in one language, what sentence in another language should follow? Given a fragment of meaning, what nearby symbols
I-0317	24	350	0	2	0.51948	0.07890	no	no	no	That bet runs through the neural probabilistic language model proposed by Yoshua Bengio, Rejean Ducharme, Pascal Vincent, and Christian Jauvin. The paper attack
I-0317	25	343	0	2	0.46869	0.07692	no	no	no	That bridge also changed the aesthetics of machine learning. A model no longer needed a hand-built feature for every useful relation. The representation could a
I-0317	26	387	0	2	0.51430	0.08752	no	no	no	A useful analogy is a map, with the usual warning that the map is not the territory. If every town is represented only by its name, a traveler who has never see
