audit_id	rank_row_id	rank_snapshot_id	leaderboard_publish_date	rank	model_name	organization	rating	price_row_id	price_snapshot_id	provider	pricing_model	input_usd_per_1m_tokens	cached_input_usd_per_1m_tokens	output_usd_per_1m_tokens	pricing_basis	cutoff_status_pair	join_confidence	audit_status	exclusion_reason	chart_use_rule
PQJ-0001	LMA-CLEAN-0041	SNAP-20260525-008	2026-05-19	41	grok-4.3	xai	1451.179255	PPR-0011	SNAP-20260524-005	xAI	Grok 4.3	1.25		2.50	standard API model-card price	rank_pre_cutoff_dataset__price_cutoff_day_capture	high	candidate_same_scope_row	none	Usable as a single audited candidate row with LMArena config/date labels and xAI model-card pricing caveat; not enough by itself for a frontier chart.
PQJ-0002	LMA-CLEAN-0049	SNAP-20260525-008	2026-05-19	49	gemini-2.5-pro	google	1446.4246	PPR-0006	SNAP-20260524-004	Google	Gemini 2.5 Pro prompts <=200k	1.25	0.125	10.00	standard API price tier	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	candidate_same_scope_row	leaderboard row does not identify prompt-length tier	Usable only with explicit <=200k prompt tier label; do not merge with long-context tier or batch tier.
PQJ-0003	LMA-CLEAN-0049	SNAP-20260525-008	2026-05-19	49	gemini-2.5-pro	google	1446.4246	PPR-0007	SNAP-20260524-004	Google	Gemini 2.5 Pro prompts >200k	2.50	0.25	15.00	standard API price tier	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	candidate_same_scope_row	leaderboard row does not identify prompt-length tier	Usable only as a separate >200k prompt tier; never average with PQJ-0002 unless chart explicitly explains tiering.
PQJ-0004	LMA-CLEAN-0098	SNAP-20260525-008	2026-05-19	98	gemini-2.5-flash	google	1410.693892	PPR-0009	SNAP-20260524-004	Google	Gemini 2.5 Flash text/image/video	0.30	0.03	2.50	standard API text/image/video price	rank_pre_cutoff_dataset__price_cutoff_day_capture	high	candidate_same_scope_row	none	Usable as a candidate row for general chat/text-style comparison; exclude audio, batch, and grounding-specific prices.
PQJ-0005	LMA-CLEAN-0048	SNAP-20260525-008	2026-05-19	48	claude-opus-4-1-20250805	anthropic	1446.889401	PPR-0001	SNAP-20260524-003	Anthropic	Claude Opus 4.1	15.00	1.50	75.00	standard API base price	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	candidate_same_scope_row	model-name formatting differs but version family is directly matched	Usable only with model-alias note; cache-write premiums are excluded and must not be folded into base input price.
PQJ-0006	LMA-CLEAN-0099	SNAP-20260525-008	2026-05-19	99	claude-haiku-4-5-20251001	anthropic	1409.963213	PPR-0004	SNAP-20260524-003	Anthropic	Claude Haiku 4.5	1.00	0.10	5.00	standard API base price	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	candidate_same_scope_row	model-name formatting differs but version family is directly matched	Usable only with model-alias note; cache-write premiums are excluded and must not be folded into base input price.
PQJ-0007	LMA-CLEAN-0093	SNAP-20260525-008	2026-05-19	93	mistral-large-3	mistral	1415.291588	MPR-0001	SNAP-20260525-011	Mistral	Mistral Large 3	0.50		1.50	standard API price	rank_pre_cutoff_dataset__price_post_cutoff_capture	medium	candidate_blocked_until_cutoff_price_corroborated	price captured 2026-05-25, one day after cutoff	Keep as audit candidate only; do not use in a final price-quality chart until May 24 pricing or unchanged-price evidence is captured.
PQJ-0008	LMA-CLEAN-0094	SNAP-20260525-008	2026-05-19	94	gpt-4.1-2025-04-14	openai	1413.285045	OPR-0002	SNAP-20260525-001	OpenAI	gpt-4.1-2025-04-14	3.00	0.75	12.00	fine-tuning standard price	rank_pre_cutoff_dataset__price_post_cutoff_capture	high	exclude_from_general_price_quality_join	fine-tuning price, not comparable inference/API serving price	Do not chart against general LMArena rows; retain as negative evidence for scope filtering.
PQJ-0009	LMA-CLEAN-0053	SNAP-20260525-008	2026-05-19	53	chatgpt-4o-latest-20250326	openai	1443.020328	OPR-0005	SNAP-20260525-001	OpenAI	gpt-4o-2024-08-06	3.75	1.875	15.00	fine-tuning standard price	rank_pre_cutoff_dataset__price_post_cutoff_capture	low	exclude_from_general_price_quality_join	fine-tuning price and model alias mismatch	Do not chart; needs standard inference price and exact model mapping.
PQJ-0010	LMA-CLEAN-0067	SNAP-20260525-008	2026-05-19	67	o3-2025-04-16	openai	1431.009146	NA	NA	OpenAI	NA	NA	NA	NA	missing comparable price	rank_pre_cutoff_dataset__no_price_row	none	exclude_missing_price	no normalized standard inference price row	Do not chart until a captured OpenAI standard inference row exists.
PQJ-0011	LMA-CLEAN-0095	SNAP-20260525-008	2026-05-19	95	claude-opus-4-20250514	anthropic	1412.02568	PPR-0002	SNAP-20260524-003	Anthropic	Claude Opus 4 (deprecated)	15.00	1.50	75.00	deprecated API row	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	exclude_from_current_frontier_chart	deprecated pricing row	Useful for lineage audit, not for current frontier price-quality comparison.
PQJ-0012	LMA-CLEAN-0046	SNAP-20260525-008	2026-05-19	46	claude-opus-4-1-20250805-thinking-16k	anthropic	1448.911889	PPR-0001	SNAP-20260524-003	Anthropic	Claude Opus 4.1	15.00	1.50	75.00	standard API base price	rank_pre_cutoff_dataset__price_cutoff_day_capture	medium	exclude_until_reasoning_scope_defined	leaderboard row is thinking/reasoning variant while price row is base model price	Keep out of general chart unless a reasoning/test-time-compute scope is explicitly defined.
PQJ-0013	LMA-CLEAN-0038	SNAP-20260525-008	2026-05-19	38	claude-sonnet-4-5-20250929	anthropic	1453.921194	PPR-0003	SNAP-20260524-003	Anthropic	Claude Sonnet 4	3.00	0.30	15.00	standard API base price	rank_pre_cutoff_dataset__price_cutoff_day_capture	low	exclude_version_mismatch	pricing row is Sonnet 4, leaderboard row is Sonnet 4.5 family	Do not chart until a matching Sonnet 4.5 price row is normalized.
