check	description	result	count	details
forbidden_C:__paths	Forbidden string: C:/ paths	PASS	0	None found
forbidden_file:____URLs	Forbidden string: file:/// URLs	PASS	0	None found
forbidden_data_*.tsv_references	Forbidden string: data/*.tsv references	PASS	0	None found
forbidden_assets_manifest_references	Forbidden string: assets_manifest references	PASS	0	None found
forbidden_sources.tsv_references	Forbidden string: sources.tsv references	PASS	0	None found
forbidden_claims.tsv_references	Forbidden string: claims.tsv references	PASS	0	None found
forbidden_Date_span_metadata	Forbidden string: Date span metadata	PASS	0	None found
forbidden_Cutoff_guard_metadata	Forbidden string: Cutoff guard metadata	PASS	0	None found
forbidden_What_This_Chapter_Must_Not	Forbidden string: What This Chapter Must Not	PASS	0	None found
forbidden_notes_ledger	Forbidden string: notes ledger	PASS	0	None found
forbidden_Place_Figure	Forbidden string: Place Figure	PASS	0	None found
forbidden_Visual_integration	Forbidden string: Visual integration	PASS	0	None found
forbidden_Visual_anchor	Forbidden string: Visual anchor	PASS	0	None found
forbidden_this_pass_does	Forbidden string: this pass does	PASS	0	None found
forbidden_later_pass	Forbidden string: later pass	PASS	0	None found
forbidden_future_pass	Forbidden string: future pass	PASS	0	None found
forbidden_queued_by_pass	Forbidden string: queued by pass	PASS	0	None found
forbidden_remains_blocked	Forbidden string: remains blocked	FAIL	3	Found 3 instances
forbidden_private-edition_visual_layer	Forbidden string: private-edition visual layer	PASS	0	None found
forbidden_visual_portfolio	Forbidden string: visual portfolio	PASS	0	None found
forbidden_PORTFOLIO_PLATE	Forbidden string: PORTFOLIO PLATE	PASS	0	None found
forbidden_Status_metadata	Forbidden string: Status metadata	PASS	0	None found
forbidden_Use_note	Forbidden string: Use note	PASS	0	None found
forbidden_Boundary_metadata	Forbidden string: Boundary metadata	INFO	1	Found 1 instances
forbidden_does_not_support	Forbidden string: does not support	INFO	9	Found 9 instances
chapter_count	Verify exactly 24 chapters	PASS	24	Found 24 chapter headings
word_count	Verify 100,000-120,000 words	PASS	104416	Found 104,416 words
pdf_exists	PDF file exists	PASS	1	PDF exists at C:\AI\TEMP\World_Of_Computing\rendered\final_i0337\Next-Token-final-i0337.pdf
pdf_size	PDF size > 1MB	PASS	2722579	2,722,579 bytes (2.6 MB)
