candidate_id	power_lane	source_ids	source_surface	image_candidate	chapter_targets	allowed_caption	blocked_claims	rights_status	priority	next_action
POWER-IMG-001	nuclear restart / PPA	S-0235	Constellation Crane Clean Energy Center / Microsoft PPA press release	Three Mile Island/Crane source-excerpt card or licensed plant image	8;16	Constellation announced a Microsoft PPA tied to restarting TMI Unit 1 as Crane Clean Energy Center.	Do not claim delivered electrons, Microsoft site fuel mix, restart success, cost, safety, local acceptance, regulatory approval completion, or model workload support unless separately sourced.	company image/plant photo requires permission; source-excerpt card safer	highest	use as nuclear-procurement source card with roadmap/status label.
POWER-IMG-002	advanced nuclear / SMR	S-0236;S-0237	Google/Kairos multi-plant agreement pages	SMR timeline card or Kairos project source screenshot	9;16	Google and Kairos announced an agreement intended to support Google data centers with future advanced nuclear electricity.	Do not write planned SMRs as built, operating, cheap, safe, grid-solving, or physically serving a specific data center by the cutoff.	official source surfaces; permission review needed for images	high	redraw a future-dated procurement timeline rather than use reactor render.
POWER-IMG-003	nuclear PPA / existing plant	S-0238	Constellation/Meta Clinton Clean Energy Center PPA press release	nuclear plant source-excerpt card	10;16	Constellation and Meta announced a 20-year PPA for Clinton Clean Energy Center output.	Do not infer delivered power to a named data center, emissions reduction, additionality, customer bills, operational status beyond source, or AI workload support.	company image requires permission; excerpt card safer	high	use as corporate nuclear procurement example with no physical-supply implication.
POWER-IMG-004	colocated nuclear / grid interconnection	S-0239;S-0240	FERC/Amazon-Susquehanna coverage and Talen/AWS source lane	interconnection decision timeline card	8;16	The Susquehanna/AWS lane is useful as a grid/interconnection governance example, not merely a nuclear optimism story.	Do not claim final legal status, delivered MW, customer workload, grid impacts, or Amazon's exact operating load without primary order and later same-scope evidence.	mix of regulator/source surfaces; final use needs primary FERC order capture	high	acquire FERC order/source docket before final art.
POWER-IMG-005	gas generation / Meta Richland Parish	S-0241;S-0242	Entergy/Meta Richland Parish infrastructure sources	substation/power-plant source card plus optional official photo	10;16	Entergy's Richland Parish materials can show utility infrastructure responding to Meta's large data-center project.	Do not claim final plant count, total MW, fuel mix at the data center, customer bill effects, emissions, regulatory sufficiency, or completed energization without same-scope evidence.	company/utility images require permission; source card and generic public-domain grid photo safer	highest	use utility/source card; keep gas-plant claims date-bounded and attributed.
POWER-IMG-006	substation / interconnection build	S-0241;S-0087;S-0103	Entergy Smalling Substation and DOE/grid rows	public-domain substation/transmission photo plus Entergy source card	16	A substation image can make interconnection physical while source text connects it to data-center power infrastructure.	No capacity, outage, delay, fuel mix, bill impact, or named-site operational proof from a photo.	DOE/public-domain path likely safest; Entergy image needs permission	highest	resolve A-0103 public-domain grid photo and use Entergy only as source surface.
POWER-IMG-007	battery/storage	S-0087;S-0083;S-0233	DOE/IEA storage-response lanes	generic public-domain battery storage image or source-excerpt card	16	Battery/storage can be shown as one grid-response category in DOE/IEA infrastructure planning.	Do not claim a named AI campus uses batteries, solves intermittency, lowers emissions, or avoids transmission upgrades.	public-domain/CC candidate needed	medium	find NREL/DOE photo candidate in later rights-safe photo hunt.
POWER-IMG-008	transmission / interconnection queues	S-0086;S-0087;S-0103	EPRI/DOE interconnection planning rows	transmission photo plus queue schematic/source excerpt	16	Transmission/interconnection visuals can show why speed-to-power becomes a scheduling constraint for AI facilities.	No complete project-delay database, named campus delay proof, capacity value, queue causality, or utility-wide conclusion.	existing A-0103 candidate; final credit/license review pending	highest	pair existing interconnection schematic A-0021 with one physical photo.
POWER-IMG-009	clean procurement vs physical supply	S-0083;S-0087;A-0023	IEA/DOE source lanes and existing clean-power visual	redrawn procurement-vs-delivered-electrons source card	16	The visual should distinguish corporate clean-energy procurement from hourly physical electricity supply.	No hourly fuel mix, PPA additionality, emissions accounting, or delivered-electron claim without matching data.	original SVG path exists; source-card extension safe	high	extend A-0023 only if final layout needs another source-surface cue.
POWER-IMG-010	on-site generation / backup	S-0087;S-0229;S-0243	DOE SEAB, MLGW/xAI context, permit-needed lane	source-excerpt card saying "permit/source required" before any turbine image	16	On-site generation can be treated as a speed-to-power response category only when documented by permit or operator source.	No turbine count, MW, runtime, emissions, legal status, site fuel mix, or health impact from site imagery or secondary snippets.	permit source and image rights still missing	high	acquire primary Shelby County/SCHD/EPA source before any named xAI turbine visual.
POWER-IMG-011	forecast range / demand scenarios	S-0083;S-0084;S-0085	IEA/LBNL/DOE demand report surfaces	source-excerpt chart card with forecast labels	16	Forecast visuals can show uncertainty ranges in data-center electricity demand through the cutoff.	Do not treat forecasts as actual future consumption, LLM-only demand, energy-per-token, or deterministic grid outcome.	report figures require rights/check; redraw safer	high	redraw only after exact figure/table and license are recorded.
POWER-IMG-012	power response taxonomy	S-0083;S-0086;S-0087;S-0235;S-0236;S-0241	IEA/EPRI/DOE plus project examples	house-style matrix: nuclear, gas, grid, storage, interconnection, flexible load	16	Best final-art candidate: a non-ranked matrix of power responses to AI/data-center load growth.	No claim that any response is sufficient, clean, cheap, fast, universally available, or physically serving a named AI workload.	original redraw from ledgered sources; safest rights route	highest	build as a neutral synthesis visual after source screenshots are captured.
