extraction_id	chapter	manuscript_file	existing_or_target_asset	source_id	paper_id	source_title	original_surface_provenance	provenance_confidence	recommended_visual_treatment	rights_lane	quote_or_label_limit	allowed_use	blocked_claims	next_step
CH2-EX-001	2	manuscript/01-before-the-transformer.md	A-0115	S-0104	P-0001	A Neural Probabilistic Language Model	Architecture/materials in the JMLR paper around the neural LM model; exact figure/page still needs PDF-level extraction.	medium_verify_page	Use as a source spine for the pressure-chain opening, not as a copied figure.	redraw_or_paraphrase	Paraphrase only unless a short quote is separately extracted	Distributed-representation pressure before modern LLMs	Complete NLP history; direct causality to ChatGPT; exact benchmark/adoption claims	Pull PDF/page metadata before any source-excerpt card.
CH2-EX-002	2	manuscript/01-before-the-transformer.md	A-0115	S-0105	P-0002	Efficient Estimation of Word Representations in Vector Space	Analogy/evaluation examples and vector-representation framing in the word2vec paper; table/section number needs extraction before quotation.	medium_verify_page	Redraw as a tiny caveated vector-neighborhood or analogy source card.	redraw_preferred	Under 20 words after extraction	Word vectors as learned distributed representations and analogy-evaluation source framing	Human-like semantic understanding; invention priority; broad cognition claims	Extract exact table/section and choose neutral example labels.
CH2-EX-003	2	manuscript/01-before-the-transformer.md	A-0115	S-0106	P-0003	Sequence to Sequence Learning with Neural Networks	Original encoder-decoder sequence model schematic, commonly cited as the paper's Figure 1; verify page/figure in PDF.	medium_verify_page	Redraw fixed-vector encoder-decoder bottleneck as one pressure-chain panel.	redraw_preferred	Short labels only	Encoder-decoder sequence transduction before attention	Exact BLEU/result numbers; all-sequence generality; modern LLM equivalence	Verify figure/page and simplify into bottleneck panel.
CH2-EX-004	2	manuscript/01-before-the-transformer.md	A-0115	S-0107	P-0004	Neural Machine Translation by Jointly Learning to Align and Translate	Attention/alignment mechanism and alignment visualization in the Bahdanau paper; exact figure/page needs extraction.	medium_verify_page	Redraw attention-as-addressable-context panel, with no heatmap copying unless licensed.	redraw_preferred	Short labels only	Attention as relief from fixed-vector bottleneck in NMT	Attention weights as faithful explanation; attention-as-mind; priority crown	Extract exact original figure/page and decide schematic versus source card.
CH2-EX-005	2	manuscript/01-before-the-transformer.md	target_optional	S-0153	P-0005	Neural Machine Translation of Rare Words with Subword Units	BPE/subword method discussion and rare-word examples; original visual/table status needs page extraction.	low_verify_needed	Optional tokenization bridge card if Chapter 2 needs a handoff to Chapter 17.	redraw_preferred	Short labels only	Subword mechanism and rare-word handling as precursor to tokenization texture	Modern closed-tokenizer behavior; language-cost comparisons; legal/data claims	Defer to data/tokenization visual pass unless Chapter 2 lacks texture.
CH3-EX-001	3	manuscript/02-attention-catches-fire.md	A-0116	S-0002	P-0006	Attention Is All You Need	Original Transformer architecture diagram, Figure 1 in the paper.	high_known_figure	House-style redraw; cite paper; do not reproduce original art.	redraw_required	Short labels only	Encoder/decoder block grammar, attention, feed-forward, residual/layer-norm structure	Same as modern decoder-only LLM; architecture alone caused the race; attention as explanation	Use as primary provenance for A-0116 and any later full Transformer block redraw.
CH3-EX-002	3	manuscript/02-attention-catches-fire.md	A-0116	S-0002	P-0006	Attention Is All You Need	Original scaled dot-product and multi-head attention diagram, Figure 2 in the paper.	high_known_figure	Redraw simplified Q/K/V comparison and value mixing; preserve caveat language.	redraw_required	Short labels only	Query/key/value comparison, weighted value mixing, multi-head branching	Human intention; consciousness; stable interpretable head roles; distance-is-free	Use as the direct original-surface provenance for the self-attention information-flow figure.
CH3-EX-003	3	manuscript/02-attention-catches-fire.md	target_optional	S-0002	P-0006	Attention Is All You Need	Table comparing layer types by complexity, sequential operations, and path length.	medium_verify_table	Use as cite-only technical support or optional compact comparison panel.	cite_mostly	Short labels only	Why self-attention changed computational path and parallelism discussion	Architecture-alone causality; exact hardware speedups; full modern implementation claims	Extract exact table/page only if optional recurrence-vs-attention visual is built.
CH3-EX-004	3	manuscript/02-attention-catches-fire.md	target_optional	S-0108	P-0007	Transformer: A Novel Neural Network Architecture for Language Understanding	Google Research source page for public Transformer framing and self-attention dependency language.	high_source_page	Source-page screenshot or excerpt card, not neutral technical evidence.	private_screenshot_or_excerpt_card	Under 25 words	Google-attributed public framing of Transformer importance	Exact architecture claims beyond S-0002; modern deployment and product inferences	Hash/capture page only if source-surface exhibits are selected.
CH3-EX-005	3	manuscript/02-attention-catches-fire.md	target_optional	S-0188	P-0008	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Original BERT pre-training/fine-tuning overview, Figure 1 in the paper.	high_known_figure	Redraw only as an encoder-side lineage side note, not the main LLM mechanism.	redraw_preferred	Short labels only	Masked LM and next-sentence style pretraining as encoder-era Transformer uptake	Generative LLM inevitability; benchmark superiority; chatbot/product claims	Keep as optional lineage sidebar if Chapter 3 needs encoder contrast.
CH3-EX-006	3	manuscript/02-attention-catches-fire.md	target_optional	S-0188	P-0008	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Original BERT input representation figure, commonly Figure 2; verify page/figure in PDF.	medium_verify_page	Optional small source-supported input-representation comparison.	cite_mostly_redraw_selectively	Short labels only	Token, segment, and position embedding framing for BERT context	Modern tokenizer equivalence; generative GPT lineage proof; benchmark crown	Defer unless a BERT/GPT lineage note is needed.
CH4-EX-001	4	manuscript/03-scaling-bet.md	A-0117	S-0003	P-0009	Scaling Laws for Neural Language Models	Original scaling-law plots across model size, dataset size, and compute; exact figure numbers/pages require PDF extraction.	medium_verify_page	Use as conceptual evidence-lane redraw; do not copy plots or exact values yet.	redraw_required	Short labels only	Loss scaling across studied regimes	Exact exponents, plotted values, universal formulas, emergence thresholds, prophecy	Extract exact plot/page before any quantitative redraw.
CH4-EX-002	4	manuscript/03-scaling-bet.md	A-0117	S-0003	P-0009	Scaling Laws for Neural Language Models	Original compute/model/data scaling and under/over-training discussion surfaces; figure/table IDs need extraction.	medium_verify_page	Cite or redraw as permission lanes, not a formula card.	cite_mostly_redraw_selectively	Short labels only	Separation of measured loss, modeled extrapolation, and interpretation	Truth, safety, product success, revenue, or cheap inference from scale	Use to strengthen A-0117 caption contract.
CH4-EX-003	4	manuscript/03-scaling-bet.md	target_optional	S-0190	P-0010	Training Compute-Optimal Large Language Models	Original Chinchilla compute/data balance figures and tables; exact figure/page needs extraction.	medium_verify_page	Optional compute-data-parameter triangle or balance panel.	redraw_required	Short labels only	Compute/data balance correction to bigger-model-only intuition	Universal token/parameter ratio; proof all labs followed it; exact formula values	Extract page/figure if Chapter 4 gets a second technical figure.
CH4-EX-004	4	manuscript/03-scaling-bet.md	target_optional	S-0004	P-0016	Language Models are Few-Shot Learners	GPT-3 few-shot/prompting examples and model-scale tables; exact figure/table needs extraction.	medium_verify_page	Use only as bounded example card; avoid full benchmark table.	cite_mostly_redraw_selectively	Short labels only	Few-shot prompting as interface shift and bounded scaling example	Benchmark crown; API adoption; economic value; human equivalence	Keep as Chapter 5 bridge, not a scaling proof.
CH4-EX-005	4	manuscript/03-scaling-bet.md	target_optional	S-0016	P-0011	PaLM: Scaling Language Modeling with Pathways	PaLM training/system/evaluation surfaces; exact figure/table extraction required before charting.	low_verify_needed	Cite mostly; redraw only if it clarifies Google scaling as a bounded example.	cite_mostly	Short labels only	PaLM as Google scaling/Pathways milestone	Benchmark superiority; TPU performance; solved reasoning; Google product success	Leave as source support until Chapter 9 or scaling appendix needs a visual.
CH4-EX-006	4	manuscript/03-scaling-bet.md	target_optional	S-0155	P-0012	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	Text-to-text framework and C4 source surfaces; figure/page extraction required.	low_verify_needed	Optional bridge to data/interface chapters rather than core Chapter 4 figure.	redraw_preferred	Short labels only	Text-to-text task conversion and C4 as visible corpus lane	SOTA claims; C4 legal/quality conclusions; closed-model corpus claims	Defer to dataset/corpus visual pass unless Chapter 4 needs a bridge.
