proof_id	candidate_id	required_evidence	capture_field	status	pass_note
PPL-0181-001	PPH-0181-001	Exact file page URL, author, license/status label, and page revision for both ASML/lithography proxy pages.	url;creator;license;revision;accessed_at	partial	Use as proxy-only until a machine-specific ASML photo has durable reuse proof.
PPL-0181-002	PPH-0181-002	Commons file page license, author, source chain, and any depicted-person/logo concern.	url;creator;license;source;accessed_at	needed	No raster committed; future pass should save a license screenshot or metadata hash.
PPL-0181-003	PPH-0181-003	Exact wafer file selected, license, creator, source chain, and resolution.	url;creator;license;resolution;accessed_at	needed	Do not use a wafer image whose provenance collapses to a scraper page.
PPL-0181-004	PPH-0181-004	NERSC/Commons license or public-domain status plus author/agency attribution.	url;creator;agency;license;accessed_at	needed	Caption must not imply the pictured system trained LLMs.
PPL-0181-005	PPH-0181-005	Commons and original Flickr license trail, creator, original upload date, and license compatibility.	commons_url;original_url;creator;license;accessed_at	needed	Flickr-sourced Commons files need the original-license trail preserved.
PPL-0181-006	PPH-0181-006	Exterior photo location/date, creator, license, and geolocation confidence.	url;creator;license;location;date	needed	Only use for footprint/building texture, not operational claims.
PPL-0181-007	PPH-0181-007	Substation file page license, creator, location/date if available, and exact attribution text.	url;creator;license;location;accessed_at	needed	Generic substation is safer than same-site speculation.
PPL-0181-008	PPH-0181-008	Transmission line file page license, creator, location/date if available, and exact attribution text.	url;creator;license;location;accessed_at	needed	Caption must block capacity and data-center service claims.
PPL-0181-009	PPH-0181-009	Gas turbine file page license, creator, plant/location metadata, and exact attribution text.	url;creator;license;location;accessed_at	needed	Use as generic equipment image unless same-site evidence exists.
PPL-0181-010	PPH-0181-010	Battery-storage file page license, creator, utility/company restrictions, and source chain.	url;creator;license;source;accessed_at	weak	Check carefully; replace if reuse terms are not durable and commercial-compatible.
PPL-0181-011	PPH-0181-011	Nuclear/cooling-tower file license, creator or agency, plant/location metadata, and attribution text.	url;creator;agency;license;location	needed	Do not imply delivered electrons to AI data centers.
PPL-0181-012	PPH-0181-012	Cooling-tower file license, creator, location, industrial context, and attribution text.	url;creator;license;location;accessed_at	weak	Use only if it remains legible and rights-clean after exact file verification.
