"audit_id"	"chapter"	"asset_id"	"asset_type"	"file_path"	"width"	"height"	"color_count"	"color_sample"	"min_font_px"	"max_stroke_width"	"has_title"	"has_desc"	"has_role_img"	"warm_paper_gate"	"source_label_gate"	"caveat_label_gate"	"small_font_gate"	"style_gate"
"I0218-SVG-001"	"1"	"A-0068"	"svg_diagram"	"assets/visual_system/chapter1-chatgpt-shock-chronology.svg"	"1200"	"760"	"11"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee;#fff0ec"	"12"	"5"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-002"	"1"	"A-0069"	"svg_diagram"	"assets/visual_system/chapter1-token-to-answer-schematic.svg"	"1200"	"760"	"14"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee"	"12"	"4"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-003"	"1"	"A-0070"	"svg_diagram"	"assets/visual_system/chapter1-institutional-response-chronology.svg"	"1200"	"760"	"13"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee"	"12"	"5"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-004"	"2"	"A-0115"	"svg_diagram"	"assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg"	"1200"	"760"	"14"	"#17202a;#315f72;#35524f;#4b5563;#5a4a1d;#5d8d83;#6b7280;#a8772b;#c99a3a;#e5f0ed"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-005"	"3"	"A-0116"	"svg_diagram"	"assets/visual_system/chapter3-self-attention-information-flow.svg"	"1200"	"760"	"16"	"#111827;#1f2937;#35524f;#365e8c;#4b5563;#5a4a1d;#5f8c78;#6b7280;#c99a3a;#d97706"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-006"	"4"	"A-0117"	"svg_diagram"	"assets/visual_system/chapter4-scaling-evidence-lane-chart.svg"	"1200"	"760"	"17"	"#111827;#25636f;#35524f;#374162;#4b5563;#5a4a1d;#5b6fa6;#5f8c78;#6b7280;#c99a3a"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-007"	"5"	"A-0010"	"svg_diagram"	"assets/visual_system/gpt-lineage-table.svg"	"1600"	"900"	"11"	"#0f8b6f;#1f2933;#2563eb;#52616f;#6d5bd0;#b7791f;#c2412d;#c8c1b5;#e0d8cc;#f7f4ee"	""	""	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-008"	"6"	"A-0011"	"svg_diagram"	"assets/visual_system/rlhf-alignment-pipeline.svg"	"1600"	"900"	"12"	"#0f8b6f;#1f2933;#2563eb;#52616f;#6d5bd0;#b7791f;#c2412d;#c8c1b5;#e0d8cc;#f7f4ee"	"14"	""	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"ok"	"style_contract_baseline_ok"
"I0218-SVG-009"	"7"	"A-0016"	"svg_diagram"	"assets/visual_system/chatgpt-interface-business-timeline.svg"	"1400"	"760"	"12"	"#151515;#1f2933;#216869;#4f5f9f;#5e5a52;#8f2f2a;#8f5d46;#d8d2c5;#eef5f3;#f7f5ef"	"14"	"5"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"ok"	"style_contract_baseline_ok"
"I0218-SVG-010"	"8"	"A-0056"	"svg_diagram"	"assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg"	"1400"	"760"	"10"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#f7f4ee;#fff2ec;#fffdf7"	"13"	"5"	"yes"	"yes"	"yes"	"yes"	"review"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-011"	"8"	"A-0057"	"svg_diagram"	"assets/visual_system/chapter8-cloud-to-product-flywheel.svg"	"1200"	"760"	"13"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee"	"13"	"4"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-012"	"8"	"A-0058"	"svg_diagram"	"assets/visual_system/chapter8-inference-cost-stack.svg"	"1200"	"760"	"10"	"#1f2933;#5d6470;#c2412d;#e7efff;#e8f5ef;#efeafb;#f7f4ee;#fff0ec;#fff3d8;#fffdf7"	"13"	"3"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-013"	"8"	"A-0059"	"svg_diagram"	"assets/visual_system/chapter8-enterprise-claim-blocker-map.svg"	"1200"	"760"	"9"	"#0f8b6f;#1f2933;#5d6470;#b7791f;#c2412d;#e8f5ef;#f7f4ee;#fff0ec;#fff3d8"	"13"	"3"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-014"	"9"	"A-0086"	"svg_diagram"	"assets/visual_system/chapter9-research-to-product-conversion-timeline.svg"	"1200"	"760"	"28"	"#0f766e;#111827;#115e59;#137333;#174ea6;#1f2937;#202124;#34a853;#374151;#3c4043"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-015"	"9"	"A-0087"	"svg_diagram"	"assets/visual_system/chapter9-tpu-search-workspace-surface-map.svg"	"1200"	"760"	"25"	"#0f766e;#111827;#115e59;#137333;#174ea6;#1f2937;#202124;#34a853;#374151;#4285f4"	""	""	"yes"	"yes"	"yes"	"review"	"review"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-016"	"9"	"A-0088"	"svg_diagram"	"assets/visual_system/chapter9-gemini-long-context-lane.svg"	"1200"	"760"	"16"	"#0f766e;#111827;#115e59;#137333;#174ea6;#1f2937;#202124;#34a853;#374151;#4285f4"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-017"	"9"	"A-0089"	"svg_diagram"	"assets/visual_system/chapter9-benchmark-adoption-blocker-grid.svg"	"1200"	"760"	"15"	"#111827;#137333;#202124;#34a853;#374151;#4b5563;#5f6368;#a50e0e;#d1d5db;#e6f4ea"	""	""	"yes"	"yes"	"yes"	"review"	"review"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-018"	"10"	"A-0030"	"svg_diagram"	"assets/visual_system/llama-family-open-weight-map.svg"	"1200"	"760"	"11"	"#0b8f6a;#161616;#246bfe;#7856ff;#92afd1;#d4d1c8;#e2bd55;#ecf4ff;#f7f7f2;#fff8e6"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-019"	"10"	"A-0112"	"svg_diagram"	"assets/visual_system/chapter10-open-weight-control-stack.svg"	"1200"	"780"	"6"	"#1f2933;#52606d;#d7dde2;#d9e8e2;#f7f3ea;#ffffff"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-020"	"10"	"A-0113"	"svg_diagram"	"assets/visual_system/chapter10-adopter-burden-transfer.svg"	"1200"	"780"	"8"	"#1f2933;#52606d;#8a5a0a;#b7791f;#d7e2ef;#d9e8e2;#f4f1e8;#ffffff"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-021"	"11"	"A-0031"	"svg_diagram"	"assets/visual_system/china-open-model-source-map.svg"	"1200"	"760"	"14"	"#151515;#6c9cc9;#70ad82;#9279d6;#cf7878;#d59a42;#d8ba63;#e9f8ef;#eaf3ff;#f1ecff"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-022"	"11"	"A-0118"	"svg_diagram"	"assets/visual_system/chapter11-supported-vs-gap-source-board.svg"	"1200"	"760"	"14"	"#111827;#14352f;#35524f;#4b5563;#5a3a0a;#5f8c78;#6d521b;#c99a3a;#d6f0e1;#e8f1ec"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-023"	"12"	"A-0094"	"svg_diagram"	"assets/visual_system/chapter12-constitutional-ai-behavior-loop.svg"	"1200"	"720"	"12"	"#18202a;#2f5d62;#304750;#4d5968;#5a4a1d;#6b9087;#86a6a1;#c69b38;#e5efe8;#f7f3ea"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-024"	"12"	"A-0095"	"svg_diagram"	"assets/visual_system/chapter12-claude-model-family-timeline.svg"	"1200"	"720"	"10"	"#19212b;#263b54;#3f7c85;#53606f;#5c6b9f;#8a6f2a;#ad4e69;#d66b43;#f8f6f2;#ffffff"	""	""	"yes"	"yes"	"yes"	"review"	"review"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-025"	"12"	"A-0096"	"svg_diagram"	"assets/visual_system/chapter12-computer-use-mcp-code-bridge.svg"	"1200"	"720"	"11"	"#17232d;#365f70;#50616e;#6c8b3d;#a46a3f;#b65d4a;#b7933b;#f5f7f4;#f7e7e3;#fff8df"	""	""	"yes"	"yes"	"yes"	"review"	"review"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-026"	"12"	"A-0097"	"svg_diagram"	"assets/visual_system/chapter12-safety-productivity-blocker-grid.svg"	"1200"	"720"	"8"	"#1b222c;#4f5c68;#55606d;#8a3d36;#d0c7bd;#f6f2ee;#fdfaf4;#ffffff"	""	""	"yes"	"yes"	"yes"	"review"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
"I0218-SVG-027"	"13"	"A-0014"	"svg_diagram"	"assets/visual_system/leaderboard-methodology-flow.svg"	"1400"	"860"	"9"	"#151515;#216869;#5e5a52;#8f5d46;#d8d2c5;#eef5f3;#f7f5ef;#fff4e8;#fffdf7"	"18"	"6"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"ok"	"style_contract_baseline_ok"
"I0218-SVG-028"	"13"	"A-0013"	"svg_chart"	"assets/visual_system/lmarena-may19-text-style-control-top12.svg"	"1400"	"900"	"8"	"#151515;#216869;#4f6d7a;#5e5a52;#6f5f90;#8f5d46;#d8d2c5;#f7f5ef"	"20"	"3"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"ok"	"style_contract_baseline_ok"
"I0218-SVG-029"	"13"	"A-0019"	"svg_diagram"	"assets/visual_system/price-quality-exclusion-map.svg"	"1200"	"760"	"12"	"#20242a;#242a31;#2b6573;#4b5560;#4b7a44;#5e6670;#a14f34;#e7f1e5;#e8f1f4;#f7e5dc"	"18"	"3"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"ok"	"style_contract_baseline_ok"
"I0218-SVG-030"	"14"	"A-0071"	"svg_diagram"	"assets/visual_system/chapter14-cuda-stack.svg"	"1200"	"760"	"13"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee"	"12"	"4"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-031"	"14"	"A-0072"	"svg_diagram"	"assets/visual_system/chapter14-gpu-memory-interconnect.svg"	"1200"	"760"	"13"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#b7791f;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee"	"12"	"7"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-032"	"14"	"A-0073"	"svg_diagram"	"assets/visual_system/chapter14-training-vs-inference-capacity.svg"	"1200"	"760"	"11"	"#0f8b6f;#1f2933;#2563eb;#5d6470;#c2412d;#c8c1b5;#e7efff;#e8f5ef;#f7f4ee;#fff0ec"	"12"	"3"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_small_text"	"style_contract_review"
"I0218-SVG-033"	"15"	"A-0012"	"svg_diagram"	"assets/visual_system/ai-factory-stack.svg"	"1200"	"760"	"30"	"#173f48;#1f2933;#29323d;#2d6f7e;#303948;#34305a;#344829;#4d421e;#51310f;#53616f"	""	""	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"review_no_font_sizes"	"style_contract_review"
