chapter	selected_count	quota_status	current_diagrams	current_screenshots_or_sources	current_photos_or_slides	missing_exhibit_types	highest_value_next_candidate	prune_or_balance_action
1	3	on_target	A-0068;A-0069;A-0070	none	none	product screenshot optional	Use A-0036 or A-0121 only if opener needs real interface texture after render.	Keep three unless first spread feels over-instrumented.
2	1	under_target	A-0115	none	none	canonical paper redraw; source-excerpt card	Create one source-excerpt card from early LM/word-vector/seq2seq papers and one redraw/source-surface companion.	Add two technical-source exhibits before adding more late-book product art.
3	1	under_target	A-0116	none	none	Transformer paper redraw; source-excerpt card	Redraw Transformer Figure 1/2 in house style with exact page provenance.	Add two paper-provenance exhibits; avoid generic architecture wallpaper.
4	1	under_target	A-0117	none	none	scaling-law paper redraw; source-excerpt card	Add Kaplan/Chinchilla figure/table redraw shortlist item with plotted-value blockers.	Add two scaling-source exhibits before any new benchmark chart.
5	1	under_target	A-0010	none	none	GPT-3/API source surface; source-excerpt card	Add GPT-3/API/Codex source-excerpt card or prompt/API surface with quote limits.	Add two source-texture exhibits while keeping Chapter 19 code overlap out.
6	3	on_target	A-0011	A-0121;A-0122	none	source-excerpt card optional	Add one short RLHF/source-card only if Chapter 6 lacks primary-source texture after render.	Choose between product screenshot density and a quote card in final layout.
7	5	over_target	A-0016	A-0036;A-0037;A-0038;A-0039	none	rights-cleared final screenshots	No new acquisition; execute captures and choose at most three product surfaces.	Prune duplicated ChatGPT launch/Plus surfaces against Chapter 6.
8	4	on_target	A-0056;A-0057;A-0058;A-0059	none	none	Microsoft Copilot screenshot optional	Promote A-0128 only if one diagram is dropped and work-surface texture is needed.	Keep four max; avoid business-flywheel repetition.
9	5	over_target	A-0086;A-0087;A-0088;A-0089	A-0129	none	rights-cleared Gemini/Bard screenshot	No new diagram; capture one Gemini/Bard surface and prune one conversion map.	Choose three diagrams plus one screenshot after render.
10	5	over_target	A-0030;A-0112;A-0113	A-0044;A-0047	none	license/source screenshot capture	No new Llama visual; capture one launch/repo surface and keep two diagrams.	Prune screenshot duplicates and avoid open-weight logo parade.
11	5	over_target	A-0031;A-0118	A-0048;A-0049;A-0050	none	source-excerpt or model-card row normalization	Do not add more China lab surfaces until unsupported Qwen/DeepSeek/GLM/Kimi gaps close.	Keep source-permission board plus two source surfaces.
12	6	over_target	A-0094;A-0095;A-0096;A-0097	A-0119;A-0130	none	Claude/Anthropic source capture	No new art; decide whether Chapter 12 is Claude-specific or broader frontier chapter.	Prune to behavior grammar, action bridge, one blocker, one screenshot.
13	3	on_target	A-0014;A-0019	A-0013	none	none	Render QA and footnote/prohibited-use placement are higher value than new assets.	Keep three; never add live leaderboard crown.
14	6	over_target	A-0071;A-0072;A-0073	none	A-0133;A-0134;A-0136	rights-cleared chip/fab photo	Verify photo rights and keep only one or two physical photos.	Prune to two diagrams plus one industrial photo if layout is crowded.
15	7	over_target	A-0012;A-0024;A-0027;A-0028;A-0029	A-0106	A-0004	GTC final choose/drop board	No new GTC capture; choose card-versus-slide representation for page 29 and DSX.	Prune duplicate claim cards and extracted slides aggressively.
16	9	over_target	A-0015;A-0020;A-0021;A-0022;A-0023	none	A-0137;A-0139;A-0141;A-0143	rights-cleared physical-photo set	No new diagram; verify and choose at most two photos plus three schematics.	Prune scenario/cooling/power visuals after a chapter-spread render.
17	4	on_target	A-0064;A-0065;A-0066;A-0067	none	none	corpus source screenshot optional	Add a corpus/source screenshot only if one diagram is removed.	Keep four unless render says the data chapter needs source texture.
18	5	over_target	A-0060;A-0061;A-0062;A-0063	A-0124	none	API/tool source capture	No new tool diagram; capture A-0124 or A-0125, not both.	Keep function boundary, prompt-injection boundary, one loop, one screenshot.
19	5	over_target	A-0090;A-0091;A-0092;A-0093	A-0127	none	Copilot/Cursor screenshot decision	Capture Copilot or Cursor-style IDE, not both, unless one diagram is dropped.	Prune benchmark/harness overlap with Chapter 20.
20	5	over_target	A-0032;A-0033;A-0034;A-0035	A-0131	none	Claude Code capture	No new coding-agent schematic; execute Claude Code screenshot/hash and pick three diagrams.	Keep permission/review loop distinct from Chapter 18.
21	4	on_target	A-0078;A-0079;A-0080;A-0081	none	none	reasoning source surface optional	Add source screenshot only if one reasoning diagram proves redundant.	Keep inference contract prominent.
22	4	on_target	A-0082;A-0083;A-0084;A-0085	none	none	pricing/source surface optional	Promote a pricing/source screenshot only if one economics diagram moves to appendix.	Keep value/revenue blockers visible.
23	4	on_target	A-0074;A-0075;A-0076;A-0077	none	none	incident/source surface optional	A source surface is useful only if it does not become an incident montage.	Keep taxonomy and audit loop; avoid prevalence laundering.
24	4	on_target	A-0108;A-0109;A-0110;A-0111	none	none	none	No acquisition; render-test final synthesis so it does not feel like apparatus.	Pick two or three final visuals in the final PDF if ending feels crowded.
