rank	exhibit_id	priority	chapter_targets	source_ids	page_or_time	surface	exhibit_type	recommended_treatment	why_it_matters	allowed_caption	blocked_claims	final_decision
1	GTCX-0192-001	highest	15	S-0001	page 29	AI factories are industrial infrastructure of the AI era	thesis_slide	source_card_or_slide_surface	Core thesis surface for Chapter 15 and the book's hardware middle.	NVIDIA framed AI factories as industrial infrastructure, with inference as workload, tokens as commodity, and compute as revenue.	No neutral industry definition, independent economics, deployed-factory performance, or revenue proof.	choose_one_of_A-0024_A-0004_A-0106
2	GTCX-0192-002	highest	15;16	S-0001	page 51	DSX AI Factory Platform across chips, systems, facilities, libraries, APIs, software, reference designs, and methodologies	platform_slide	source_card_plus_handoff_surface	Best bridge from NVIDIA stagecraft to Chapter 16 physical constraints.	NVIDIA framed DSX as an AI factory platform spanning hardware, facilities, software, cooling, and power.	No customer deployment, adoption scale, facility performance, energy efficiency, or proof that DSX solves power/cooling/interconnection.	choose_one_of_A-0029_A-0009_A-0107
3	GTCX-0192-003	highest	15;16	S-0001	page 49	Seven chips, five rack systems, and one-gigawatt system comparison	system_comparison_slide	lightweight_claim_card_preferred	Strongest single surface for NVIDIA's system-level AI factory argument.	NVIDIA presented Vera Rubin as a multi-chip, multi-rack AI factory system and compared it to an X86 plus Hopper factory frame.	No exact ratios, token throughput, revenue, deployed capacity, or neutral performance proof without independent corroboration.	choose_A-0027_card_over_A-0007_slide
4	GTCX-0192-004	highest	14;15	S-0001	page 50	2024/2026/2028 roadmap with Blackwell, Rubin, Feynman and networking/storage systems	roadmap_slide	roadmap_card	Best chronology visual for showing GTC as cadence and future promise.	NVIDIA showed a roadmap spanning Blackwell, Rubin, Feynman, networking, storage, and rack-scale systems.	No future roadmap item as happened history, guaranteed delivery, production status, specs, or timing.	choose_A-0028_if_chapter_needs_cadence
5	GTCX-0192-005	high	15;22	S-0001	page 37	Vera Rubin unlocks 150B revenue opportunity; annual revenue per gigawatt comparison	economics_claim_slide	source_card_with_red_warning	High narrative value but the riskiest economics slide.	NVIDIA connected AI factory infrastructure to annual revenue opportunity and gigawatt-scale economics.	No independent revenue opportunity, actual revenue, ROI, deployed capacity, customer economics, or neutral valuation.	keep_as_planned_economics_card_not_manifested
6	GTCX-0192-006	high	15;22	S-0001	page 32	Inference performance and efficiency drive company results; throughput per MW and model tiers	token_economics_slide	source_card_or_redrawn_axis_with_caveat	Useful because it links tokens, megawatts, and model tiers more directly than product renders.	NVIDIA framed inference throughput and efficiency as business-relevant AI factory metrics.	No exact TPS/MW values, company result proof, cost-per-token, energy-per-token, or model-rank inference without extraction and corroboration.	keep_for_future_chart_mining
7	GTCX-0192-007	high	15;21	S-0001	page 25	Inference inflection arrives; 10000X ChatGPT compute	inference_scaling_slide	source_card_or_context_card	Good setup for reasoning/test-time compute and Chapter 15's inference turn.	NVIDIA framed inference compute as entering a new scaling phase.	No verified 10000X claim, product demand proof, model behavior proof, or neutral compute requirement.	choose_only_if_page_32_or_37_dropped
8	GTCX-0192-008	high	14;15	S-0001	page 46	Vera Rubin NVL72 launch partners and rack performance claims	product_announcement_slide	one_roadmap_sequence_card	Useful only if the chapter needs a concrete 2026 rack-system announcement.	NVIDIA announced Vera Rubin NVL72 with launch-partner and platform claims.	No neutral partner proof, performance-per-watt, NVFP4, HBM4, NVLink6, production, or availability claim.	keep_as_supporting_not_core_if_page50_selected
9	GTCX-0192-009	medium	14;15	S-0001	page 45	AI inference compute / Groq 3 LPX roadmap and 2H26 availability	roadmap_product_slide	appendix_or_reserve_card	Lower narrative value than page 50 roadmap and page 49 system comparison.	NVIDIA showed an inference-compute roadmap including Groq 3 LPX and 2H26 availability language.	No shipped availability, exact specs, performance, product naming beyond slide context, or independent roadmap proof.	drop_from_main_sequence
10	GTCX-0192-010	medium	14;15	S-0001	page 42	Rubin GPU and Groq 3 LPU comparison; SRAM, HBM4, FLOPS, transistors	hardware_spec_slide	cite_or_spec_guard_card	Can support Chapter 14 technical detail but risks spec-sheet clutter.	NVIDIA presented hardware detail comparing Rubin GPU and Groq 3 LPU characteristics.	No verified specs, product availability, performance rank, chip comparison, or accelerator superiority.	reserve_for_chapter14_not_chapter15
11	GTCX-0192-011	medium	15;16	S-0001	page 53	DSX Max-Q, Flex, Exchange, Sim deployment framing	platform_extension_slide	cite_only	Secondary DSX detail; page 51 already carries the platform frame.	NVIDIA described DSX variants or components as part of scalable AI factory deployment framing.	No accelerated deployment, energy efficiency, customer outcome, facility benefit, adoption, or performance proof.	cite_only_unless_page51_needs_detail
12	GTCX-0192-012	medium	14;15	S-0001	page 24	NVIDIA AI Platform ecosystem map: AI natives, inference, agent frameworks, protocols, model builders	platform_ecosystem_slide	source_surface_card	Useful if Chapter 15 needs platform breadth beyond hardware.	NVIDIA presented an AI platform map spanning inference, agent frameworks, protocols, model builders, and vertical AI categories.	No ecosystem dominance, adoption, standardization, robotics relevance, or category completeness claim.	reserve_trim_non_llm_categories
13	GTCX-0192-013	medium	18;20	S-0001	page 58	Agents as a new computing platform	agent_bridge_slide	source_card_reserve	Good bridge to tool/coding-agent chapters, but not core to GTC visual sequence.	NVIDIA framed agents as a new computing platform.	No agent autonomy, productivity, adoption, safety, or platform dominance claim.	reserve_for_agent_chapter_if_needed
14	GTCX-0192-014	low	11;18	S-0001	page 64	Nemotron 3 Super and benchmark names	open_model_benchmark_slide	drop_or_cite_only	Too risky as a benchmark visual without independent rows.	NVIDIA showed Nemotron benchmark-related claims and benchmark names.	No live rank, best-open-model claim, benchmark superiority, model capability, or comparison to GLM/Kimi without triangulation.	drop_from_gtc_visual_program
15	GTCX-0192-015	low	11;15;18	S-0001	page 62	NVIDIA leaderboard-topping open models plus physical AI and robotics categories	context_only_slide	drop_from_main_sequence	Contains too much non-LLM and robotics material for this book's spine.	NVIDIA grouped open models and other AI categories in one source surface.	No robotics expansion, physical-AI chapter drift, leaderboard claim, or broad model superiority.	drop_except_brief_context
