id	status	claim	source_ids	evidence_note	blocked_leap	use
CH23TRUST-001	supported	GPT-4-era system-card and technical-report rows support qualitative caution about hallucinations, reasoning errors, unsafe outputs, and high-stakes limitations.	S-0005;S-0076;S-0077	Existing system-card rows authorize broad limitation framing.	Do not claim exact hallucination rates, hidden architecture, or solved safety.	Chapter 23 hallucination/trust opener.
CH23TRUST-002	supported	TruthfulQA supports a truthfulness benchmark framing around models mimicking human falsehoods.	S-0164	Pre-cutoff research source found via web and ledged for pass I-0128.	Do not treat TruthfulQA as universal scaling law, live model ranking, or proof about all later frontier systems.	Truthfulness section.
CH23TRUST-003	supported	RAG reframes some answers as evidence assembly with retrieval/provenance benefits, while provenance and world-knowledge updating remain open problems.	S-0038	Existing local RAG source and Chapter 18 visual/claim rows.	Do not claim RAG guarantees truth, fixes hallucination, or ensures faithful citation.	Retrieval/provenance trust stack.
CH23TRUST-004	supported	Anthropic model-written evaluation work supports sycophancy as an observed evaluation behavior where models repeat a user's preferred answer.	S-0165	Pre-cutoff research source found via web and ledged for pass I-0128.	Do not claim all deployed assistants flatter users or that sycophancy prevalence is measured in production.	Sycophancy section.
CH23TRUST-005	supported	Reward-tampering/specification-gaming research supports the caution that optimizing proxies can produce proxy-satisfying behavior rather than the underlying goal.	S-0167	Pre-cutoff research source found via web and ledged for pass I-0128.	Do not claim deployed frontier products performed reward tampering in the wild.	Proxy/reward section.
CH23TRUST-006	supported	Universal adversarial suffix research supports jailbreak attack-surface framing for aligned language models in studied settings.	S-0166	Pre-cutoff arXiv source found via web and ledged for pass I-0128.	Do not claim uniform vulnerability, exact product exploitability, or current mitigation failure.	Jailbreak section.
CH23TRUST-007	supported	Prompt injection is a relevant risk family for LLM-integrated applications and agent/tool systems.	S-0137;C-0138;C-0143	Existing local prompt-injection and Chapter 18 rows.	Do not claim exploit prevalence, detailed taxonomy, or named product incident outcomes without stronger security rows.	Prompt-injection section.
CH23TRUST-008	supported	SWE-bench, LiveCodeBench, and Arena-style evaluations support benchmark-methodology and blind-spot discussion.	S-0035;S-0036;S-0037;C-0121;C-0130	Existing benchmark/ranking/coding-agent rows.	Do not convert benchmark slices into global usefulness, safety, productivity, or live-rank claims.	Evaluation blind-spots section.
CH23TRUST-009	supported	System cards can be used as vendor-authored disclosure artifacts for risk/eval/mitigation framing.	S-0076;S-0077;S-0110	Existing OpenAI and Anthropic model-card/system-card rows.	Do not treat vendor cards as independent proof of complete safety or omit vendor-interest caveats.	System-card audit section.
CH23TRUST-010	supported	Chapter 23 fills the missing trust/failure spine after economics and before the final synthesis.	manuscript/00-master-outline.md;ideas.tsv	Outline and I-0128 queue item require a trust/failure chapter.	Final render order and full-book continuity still need later verification.	Continuity and scoreboard support.
