priority_id	priority	lab_or_family	source_ids	surface_to_capture	target_path_stub	capture_reason	rights_or_use_note	blocked_caption_claims
SP-0177-001	1	Anthropic Claude 4	S-0007;S-0245	Claude 4 System Card cover/abstract plus launch page availability panel	assets/private_use_screenshots/i0177/anthropic_claude4_system_card.png	System-card evidence can carry safety boundary and model-family launch claims in Chapter 12/21.	Private manuscript screenshot only; cite source and page/version; final publication needs fair-use review.	Do not caption as proof of safety success, coding crown, or hidden behavior.
SP-0177-002	2	Google DeepMind Gemini 2.5	S-0119;S-0246	Gemini 2.5 Pro model-card cover and blog launch header	assets/private_use_screenshots/i0177/google_gemini25_model_card.png	Shows the product/model-card pairing behind "thinking model" language.	Private manuscript screenshot only; use exact date/version.	Do not claim benchmark comparability or model rank from the screenshot alone.
SP-0177-003	3	OpenAI GPT-4.1	S-0059;S-0244	API launch post model-family table and model-doc header	assets/private_use_screenshots/i0177/openai_gpt41_api_docs.png	Best OpenAI source surface for API-first, long-context, coding-oriented frontier release.	Private manuscript screenshot only; vendor charts need redraw or permission before publication.	Do not infer GPT-5 trajectory, usage, or undisclosed training data.
SP-0177-004	4	Meta Llama 4	S-0008	Llama 4 herd launch surface with model-family or architecture content	assets/private_use_screenshots/i0177/meta_llama4_launch.png	Open-weight release strategy needs a real document surface, not a logo row.	Private manuscript screenshot only; verify Meta license/source terms separately.	Do not imply full openness, safety sufficiency, or downstream outcomes.
SP-0177-005	5	Qwen/DeepSeek	S-0027;S-0028;S-0029	Qwen3, DeepSeek-V3, and DeepSeek-R1 arXiv abstract pages	assets/private_use_screenshots/i0177/china_arxiv_qwen_deepseek_triptych.png	Triptych can anchor the Chinese open-model chapter and reasoning chapter without live leaderboard dependence.	arXiv screenshots for private manuscript; final use should favor citations/redrawn labels.	No current-rank, market-share, or national-performance claims.
SP-0177-006	6	Mistral/Cohere/AI21	S-0147;S-0150;S-0152	Medium 3, Command A, and Jamba 1.5 official source panels	assets/private_use_screenshots/i0177/rest_frontier_mechanism_triptych.png	Turns the rest-of-frontier chapter into mechanism diversity: multimodal/enterprise/hybrid architecture.	Private manuscript screenshot only; vendor benchmark graphics should be redrawn or quoted sparingly.	No neutral superiority, adoption, or price-performance conclusion.
SP-0177-007	7	Kimi/MiniMax/Xiaomi	S-0031;S-0247;S-0248;S-0251	Kimi k1.5/K2, MiniMax-M1, and MiMo technical-report surfaces	assets/private_use_screenshots/i0177/reasoning_open_model_reports.png	Links reasoning RL, test-time compute, and open/agentic model evidence across labs.	arXiv/GitHub screenshots private; final should cite and redraw only needed labels.	No K2.6/current-latest, universal reasoning, or benchmark crown captions.
SP-0177-008	8	Baidu/Tencent/StepFun	S-0249;S-0250;S-0252	ERNIE 4.5/X1 announcement, Hunyuan-TurboS arXiv, StepFun text-model docs	assets/private_use_screenshots/i0177/china_lab_gap_row.png	Useful as a gap-visible row: supported surfaces exist, but source depth differs by lab.	Private manuscript screenshot only; PRNewswire and dynamic docs require caption caveats.	No release chronology completeness, pricing claims, or live API availability without further evidence.
SP-0177-009	9	xAI Grok	S-0034;S-0148;S-0149	Grok official pages or model card once durable capture succeeds	assets/private_use_screenshots/i0177/xai_grok_capture_blocker.png	Records xAI as a needed source lane while making the capture blocker explicit.	Do not rely on shell-failed pages for final direct quotation.	No Colossus scale, benchmark rank, truthfulness, or Grok 3 performance claim.
SP-0177-010	10	NVIDIA Nemotron	S-0068	NVIDIA open model families press release section	assets/private_use_screenshots/i0177/nvidia_nemotron_open_models.png	Connects the model-family story to NVIDIA's platform/hardware narrative.	Private manuscript screenshot only; investor-release language needs cautious captions.	No independent model quality, adoption, or deployment claim.
