claim_row_id	location	source_ids	quantity_or_phrase	claim_type	prose_permission	caveat	next_action
CH16Q-001	manuscript/16-speed-to-power.md	S-0083	roughly 1.5 percent of global electricity consumption in 2024	measured_estimate	May be used with IEA attribution to show data centres were still a small global electricity share.	Do not use to imply local insignificance; the chapter's point is local concentration and growth.	Keep in prose with IEA named in sentence.
CH16Q-002	manuscript/16-speed-to-power.md;data/power_to_token_flow_i0042.tsv	S-0083	more than doubled by 2030	forecast_scenario	May be used only as IEA 2025 base-case projection language.	Forecast, not happened history; do not state as inevitable.	Keep forecast wording and pair with uncertainty language.
CH16Q-003	manuscript/16-speed-to-power.md;data/power_to_token_flow_i0042.tsv	S-0084;S-0085	176 TWh of U.S. data-centre electricity use in 2023	measured_estimate	May be used as LBNL/DOE reported estimate and U.S. quantitative anchor.	Use "about" or "reported"; verify final citation against report table before final layout.	Allowed in Chapter 16 prose.
CH16Q-004	manuscript/16-speed-to-power.md;data/power_to_token_flow_i0042.tsv	S-0084;S-0085	325-580 TWh by 2028	forecast_scenario	May be used as LBNL/DOE modeled scenario range.	Scenario range depends on assumptions; do not collapse to midpoint or imply certainty.	Allowed with "modeled" or "scenario" in sentence.
CH16Q-005	manuscript/16-speed-to-power.md	S-0084;S-0085	4.4 percent of U.S. electricity use in 2023	measured_estimate	May be used as reported share paired with 176 TWh.	Use about/approximately and keep LBNL/DOE attribution.	Allowed in Chapter 16 prose.
CH16Q-006	manuscript/16-speed-to-power.md	S-0084;S-0085	6.7 to 12 percent by 2028	forecast_scenario	May be used as projected scenario range for U.S. share.	Projection, not certainty; should not be used as a single forecast number.	Allowed with scenario language.
CH16Q-007	manuscript/16-speed-to-power.md	S-0086	100 to 1,000 MW new data-centre range	advisory_or_industry_estimate	May be used as EPRI-described facility-scale range.	Range is a planning/industry estimate; do not imply every AI data centre is this size.	Allowed with EPRI attribution.
CH16Q-008	manuscript/16-speed-to-power.md	S-0086	roughly 80,000 to 800,000 average homes	comparison	May be used as EPRI comparison to make scale legible.	Household equivalence varies by region and time; preserve the existing caveat.	Allowed only as attributed comparison.
CH16Q-009	manuscript/16-speed-to-power.md	S-0086	fifteen states accounting for an estimated 80 percent of U.S. data-centre load in 2023	advisory_or_industry_estimate	May be used to support geographic concentration.	EPRI scenario/simplification; avoid overreading exact state percentages or making local siting claims.	Allowed with "estimated" and EPRI attribution.
CH16Q-010	data/datacenter_power_cooling_sources_i0032.tsv	S-0083	about 20 percent of planned data-centre projects could face delay risk	risk_estimate	May be used in future prose as IEA risk estimate if source label is included.	Not a count of specific delayed projects and not proof of delay for any named campus.	Do not add to prose without IEA attribution and caveat.
CH16Q-011	manuscript/16-speed-to-power.md	S-0083	460 TWh in 2024 to more than 1,000 TWh in 2030	forecast_scenario	May be used as IEA projected global electricity generation for data centres.	Projection, not happened history; use with "projected" and avoid implying all demand is AI.	Allowed with IEA attribution.
CH16Q-012	manuscript/16-speed-to-power.md	S-0083	renewables meeting nearly half of additional demand	forecast_scenario	May be used to complicate one-note fossil-only or clean-only narratives.	Forecasted supply mix; must be separated from corporate procurement claims and physical hourly delivery.	Allowed with IEA attribution and caveat.
CH16Q-013	manuscript/16-speed-to-power.md	S-0087	300 to 1,000 MW or larger hyperscale connection requests	advisory_estimate	May be used as DOE-SEAB advisory-report evidence of interconnection scale.	Not a complete interconnection dataset and not evidence for any named project.	Allowed with "reported" and advisory caveat.
CH16Q-014	manuscript/16-speed-to-power.md	S-0087	one-to-three-year lead times	advisory_estimate	May be used to explain grid-timing mismatch.	Advisory-report language from stakeholder review; do not generalize to all utilities or regions.	Allowed with source and caveat.
CH16Q-015	manuscript/16-speed-to-power.md	S-0088	average PUE changed little for a sixth consecutive year	operator_survey_signal	May be used as Uptime operator-survey signal that efficiency improvements cannot be assumed.	Secondary/industry survey; corroborate before making final engineering-design claims.	Allowed as operator signal, not as universal facility law.
CH16Q-016	manuscript/16-speed-to-power.md	S-0088	only a small share of facilities exceeded 30 kW per rack	operator_survey_signal	May be used as rack-density/cooling caution.	Industry survey; exact share should not be inferred unless extracted from source table.	Allowed qualitatively; exact share remains blocked.
CH16Q-017	manuscript/16-speed-to-power.md;data/power_to_token_flow_i0042.tsv	S-0001;S-0039;S-0040;S-0066	AI factory performance, throughput, revenue, partner, roadmap, availability, or deployment claims	blocked_nvidia_claim	Do not convert NVIDIA/GTC quantitative or roadmap claims into neutral facts in Chapter 16.	C-0021/C-0047 remain active until independent triangulation or explicit attribution resolves each claim.	Keep as attributed company framing only.
CH16Q-018	manuscript/16-power-to-token-flow.md;data/power_to_token_flow_i0042.tsv	S-0083;S-0084;S-0087	energy per token or Wh/token estimate	explicit_exclusion	Do not state or imply a quantified energy-per-token estimate from the current Chapter 16 evidence pack.	The visual is a mechanism diagram, not a measurement model; no row currently supports Wh/token.	Requires a separate source pack before any energy-per-token chart or sentence.
