edge_id	from_node	to_node	edge_type	source_ids_or_assets	evidence_scope	allowed_map_language	blocked_claims
E-001	N-OPENAI	N-MICROSOFT	cloud_capacity_partnership	S-0041;S-0047;S-0126;A-0056	Official Microsoft/OpenAI capacity and partnership sources.	Azure/OpenAI capacity and distribution relationship.	control; profit split; exclusivity beyond source; workload volume; model quality proof
E-002	N-OPENAI	N-CLOUD	serving_substrate	S-0041;A-0015;A-0084	Cloud/inference infrastructure supports public model serving discussion.	Model products require serving infrastructure and capacity.	exact utilization; energy per token; named datacenter workload; delivered power
E-003	N-MICROSOFT	N-CLOUD	cloud_operator	S-0041;S-0126;A-0056	Azure and supercomputer source surfaces.	Microsoft as cloud-capacity/distribution actor.	all OpenAI compute; financial outcome; search-share outcome
E-004	N-GOOGLE	N-DEEPMIND	research_product_integration	S-0121;S-0120;A-0086	Google/DeepMind Gemini launch/model-card surfaces.	Google/DeepMind research-to-product conversion.	benchmark superiority; product adoption; internal governance details
E-005	N-GOOGLE	N-BENCH	measurement_surface	S-0036;S-0080;A-0013;A-0014	Google/Gemini appears in benchmark contexts only through dated measurement surfaces.	Models can appear in dated benchmark slices with methodology.	live rank; universal quality; enterprise usefulness
E-006	N-ANTHROPIC	N-BENCH	measurement_surface	S-0245;S-0035;S-0037;A-0014;A-0205	Claude/system-card/benchmark-source surfaces.	Anthropic models/coding surfaces require benchmark-contract framing.	coding crown; productivity; safety success
E-007	N-META	N-OPENWEIGHT	open_weight_distribution	S-0114;S-0023;S-0024;S-0113;A-0030;A-0213	Llama release/repository surfaces.	Meta/Llama as open-weight distribution and user-burden node.	open-source legal equivalence; adoption scale; ecosystem dominance
E-008	N-CHINA	N-DEEPSEEK	source_lane	S-0029;A-0031;A-0050	DeepSeek has stronger technical-report/source-surface rows inside the China frontier cluster.	DeepSeek as supported source lane and reasoning bridge.	national proxy; V4-era claims; benchmark crown; training-cost certainty
E-009	N-CHINA	N-QWEN	source_lane	A-0031;A-0048;A-0049	Qwen has source-surface rows but version-specific claims remain gated.	Qwen as supported/gated source lane.	unsupported Qwen 3.5/3.6 happened claims; live rank; adoption
E-010	N-CHINA	N-OPENWEIGHT	open_frontier_distribution	A-0031;A-0118	China/open-model chapter has supported-vs-gap and open-model source lanes.	Open/frontier source-permission relationship.	national monolith; all labs equivalent; sovereignty proof
E-011	N-NVIDIA	N-CLOUD	hardware_infrastructure_substrate	S-0001;S-0066;S-0205;A-0012;A-0216	NVIDIA/GTC and DSX surfaces frame hardware-to-facility substrate.	NVIDIA as accelerator/platform source actor for AI-factory stack.	deployed capacity; energy savings; customer outcomes; performance truth
E-012	N-NVIDIA	N-OPENAI	compute_supplier_context	S-0001;A-0012	General accelerator/platform context, not a project-specific procurement claim.	NVIDIA hardware/software substrate matters to frontier compute broadly.	specific purchase; allocation; market share; workload attribution
E-013	N-NVIDIA	N-BENCH	evaluation_stagecraft_context	S-0001;A-0027;A-0028	GTC slides include performance/roadmap/source-actor claims needing guardrails.	NVIDIA performance/roadmap claims are source-stagecraft surfaces.	independent benchmark truth; deployed throughput; revenue
E-014	N-BENCH	N-OPENWEIGHT	evaluation_distribution_context	S-0035;S-0037;S-0080;A-0014	Open/proprietary models appear in benchmark surfaces under version/date/scaffold constraints.	Benchmark nodes connect model ecosystems to measurement contracts.	best model; price-quality proof; productivity; safety
E-015	N-ANTHROPIC	N-CLOUD	product_serving_context	S-0110;S-0245;A-0095	Claude product/model-family surfaces imply serving needs but not exact cloud/workload details.	Model products require serving substrate.	named provider; exact workload; enterprise adoption; revenue
E-016	N-OPENAI	N-BENCH	measurement_surface	S-0005;S-0168;S-0169;A-0014;A-0206	OpenAI models/reasoning posts and benchmark surfaces must stay scoped.	OpenAI appears in benchmark/reasoning measurement contexts with caveats.	live crown; solved reasoning; exact cost/latency; hidden CoT access
