rule_id	rule	design_requirement	why_it_matters	verification
SECD-0189-001	Quote ceiling	Default to paraphrase; if direct text is used, keep each source at or below the row quote_limit and never exceed the project-wide 25-word/source ceiling.	Prevents source cards from becoming copied passages or epigraphs.	Quote-count audit before any final manuscript insertion.
SECD-0189-002	Attribution stack	Every card must show source title, author/organization, year or exact date, source ID, and page/section/slide reference.	Keeps typographic cards evidentiary rather than decorative.	Ledger row must include source_ids and provenance_needed before design.
SECD-0189-003	Caption blocker strip	Every card needs one short blocked-claims line, even when the visual is beautiful.	Stops source-surface texture from laundering benchmark, safety, adoption, or economics claims.	Compare card blocker to claims.tsv and source row notes.
SECD-0189-004	Paraphrase fallback	If exact wording is not essential, use a house paraphrase and cite the source below it.	Reduces rights risk while preserving primary-source visibility.	Designer must mark direct_quote=no or direct_quote=yes.
SECD-0189-005	No quote stacking	Multi-source cards should use tiny labels or paraphrases, not multiple full quotations.	Prevents a page from becoming a collage of copyrighted snippets.	Limit multi-source cards to labels unless cleared individually.
SECD-0189-006	Source context first	Do not extract a phrase whose meaning depends on omitted caveats, task scope, model version, or date.	Prevents misleadingly sharp pull quotes.	Reviewer checks preceding/following paragraph or figure caption.
SECD-0189-007	Screenshot separation	A source-excerpt card is not a source screenshot; screenshot slots need viewport, hash, rights note, and manifest row.	Keeps planned cards from being counted as assets before capture.	Only assets_manifest rows can count as available visuals.
SECD-0189-008	Typography discipline	Cards should use source-family color bands, small source metadata, and a visible claim-control footer; no hero-scale decorative quotation marks.	Makes the object feel like evidence, not marketing.	Design QA on mobile/print spread before promotion.
SECD-0189-009	Currentness labels	Dynamic docs, live leaderboards, product pages, and vendor posts must carry access date and snapshot/capture status.	Prevents mutable pages from masquerading as stable historical evidence.	Snapshot row or explicit snapshot-needed blocker required.
SECD-0189-010	Replacement logic	Source cards should fill under-illustrated mechanism chapters or replace weaker screenshots, not inflate the final 100 without selection review.	Aligns with the I-0187 and I-0188 exhibit-balance work.	Candidate must map to top-100 matrix reserve/replace decision before final placement.
