claim_id	status	claim_family	source_ids	allowed_in_chapter	blocked_or_needs_followup
CH8MS-001	supported	Microsoft and OpenAI formed an exclusive computing partnership in 2019 focused on Azure AI supercomputing technologies.	S-0125	Use as early compute-bargain foundation.	Do not infer that commercialization succeeded or that OpenAI became dependent in all respects.
CH8MS-002	supported_with_caveat	Microsoft described an Azure-hosted AI supercomputer built for OpenAI in 2020.	S-0126;S-0041	Use as infrastructure relationship and cloud-capacity evidence.	Performance/ranking wording must stay Microsoft-attributed.
CH8MS-003	supported	Microsoft exclusively licensed GPT-3 in 2020 while OpenAI continued offering models through its API.	S-0127	Use for primitive-to-platform route and distribution strategy.	Do not overstate ownership or future model rights; OpenAI-side page is a capture gap.
CH8MS-004	supported	GitHub Copilot launched as a technical preview in VS Code, developed with OpenAI and powered by Codex.	S-0132;S-0070	Use for cursor-level LLM product surface.	No productivity, adoption, legal, correctness, or replacement claims.
CH8MS-005	supported	Azure OpenAI Service reached general availability in January 2023 and framed model access with enterprise/cloud benefits.	S-0129	Use for enterprise access route and cloud packaging.	No customer outcome, revenue, paid-seat, margin, or adoption claims.
CH8MS-006	supported	Microsoft and OpenAI extended their partnership in January 2023 after ChatGPT made the model interface publicly legible.	S-0130;S-0047	Use for chronology and strategic platform framing.	Keep investment, deployment, and category claims attributed to Microsoft.
CH8MS-007	supported	ChatGPT was made available in Azure OpenAI Service in March 2023.	S-0133	Use for cloud-service conversion of the ChatGPT product.	No usage volume or enterprise uptake claims.
CH8MS-008	supported	Microsoft 365 Copilot was introduced as a work assistant across Microsoft 365 apps and tied to Microsoft Graph/workplace context.	S-0131	Use for work-surface distribution and product positioning.	No productivity gains, customer ROI, or revenue claims.
CH8MS-009	needs_verification	Microsoft/OpenAI partnership revenue, cloud margin, compute cost, or profit-sharing economics.	none	Discuss only as strategic/economic pressure.	Needs filings, reliable reporting, or row-normalized financial evidence.
CH8MS-010	needs_verification	GitHub Copilot or Microsoft 365 Copilot adoption, productivity, replacement, or enterprise outcome claims.	S-0131;S-0132	Keep as product-surface claims only.	Needs customer-side studies, filings, or independently normalized metrics.
CH8MS-011	needs_verification	Azure OpenAI Service customer counts, workload volumes, model-serving economics, or active-use figures.	S-0129;S-0133	Keep as access-route and product packaging claims.	Needs source-specific customer/usage evidence and metric definitions.
CH8MS-012	needs_verification	Bing/search share, ad revenue, or consumer-behavior effects from OpenAI integration.	none	Do not quantify in this pass.	Needs search/product chapter evidence and dated market metrics.
