row_id	provider	snapshot_id	source_id	pricing_section	model	api_endpoint	input_usd_per_1m_tokens	cached_input_usd_per_1m_tokens	output_usd_per_1m_tokens	batch_or_priority	cutoff_status	chart_readiness	caveat
MPR-0001	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_open_models	Mistral Large 3	mistral-large-latest	0.50		1.50	standard	post_cutoff_capture_requires_cutoff_caveat	candidate_only_requires_cutoff_status_and_same_scope_rank_join	Official Mistral pricing page captured 2026-05-25, one day after cutoff; use as Mistral pricing pair with date caveat, not as proven May 24 price truth.
MPR-0002	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_open_models	Mistral Medium 3.5	mistral-medium-latest	1.50		7.50	standard	post_cutoff_capture_requires_cutoff_caveat	candidate_only_requires_cutoff_status_and_same_scope_rank_join	Official Mistral pricing page captured 2026-05-25, one day after cutoff; model/version needs cutoff-status check before price-quality chart use.
MPR-0003	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_open_models	Mistral Small 4	mistral-small-latest	0.15		0.60	standard	post_cutoff_capture_requires_cutoff_caveat	candidate_only_requires_cutoff_status_and_same_scope_rank_join	Official Mistral pricing page captured 2026-05-25, one day after cutoff; model/version needs cutoff-status check before price-quality chart use.
MPR-0004	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_code_models	Devstral 2	devstral-medium-latest	0.40		2.00	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_from_general_price_chart_code_model_scope	Code-agent model row; keep separate from general chat/frontier price-quality comparisons unless chart scope is coding models.
MPR-0005	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_code_models	Devstral Small 2	devstral-small-latest	0.10		0.30	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_from_general_price_chart_code_model_scope	Code-agent model row; keep separate from general chat/frontier price-quality comparisons unless chart scope is coding models.
MPR-0006	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_code_models	Codestral	codestral-latest	0.30		0.90	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_from_general_price_chart_code_model_scope	Code-specialized model row; useful for coding-agent economics but not general chat price-quality comparisons.
MPR-0007	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_reasoning_models	Magistral Medium	magistral-medium-latest	2.00		5.00	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_until_reasoning_scope_defined	Reasoning-specialized row; keep separate unless chart scope explicitly compares reasoning models.
MPR-0008	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_reasoning_models	Magistral Small	magistral-small-latest	0.50		1.50	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_until_reasoning_scope_defined	Reasoning-specialized row; keep separate unless chart scope explicitly compares reasoning models.
MPR-0009	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_open_models	Mistral Small 3.2	mistral-small-latest	0.10		0.30	standard	post_cutoff_capture_requires_cutoff_caveat	candidate_only_requires_cutoff_status_and_same_scope_rank_join	Official Mistral pricing page captured 2026-05-25, one day after cutoff; duplicate endpoint with newer Small 4 row means model/version scope must be explicit.
MPR-0010	Mistral	SNAP-20260525-011	S-0081	mistral_pricing_other_models	Mistral NeMo	open-mistral-nemo	0.15		0.15	standard	post_cutoff_capture_requires_cutoff_caveat	exclude_from_general_price_chart_legacy_or_other_scope	Other-model row useful for audit; do not mix into frontier chat price-quality charts without a defined scope.
