"pass_id"	"chapter"	"chapter_number"	"official_title"	"primary_file"	"supplemental_file"	"primary_words"	"supplemental_words"	"assembled_source_words"	"target_band"	"words_below_4200"	"words_above_4800"	"length_band"	"gap_type"	"recommended_action"
"I-0239"	"CH01"	"01"	"The Shock"	"manuscript/01-the-shock.md"	""	"3844"	"0"	"3844"	"4200-4800"	"356"	"0"	"thin_below_target_band"	"expansion_needed"	"Keep opener near current length; add only if later source-note/render apparatus requires smoother front matter."
"I-0239"	"CH02"	"02"	"Before the Transformer"	"manuscript/01-before-the-transformer.md"	""	"3670"	"0"	"3670"	"4200-4800"	"530"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 450-650 words of character/source texture around embeddings, recurrence bottlenecks, and the pressure that made attention feel necessary."
"I-0239"	"CH03"	"03"	"Attention Catches Fire"	"manuscript/02-attention-catches-fire.md"	""	"3674"	"0"	"3674"	"4200-4800"	"526"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 450-650 words of concrete mechanism explanation and one reader-facing analogy before final render."
"I-0239"	"CH04"	"04"	"The Scaling Bet"	"manuscript/03-scaling-bet.md"	""	"3653"	"0"	"3653"	"4200-4800"	"547"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 450-700 words on scaling-law stakes, Chinchilla balance, and benchmark caveats without generic futurism."
"I-0239"	"CH05"	"05"	"GPT-1 to GPT-3: The Door Opens"	"manuscript/05-gpt-1-to-gpt-3-door-opens.md"	""	"5488"	"0"	"5488"	"4200-4800"	"0"	"688"	"overlong_or_compound_review"	"compression_or_partition_review"	"Compress 400-600 words or move overlap with Chapter 19/Copilot history to notes if source-density repair does not justify the length."
"I-0239"	"CH06"	"06"	"Alignment Enters the Product"	"manuscript/06-alignment-enters-product.md"	""	"5105"	"0"	"5105"	"4200-4800"	"0"	"305"	"long_acceptable"	"monitor"	"Monitor length; any additions should replace alignment apparatus, not expand it."
"I-0239"	"CH07"	"07"	"ChatGPT: The Interface Event"	"manuscript/07-chatgpt-interface-event.md"	""	"5074"	"0"	"5074"	"4200-4800"	"0"	"274"	"long_acceptable"	"monitor"	"Monitor length; protect the interface scene and avoid adding adoption claims unless sourced at same scope."
"I-0239"	"CH08"	"08"	"Microsoft, OpenAI, and the Cloud Bargain"	"manuscript/08-microsoft-openai-cloud-bargain.md"	""	"3832"	"0"	"3832"	"4200-4800"	"368"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 350-600 words of enterprise/cloud scene texture and Azure/Copilot handoff, sourced beside the prose."
"I-0239"	"CH09"	"09"	"Google and DeepMind Wake the Sleeping Giant"	"manuscript/09-google-deepmind-gemini.md"	""	"3965"	"0"	"3965"	"4200-4800"	"235"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 300-600 words of Google/DeepMind institutional stakes and TPU/Gemini product handoff."
"I-0239"	"CH10"	"10"	"Meta, Llama, and the Open-Weight Shock"	"manuscript/10-meta-llama-open-weight-shock.md"	""	"3840"	"0"	"3840"	"4200-4800"	"360"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 300-500 words only if it clarifies open-weight consequences; otherwise keep lean."
