id	chapter_scope	claim_or_blocker	status	risk_family	tempting_prose_or_chart	evidence_needed	fastest_route	disposition	source_ids_or_refs
UB-0150-001	11	C-0007	needs-verification	frontier_release_chronology	Qwen 3.5, Qwen 3.6, or DeepSeek V4-era systems happened before the cutoff.	Cutoff-bounded primary release posts, papers, repos, model cards, or archived official pages with dates and exact names.	Keep as support-pending gap lane; acquire primary source pack before prose claims; delete happened-release wording if not found.	quarantine_until_supported	S-0027;S-0028;S-0029;data/full_book_timeline_integrity_audit_i0149.tsv
UB-0150-002	1;7	C-0010	needs-verification	adoption_reception_metrics	ChatGPT was the fastest-growing app, had OpenAI-confirmed 100M users, drove quantified public reaction, paid users, revenue, named customers, or productivity.	Metric-specific source chain separating Altman one-million-users post, Reuters/UBS/Similarweb estimates, primary product posts, and institutional response rows.	Support only local attributed metrics already row-normalized; otherwise quarantine broad reception and growth superlatives.	support_narrow_metrics_quarantine_rest	S-0006;S-0092;S-0098;S-0102;data/chatgpt_adoption_reception_gap_i0051.tsv
UB-0150-003	20	C-0013	needs-verification	benchmark_harness_transfer	Claude 4 is the best coding model or exact SWE-bench/Terminal-bench numbers prove general coding-agent superiority.	Exact Anthropic launch wording, benchmark version, scaffold, date, sample/task setup, comparison set, and independent benchmark source context.	Use benchmark-caveat matrix and product-doc screenshot only; build normalized benchmark rows before any exact chart.	quarantine_exact_numbers_and_superiority	S-0007;S-0035;S-0037;data/chapter20_coding_agents_claim_audit_i0107.tsv
UB-0150-004	15;16	C-0021	needs-verification	vendor_performance_laundering	NVIDIA GTC performance, cost, throughput, revenue, benchmark, or deployment claims are neutral historical facts.	Independent corroboration per quantitative claim or explicit NVIDIA-attributed language with shipped/announced/roadmap label.	Keep GTC claims attributed; use slides as stagecraft/source surfaces; move neutral quantitative claims to blocked captions unless corroborated.	attribute_or_corrobate	S-0001;S-0010;S-0064;data/gtc_2026_keynote_page_notes.tsv
UB-0150-005	5;19	C-0029	needs-verification	adoption_productivity_transfer	GPT-3 API ecosystem counts or Copilot adoption/productivity numbers prove platform success or developer productivity.	Official snapshots plus same-scope secondary triangulation; metric definitions for users, apps, repositories, productivity, and time saved.	Keep direction-only prose; build source snapshot and metric table before numbers; delete productivity framing if evidence remains vendor-only.	quarantine_or_delete_numbers	S-0070;S-0071;manuscript/05-gpt-1-to-gpt-3-door-opens.md
UB-0150-006	6	C-0044	needs-verification	quote_policy_exactness	Long system-card passages, red-team examples, exact policy wording, or labeler-process details are quote-ready.	Local snapshots, page/section anchors, quote-safe extraction rows, word-limit notes, and context notes for each quoted passage.	Use existing short S-0074 quote-safe rows; create system-card extraction table before longer quotes; paraphrase until extracted.	support_short_quotes_only	S-0074;S-0075;S-0076;S-0077;data/chapter6_alignment_claim_audit_i0096.tsv
UB-0150-007	13;22	C-0046	needs-verification	price_quality_same_scope	A price-quality frontier or best-value model chart can be plotted from mixed provider pricing and leaderboard rows.	Same-date, same-scope provider price rows; model/version alignment; input/output/cache/batch/reasoning/fine-tuning exclusions; rank snapshot contracts.	Keep exclusion map; expand normalized price rows and join audit before any frontier chart; delete mixed-scope points.	quarantine_frontier_chart	S-0060;S-0061;S-0062;S-0072;S-0080;S-0081;S-0082;SNAP-20260525-008;data/price_quality_join_audit_i0036.tsv
UB-0150-008	15;16	C-0047	needs-verification	roadmap_availability_deployment	GTC slide-derived ratios, partner lists, availability timing, roadmap items, and deployment language are independent facts.	Per-slide extraction rows with claim type, exact wording, page number, independent corroboration, and shipped/announced/roadmap label.	Use slides only as attributed NVIDIA visuals; mine GTC chart candidates separately; keep future roadmap items visibly future/announced.	attribute_label_or_drop	S-0001;S-0010;S-0064;S-0065;S-0066;S-0067;A-0005;A-0006;A-0007;A-0008;A-0009
UB-0150-009	12	TL-0149-001	open_structural_blocker	chapter_identity_conflict	Anthropic/Claude and Europe/xAI/rest-of-frontier can both occupy Chapter 12 without consequence.	Final 24-chapter structure decision preserving mandatory Anthropic, Claude, Mistral, xAI, and rest-frontier coverage.	Run structure pass before Chapter 12 prose integration; retitle, split, or relocate material explicitly.	resolve_structure_before_prose	data/full_book_timeline_handoff_defects_i0149.tsv;manuscript/12-europe-xai-rest-frontier.md;manuscript/12-anthropic-and-claude-spine-section.md
UB-0150-010	8;22	CH8MS/ECON tempting claims	blocked_by_chapter_audits	business_outcome_transfer	Azure/OpenAI/Copilot/product surfaces prove revenue, ROI, margin, workload volume, enterprise adoption, or productivity.	Public filings, earnings lines, product telemetry, customer case studies, and same-scope metric definitions.	Keep mechanism/business-route prose; use enterprise blocker maps; support only access routes and announced products until financial rows exist.	quarantine_outcome_claims	data/chapter8_microsoft_openai_claim_audit_i0113.tsv;data/chapter22_economics_claim_audit_i0127.tsv
