asset_or_group	chapter_current	role_current	keep_merge_defer_or_replace	recommended_final_role	redundancy_or_gap	source_or_claim_anchor	blocked_claims
A-0071 CUDA stack	14	Layered CUDA/software/hardware/developer-operations stack	keep	Chapter 14 opener or early mechanism figure; it owns the software moat and developer-behavior layer.	Overlaps only if Chapter 15/16 repeat generic stack language; keep Chapter 15/16 captions away from CUDA-library gravity.	S-0138;S-0141;S-0142;CH14CUDA-001;CH14CUDA-002;CH14CUDA-006;CH14CUDA-007	Market dominance, antitrust, TCO, framework dominance, universal developer preference, quantified lock-in.
A-0072 GPU memory/interconnect	14	HBM, GPU shards, interconnect fabric, host orchestration	keep	Chapter 14 second technical mechanism; it should explain why LLM systems are communication systems before GTC rhetoric.	Can blur with GTC rack-scale cards and Chapter 16 accelerators; caption should say schematic traffic pattern, not roadmap/spec claim.	S-0039;S-0139;S-0140;S-0143;CH14CUDA-003;CH14CUDA-004;CH14CUDA-005	Exact bandwidth, speedup, all-GPUs-as-one, benchmark, availability, supply, deployment, neutral performance ratios.
A-0073 training-vs-inference capacity	14	Training and inference capacity split	keep_with_caption_guard	Chapter 14 bridge into Chapters 15 and 22; keep as schematic capacity distinction.	Overlaps with Chapter 15 AI factory and Chapter 22 economics; use only as hardware workload split, not economics or utilization chart.	S-0139;S-0142;S-0143;C-0146;CH14CUDA-003;CH14CUDA-005;CH14CUDA-006	Exact throughput, utilization, energy, TCO, price, supply, deployment, performance ratios, cost-per-token.
A-0012 AI factory stack	15	Reader-friendly AI factory mechanism diagram	keep	Chapter 15 primary synthetic diagram; explains NVIDIA's factory frame without using the slide renders as the only teaching surface.	Partly duplicates A-0015 power-to-token flow; distinguish by source actor: NVIDIA argument stack versus independent physical constraint chain.	data/ai_factory_stack_i0027.tsv;S-0001;C-0021;C-0047	Neutral AI-factory definition, independent economics, exact performance, deployment scale, shipped roadmap.
A-0004/A-0024 page 29 AI factory thesis	15	Slide render plus commit-safe claim card for NVIDIA's AI factory thesis	merge_to_one_final_slot	Use either the private-use slide render A-0004 or the lightweight card A-0024 in final layout, not both on the same spread.	Duplicate pair: same page and same claim. Card is safer for claim control; slide render is richer if rights/render QA passes.	S-0001;GTCVIS-001;A-0004;A-0024	Neutral industry definition, deployed factory economics.
A-0005/A-0025 page 45 inference compute roadmap	15	Slide render plus claim card for Groq 3 LPX/inference roadmap	defer_or_appendix	Keep as appendix/claim-card candidate unless Chapter 15 needs a roadmap example; avoid main narrative clutter.	Duplicates broader roadmap and performance-card grammar; high risk of spec-sheet victory lap.	S-0001;S-0067;GTCVIS-002	Shipped availability, independently verified specs/performance.
A-0006/A-0026 page 46 Vera Rubin partner card	15	Rack-scale partner/performance announcement	keep_one_if_roadmap_sequence_needed	Use one visual if the chapter needs the Vera Rubin turn; otherwise mention in prose with claim label.	Overlaps A-0008/A-0028 roadmap and A-0007/A-0027 system comparison; avoid stacking three roadmap/performance visuals.	S-0001;S-0010;GTCVIS-003	Partner proof, perf-per-watt, NVFP4, HBM4, NVLink6 as neutral facts.
A-0007/A-0027 page 49 system comparison	15	NVIDIA one-gigawatt system comparison/performance frame	keep_card_over_slide	Use the lightweight card, not the full slide, unless final design wants one dramatic NVIDIA-argument image.	Highest overclaim risk: tokens/sec, ratios, and one-gigawatt comparison can look like independent measurement.	S-0001;S-0010;GTCVIS-004	Exact ratios, token throughput, revenue, deployed capacity, neutral performance proof.
A-0008/A-0028 page 50 roadmap	15	Roadmap cadence card/render	keep_one	Use one roadmap visual if Chapter 15 needs chronology; keep future-generation items explicitly roadmap.	Can duplicate Vera Rubin and inference compute roadmap; do not let roadmap cards multiply.	S-0001;S-0065;S-0067;GTCVIS-005	Writing 2028/future roadmap as happened history.
A-0009/A-0029 page 51 DSX platform	15	DSX reference-design/platform frame	keep_if_handoff_to_ch16	Best Chapter 15-to-16 handoff candidate because it crosses chips, systems, facilities, software, cooling, and power.	Overlaps A-0012 and A-0015; use as NVIDIA source-actor bridge, then let Chapter 16 use independent evidence.	S-0001;S-0066;GTCVIS-006	Customer deployment, adoption scale, facility performance.
