"capture_id"	"status"	"source_ids"	"asset_ids"	"source_kind"	"url_or_path"	"accessed_at"	"cutoff_status"	"capture_method"	"target_local_path"	"expected_hash_fields"	"quote_limit_words"	"allowed_use"	"robots_rights_note"	"blocked_claims"	"next_action"	"owner_pass"
"CAP-20260526-2101"	"done"	"S-0286"	"A-0168"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Jensen%20Huang%20(cropped).jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2101__jensen-huang-cropped.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2102"	"done"	"S-0287"	"A-0169"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/TSMC%20Fab5.JPG"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2102__tsmc-fab5.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2103"	"done"	"S-0288"	"A-0170"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Google%20data%20center.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2103__google-data-center.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2104"	"done"	"S-0280"	"A-0171"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Electrical%20Substation.JPG"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2104__electrical-substation.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2105"	"failed"	"S-0281"	"A-0172"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Overhead%20Transmission%20Lines.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2105__overhead-transmission-lines.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2106"	"failed"	"S-0282"	"A-0173"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Gas%20Turbine%20Power%20Plant.JPG"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2106__gas-turbine-power-plant.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2107"	"failed"	"S-0283"	"A-0174"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Air-cooled%20industrial%20and%20commercial%20battery%20energy%20storage%20system.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2107__battery-storage.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2108"	"failed"	"S-0284"	"A-0175"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Davis%20Besse%20cooling%20tower.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2108__davis-besse-cooling-tower.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2109"	"failed"	"S-0285"	"A-0176"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Cooling%20tower.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2109__cooling-tower.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2110"	"done"	"S-0276"	"A-0177"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Silicon%20wafer.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2110__silicon-wafer.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
