"chapter"	"figure_count"	"white_space_pressure"	"caption_risk_count"	"pending_capture_or_rights_count"	"orphan_risk"	"reader_fatigue_risk"	"recommended_fix"
"CH01"	"3"	"healthy"	"1"	"0"	"low"	"low"	"Preserve current alternation; verify final page breaks."
"CH02"	"1"	"too_open"	"0"	"0"	"high_single_visual_chapter"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"CH03"	"1"	"too_open"	"1"	"0"	"high_single_visual_chapter"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"CH04"	"1"	"too_open"	"1"	"0"	"high_single_visual_chapter"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"CH05"	"1"	"too_open"	"1"	"0"	"high_single_visual_chapter"	"under_varied_low_count"	"Add or promote one source-texture or scene beat only if rights/provenance are ready."
"CH06"	"3"	"healthy"	"3"	"2"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH07"	"5"	"dense_but_workable"	"5"	"4"	"medium_caption_cluster"	"source_texture_cluster"	"Interleave mechanism/evidence captions and avoid product-surface repetition."
"CH08"	"4"	"healthy"	"4"	"0"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH09"	"5"	"dense_but_workable"	"3"	"1"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH10"	"5"	"dense_but_workable"	"4"	"2"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH11"	"5"	"dense_but_workable"	"4"	"3"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH12"	"6"	"dense_but_workable"	"5"	"2"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH13"	"3"	"healthy"	"3"	"0"	"medium_caption_cluster"	"comparison_cluster"	"Separate comparison figures with prose or mechanism beats; reserve one matrix if layout feels tabular."
"CH14"	"6"	"dense_but_workable"	"1"	"3"	"low"	"low"	"Preserve current alternation; verify final page breaks."
"CH15"	"7"	"crowded"	"6"	"2"	"medium_caption_cluster"	"crowded"	"Preserve current alternation; verify final page breaks."
"CH16"	"9"	"crowded"	"2"	"4"	"low"	"source_texture_cluster"	"Interleave mechanism/evidence captions and avoid product-surface repetition."
"CH17"	"4"	"healthy"	"2"	"0"	"low"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"CH18"	"5"	"dense_but_workable"	"3"	"1"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH19"	"5"	"dense_but_workable"	"3"	"1"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH20"	"5"	"dense_but_workable"	"3"	"1"	"medium_caption_cluster"	"low"	"Preserve current alternation; verify final page breaks."
"CH21"	"4"	"healthy"	"3"	"0"	"medium_caption_cluster"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"CH22"	"4"	"healthy"	"4"	"0"	"medium_caption_cluster"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"CH23"	"4"	"healthy"	"3"	"0"	"medium_caption_cluster"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
"CH24"	"4"	"healthy"	"2"	"0"	"low"	"diagram_mechanism_run"	"Add source texture, scene framing, or a smaller evidence card before final layout."
