pass_id	note_id	chapter	chapter_title	anchor_type	manuscript_anchor	source_ids	claim_ids	source_count	claim_count	compressed_cluster_id	expanded_note	page_anchor_status	final_note_status
I-0267	N01.001	01	The Shock	body_or_heading_cue	On November 30, 2022, OpenAI introduced ChatGPT as a conversational model, a sibling to InstructGPT, trained to follow instructions in a prompt and provide a detailed response. S-0006 There was no dramatic hardware revea	S-0006		1	0	CL-00326	S-0006 - Introducing ChatGPT (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/index/chatgpt/) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.002	01	The Shock	body_or_heading_cue	"The phrase ""next token"" sounds smaller than the thing it explains. A token is a unit in the model's text machinery: sometimes a word, sometimes part of a word, sometimes punctuation, sometimes a fragment that makes sense"	S-0043		1	0	CL-00327	S-0043 - tiktoken (OpenAI; repository local capture; primary; accessed 2026-05-26; assets/source_docs/chatgpt_opener/S-0043_tiktoken_github.html) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.003	01	The Shock	body_or_heading_cue	The same mechanism carried the first betrayal. Fluency is not truth. A model trained to continue text can produce a sentence that sounds like the next right sentence without the sentence being right. It can write a citat	S-0005		1	0	CL-00325	S-0005 - GPT-4 Technical Report (OpenAI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2303.08774) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.004	01	The Shock	body_or_heading_cue	"By the first Monday after launch, Sam Altman posted that ChatGPT had crossed one million users. The source is useful, but the metric label matters: ""users"" did not specify monthly active users, registered accounts, uniqu"	S-0092		1	0	CL-00331	S-0092 - Sam Altman X post: ChatGPT crossed one million users (Sam Altman; X/social post; personal primary; accessed 2026-05-25; https://twitter.com/sama/status/1599668808285028353) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.005	01	The Shock	body_or_heading_cue	On December 5, 2022, Meta Stack Overflow posted an original temporary policy against ChatGPT-generated posts. The row-level extraction matters because the current policy page later changed; the original revision is the e	S-0093		1	0	CL-00332	S-0093 - Policy: Generative AI (e.g., ChatGPT) is banned (Meta Stack Overflow; institutional policy; primary institutional; accessed 2026-05-25; https://meta.stackoverflow.com/questions/421831/policy-generative-ai-e-g-chatgpt-is-banned) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.006	01	The Shock	body_or_heading_cue	Schools saw a different machine. Chalkbeat reported on January 3, 2023, that New York City's education department blocked ChatGPT on school devices and networks, citing concerns about learning and the safety and accuracy	S-0094;S-0096		2	0	CL-00727	S-0094 - NYC education department blocks ChatGPT on school devices, networks (Chalkbeat; New York education reporting; secondary; accessed 2026-05-25; https://www.chalkbeat.org/newyork/2023/1/3/23537987/nyc-schools-ban-chatgpt-writing-artificial-intelligence/) | S-0096 - ChatGPT banned by Seattle schools - for now (Axios Seattle; local news article; secondary; accessed 2026-05-25; https://www.axios.com/local/seattle/2023/01/24/chatgpt-banned-seattle-schools-artificial-intelligence) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.007	01	The Shock	body_or_heading_cue	Workplaces saw still another machine. Axios reported in February 2023 that JPMorgan Chase restricted staff use of ChatGPT, with the reporting framed around normal controls for third-party software and no specific inciden	S-0097		1	0	CL-00336	S-0097 - JPMorgan restricts staff from using ChatGPT (Axios; workplace/business news article; secondary; accessed 2026-05-25; https://www.axios.com/2023/02/22/chatgpt-jpmorgan-chase-restricts-ai) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.008	01	The Shock	body_or_heading_cue	Before ChatGPT, large language models had already crossed major technical thresholds. GPT-3 showed that scale could make a single model perform many tasks from context and examples rather than task-specific training. S-0	S-0004;S-0014		2	0	CL-00708	S-0004 - Language Models are Few-Shot Learners (Brown et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.14165) | S-0014 - Training language models to follow instructions with human feedback (Ouyang et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.02155) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.009	01	The Shock	body_or_heading_cue	Behind each answer was a stack of trained weights, inference servers, GPUs, networking, datacenters, safety systems, monitoring, product design, and capital. Microsoft had already described an Azure AI supercomputer buil	S-0041;S-0047		2	0	CL-00715	S-0041 - Microsoft announces new supercomputer, lays out vision for future AI work (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2020/05/19/microsoft-announces-new-supercomputer-lays-out-vision-for-future-ai-work/) | S-0047 - Microsoft and OpenAI extend partnership (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
I-0267	N01.010	01	The Shock	continuity_stitch_source_lane	> Source lane (I-0248): S-0104 S-0105 S-0106 S-0107 S-0002	S-0002;S-0104;S-0105;S-0106;S-0107		5	0	CL-01864	S-0002 - Attention Is All You Need (Vaswani et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/1706.03762) | S-0104 - A Neural Probabilistic Language Model (Bengio, Ducharme, Vincent, and Jauvin; JMLR paper; primary; accessed 2026-05-25; https://jmlr.org/papers/v3/bengio03a.html) | S-0105 - Efficient Estimation of Word Representations in Vector Space (Mikolov, Chen, Corrado, and Dean; arXiv / Google Research paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1301.3781) | S-0106 - Sequence to Sequence Learning with Neural Networks (Sutskever, Vinyals, and Le; arXiv / NeurIPS paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.3215) | S-0107 - Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau, Cho, and Bengio; arXiv paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.0473) | Boundary: Placeholder expanded from I-0249; final page number awaits render pagination.	manuscript_anchor_ready__render_page_number_pending	expanded_from_placeholder
