pass_id	defect_id	severity	figure_id	page	category	evidence	recommended_action
I-0280	I0263-DEF-001	P1	F01.01	2	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-002	P1	F01.02	5	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-003	P1	F01.03	8	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-004	P1	F02.01	11	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-005	P1	F03.01	18	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-006	P1	F04.01	26	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-007	P1	F05.01	34	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-008	P1	F06.01	45	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-009	P1	F06.02	49	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-010	P1	F06.03	52	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-011	P1	F07.01	57	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-012	P1	F07.02	59	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-013	P1	F07.03	62	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-014	P1	F07.04	64	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-015	P1	F07.05	67	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-016	P1	F08.01	70	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-017	P1	F08.02	73	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-018	P1	F08.03	75	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-019	P1	F08.04	77	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-020	P1	F09.01	81	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-021	P1	F09.02	83	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
I-0280	I0263-DEF-022	P1	F09.03	85	small_text	min_caption_font=6.20pt	Raise caption/source-note type size or shorten caption.
