check_id	location	cue_rows	readability_issue	action_taken	permission_preserved	next_followup
CH16R-001	Opening NVIDIA/company-framing paragraph	CH16Q-017	Back-to-back citation brackets made the first evidence note feel like ledger debris.	Combined the adjacent source brackets into one bracket: [S-0001; S-0083; CH16Q-017].	Yes; CH16Q-017 still blocks neutral NVIDIA/GTC performance, roadmap, partner, availability, deployment, revenue, and throughput claims.	No further prose change needed unless final layout moves cue IDs to notes.
CH16R-002	Global IEA paragraph	CH16Q-001;CH16Q-002	Two exact IEA claims appear in separate sentences; each has its own compact cue.	Left unchanged because the separate cues attach to distinct measured and forecast claims.	Yes; measured 2024 share and 2030 base-case projection stay separately permissioned.	Later cue-density rule may decide whether paragraph-level notes can preserve this mapping.
CH16R-003	U.S. LBNL/DOE paragraph	CH16Q-003;CH16Q-004;CH16Q-005;CH16Q-006	Four cues make the paragraph dense, but each pair covers a different exact number set.	Left unchanged; prose already explains that the 2028 figures are scenarios, not prophecy.	Yes; TWh and percentage ranges remain separately linked to measured versus scenario rows.	Final layout could place the CH16Q IDs in a sidenote if inline cues become visually heavy.
CH16R-004	EPRI scale paragraph	CH16Q-007;CH16Q-008	The citation is dense but sits after one sentence containing both the MW range and homes comparison.	Left unchanged because both claims share the same EPRI source and comparison caveat.	Yes; facility-scale and household-equivalence claims remain attributed and caveated.	No immediate change.
CH16R-005	Geography and delay-risk paragraph	CH16Q-009;CH16Q-010	Two source-cue sentences are readable and separated by prose logic.	Left unchanged; the second sentence explicitly limits delay-risk overclaiming.	Yes; geographic concentration and delay risk remain row-permissioned.	No immediate change.
CH16R-006	Supply-mix paragraph	CH16Q-011;CH16Q-012	The citation is dense but attaches to one IEA forecast sentence with supply-mix caveat prose following immediately.	Left unchanged to preserve projection and supply-mix permissions.	Yes; projected TWh growth and renewables-share language remain forecast-labeled.	No immediate change.
CH16R-007	Interconnection paragraph	CH16Q-013;CH16Q-014	The paragraph reads smoothly because the caveat sentence follows the bracket.	Left unchanged.	Yes; connection-size and lead-time claims remain advisory-report evidence.	No immediate change.
CH16R-008	Cooling paragraph	CH16Q-015;CH16Q-016	The citation cluster is acceptable because it follows one operator-survey sentence and the next sentence keeps the caution narrative.	Left unchanged.	Yes; PUE and rack-density claims remain operator-survey signals, not universal engineering laws.	No immediate change.
CH16R-009	Dependency-stack paragraph	CH16Q-018	The cue is isolated and useful because it marks an explicit exclusion rather than a factual estimate.	Left unchanged.	Yes; quantified energy-per-token and Wh/token claims remain blocked.	No immediate change.
CH16R-010	Closing paragraph	none	Three separate source brackets at the chapter close interrupted the cadence without adding row-level CH16Q permission.	Combined the adjacent source brackets into one compact bracket: [S-0083; S-0084; S-0087].	Yes; no CH16Q row depended on those closing source-only brackets.	No further prose change needed.
