paper_id	priority	chapter_targets	source_id_or_gap	title	creators	year	source_url	technical_role	figure_candidates	figure_rights_lane	quote_limit	allowed_claims	blocked_claims	next_action
P-0001	core	1	S-0104	A Neural Probabilistic Language Model	Bengio, Ducharme, Vincent, and Jauvin	2003	https://www.jmlr.org/papers/v3/bengio03a.html	Neural LM prehistory and distributed representation pressure	Architecture schematic; learned representation concept card	redraw_preferred	Short paraphrase only unless quote extracted	Neural probabilistic LM as pre-Transformer precursor; distributed representations	Causality chain to modern LLMs; exact benchmark or adoption claims	Extract one mechanism diagram candidate for Chapter 1
P-0002	core	1	S-0105	Efficient Estimation of Word Representations in Vector Space	Mikolov, Chen, Corrado, and Dean	2013	https://arxiv.org/abs/1301.3781	Word2vec and efficient word-vector learning	Analogy table; vector-neighborhood schematic	redraw_preferred	Under 20 words after extraction	Word-vector mechanism and analogy-evaluation framing	Human-like semantic understanding; invention-priority claims	Redraw vector analogy as caveated source card
P-0003	core	1	S-0106	Sequence to Sequence Learning with Neural Networks	Sutskever, Vinyals, and Le	2014	https://arxiv.org/abs/1409.3215	Encoder-decoder bottleneck before attention	Encoder-decoder sequence diagram; fixed-vector bottleneck	redraw_preferred	Short phrase only	Encoder-decoder sequence transduction and bottleneck setup	Exact BLEU/result numbers without row extraction; all-sequence generality	Pair with P-0004 in early-pressure-chain visual
P-0004	core	1	S-0107	Neural Machine Translation by Jointly Learning to Align and Translate	Bahdanau, Cho, and Bengio	2014	https://arxiv.org/abs/1409.0473	Attention/alignment before Transformer	Alignment heatmap concept; context-vector diagram	redraw_preferred	Short phrase only	Attention as fix for fixed-vector bottleneck in NMT	Attention weights as faithful explanation; priority crown	Extract redrawable alignment concept for Chapter 1 or 2
P-0005	core	1,17	S-0153	Neural Machine Translation of Rare Words with Subword Units	Sennrich, Haddow, and Birch	2015	https://arxiv.org/abs/1508.07909	Subword segmentation bridge to tokenization	Rare-word split example; BPE merge ladder	redraw_preferred	Short phrase only	Subword mechanism and rare-word handling	Modern tokenizer cost comparisons; legal/data claims	Queue tokenizer ladder for data chapter
P-0006	core	2	S-0002	Attention Is All You Need	Vaswani et al.	2017	https://arxiv.org/abs/1706.03762	Transformer architecture and parallel self-attention	Transformer block; scaled dot-product attention; multi-head schematic	redraw_required	Short labels only; no long figure text	Self-attention, multi-head attention, positional encodings, parallel training fit	Architecture alone caused LLM race; exact modern implementation details; attention as explanation	Make house-style redraw shortlist item
P-0007	core	2	S-0108	Transformer: A Novel Neural Network Architecture for Language Understanding	Google Research	2017	https://research.google/blog/transformer-a-novel-neural-network-architecture-for-language-understanding/	Public Transformer framing	Source-page screenshot; self-attention dependency language	private_screenshot_or_excerpt_card	Under 25 words	Google-attributed public framing of Transformer importance	Exact architecture claims beyond paper; modern deployment inferences	Capture source page if rights path is acceptable
P-0008	high	2	S-0188	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Devlin et al.	2018	https://arxiv.org/abs/1810.04805	Bidirectional pretraining and encoder-side Transformer uptake	BERT pretraining tasks; model input representation	redraw_preferred	Short labels only	Masked LM/next-sentence pretraining as encoder-era milestone	LLM generative trajectory proof; benchmark table reuse without extraction	Add to Chapter 2 lineage side note, not main LLM spine
P-0009	core	3	S-0003	Scaling Laws for Neural Language Models	Kaplan et al.	2020	https://arxiv.org/abs/2001.08361	OpenAI scaling-law framing	Loss power-law plots; compute/model/data axes	redraw_required	Short labels only	Loss scales with model size, data, and compute under studied regimes	Prophecy, universal formulas, emergence thresholds, exact exponents without extraction	Redraw one simplified evidence-lane chart
P-0010	core	3	S-0190	Training Compute-Optimal Large Language Models	Hoffmann et al.	2022	https://arxiv.org/abs/2203.15556	Chinchilla compute/data balance	Compute-optimal frontier; token/parameter balance concept	redraw_required	Short labels only	Compute/data balance changed scaling interpretation	Exact formula/chart values without extraction; proof that all later labs followed it	Add source row and chart extraction target
