pass_id	chapter	figure_id	page	sample_png	sample_png_exists	sample_png_sha256	page_text_chars	page_image_count	largest_image_area_pct	chapter_sample_status	manual_review_note
I-0293	CH01	F01.01	2	rendered/full_book_i0293/chapter_page_samples/ch01_page_002_F01-01.png	yes	af86a509eaaac80443786c1faf7c5e181573f33910bdad4c141a356279670691	2421	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH02	F02.01	10	rendered/full_book_i0293/chapter_page_samples/ch02_page_010_F02-01.png	yes	8da29175aec02624f56bce28aa2446e4a14926b8c0ab32cb1c5cbf76b8ecd7cc	2495	1	17.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH03	F03.01	16	rendered/full_book_i0293/chapter_page_samples/ch03_page_016_F03-01.png	yes	2acb9f2e27024e15d6617d7ec93543a8443c88f7da88cf58ad8112906d9875bb	2445	1	16.3	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH04	F04.01	23	rendered/full_book_i0293/chapter_page_samples/ch04_page_023_F04-01.png	yes	b09117c933428abf180f54589b66d284f380e571fae56997b06f401f0854d396	2362	1	17.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH05	F05.01	30	rendered/full_book_i0293/chapter_page_samples/ch05_page_030_F05-01.png	yes	b75c067fe15b910b655ceb4e2bff9cde464f4ab40c49c3696517771495a984c3	2383	1	17.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH06	F06.01	39	rendered/full_book_i0293/chapter_page_samples/ch06_page_039_F06-01.png	yes	a570f66afba34b6e7da3261996a5fdaa9a66566958e3a7a177038d4ee1f1e39a	2418	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH07	F07.01	49	rendered/full_book_i0293/chapter_page_samples/ch07_page_049_F07-01.png	yes	9b8a466bda3994e9e4b8844f381cab0165753c6903a041f4151a657c657f8343	2659	1	27.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH08	F08.01	60	rendered/full_book_i0293/chapter_page_samples/ch08_page_060_F08-01.png	yes	cca17ee0abaa66ca30f03e78b86d2322d18442a1e231e36fdf772c55d2ba75fa	2249	1	27.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH09	F09.01	69	rendered/full_book_i0293/chapter_page_samples/ch09_page_069_F09-01.png	yes	8df8b441fc7393d682e06b5e327f76f487a78cb993ecfee58dac41aca5d2c95c	2244	1	17.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0293	CH10	F10.01	80	rendered/full_book_i0293/chapter_page_samples/ch10_page_080_F10-01.png	yes	14a29c7f086e6af9057f72109f60e2965c192c816087fa0c1d7a0d8745988570	2315	1	17.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
