pass_id	page	zone	text_chars	image_count	drawing_count	residue_hits	front_back_process_hits	blank_like	sample_text
I-0312	1	front	1136	0	26	0	0	no	Next Token Table of Contents Chapter 01: The Shock Chapter 02: Before the Transformer Chapter 03: Attention Catches Fire Chapter 04: The Scaling Bet Chapter 05: GPT-1 to GPT-3: The Door Opens Chapter 06: Alignment Enters the Product Chapter 07: ChatGPT: The Interface Event Chapter 08: Microsoft, Ope
I-0312	2	front	629	0	4	0	0	no	READER'S NOTE A Note Before The First Prompt Read this edition as a narrative with its evidence left visible. The screenshots, logos, papers, model cards, tables, and source pages are not decorative display pieces; they are dated surfaces that show where the story touches the world. The rule is simp
I-0312	3	front	0	0	3	0	0	yes	
I-0312	4	front	0	0	2	0	0	yes	
I-0312	5	front	817	1	4	0	0	no	Chapter 01: The Shock 1. The Shock The book opens at the smallest possible threshold: a blank text box that made a deep technical stack feel suddenly public. The Box That Was Too Easy F01.01 / A-0287-013 - Figure 01.01 - OpenAI Platform Became A Public Product Surface OpenAI Platform public-web scre
I-0312	6	front	2169	0	2	0	0	no	On November 30, 2022, OpenAI introduced ChatGPT as a conversational model, a sibling to InstructGPT, trained to follow instructions in a prompt and provide a detailed response. [S-0006] There was no dramatic hardware reveal. No consumer device appeared in a hand. No founder pulled the future from a 
I-0312	7	front	2465	0	2	0	0	no	This chapter uses source IDs and claim rows already normalized for Chapter 7, but its job is different. Chapter 1 frames the book's central question: how did next-token prediction become a general-purpose interface to language, code, work, and computing? It uses ChatGPT launch, adoption, and recepti
I-0312	8	front	2265	0	2	0	0	no	The same mechanism carried the first betrayal. Fluency is not truth. A model trained to continue text can produce a sentence that sounds like the next right sentence without the sentence being right. It can write a citation-shaped object, a legal-shaped paragraph, or a code-shaped function that pass
I-0312	9	body	1482	0	2	0	0	no	chain showed that the public use signal had not evaporated after the novelty rush. Together they tell a story of speed. Separately labeled, they do not pretend to be the same instrument. The tempting sentence is that ChatGPT was the fastest-growing app in history. The current evidence ledger keeps t
I-0312	10	body	1252	1	4	0	0	no	Local Alarms F01.02 / A-0069 - Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer. Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated
