pass_id	note_id	chapter	chapter_title	source_ids	source_count	origin	anchor_excerpt	note_placeholder
I-0249	N01.001	01	The Shock	S-0006	1	body_or_heading_cue	On November 30, 2022, OpenAI introduced ChatGPT as a conversational model, a sibling to InstructGPT, trained to follow instructions in a prompt and provide a detailed response. S-0006 There was no dramatic hardware revea	N01.001: source IDs S-0006. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.002	01	The Shock	S-0043	1	body_or_heading_cue	"The phrase ""next token"" sounds smaller than the thing it explains. A token is a unit in the model's text machinery: sometimes a word, sometimes part of a word, sometimes punctuation, sometimes a fragment that makes sense"	N01.002: source IDs S-0043. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.003	01	The Shock	S-0005	1	body_or_heading_cue	The same mechanism carried the first betrayal. Fluency is not truth. A model trained to continue text can produce a sentence that sounds like the next right sentence without the sentence being right. It can write a citat	N01.003: source IDs S-0005. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.004	01	The Shock	S-0092	1	body_or_heading_cue	"By the first Monday after launch, Sam Altman posted that ChatGPT had crossed one million users. The source is useful, but the metric label matters: ""users"" did not specify monthly active users, registered accounts, uniqu"	N01.004: source IDs S-0092. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.005	01	The Shock	S-0093	1	body_or_heading_cue	On December 5, 2022, Meta Stack Overflow posted an original temporary policy against ChatGPT-generated posts. The row-level extraction matters because the current policy page later changed; the original revision is the e	N01.005: source IDs S-0093. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.006	01	The Shock	S-0094;S-0096	2	body_or_heading_cue	Schools saw a different machine. Chalkbeat reported on January 3, 2023, that New York City's education department blocked ChatGPT on school devices and networks, citing concerns about learning and the safety and accuracy	N01.006: source IDs S-0094, S-0096. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.007	01	The Shock	S-0097	1	body_or_heading_cue	Workplaces saw still another machine. Axios reported in February 2023 that JPMorgan Chase restricted staff use of ChatGPT, with the reporting framed around normal controls for third-party software and no specific inciden	N01.007: source IDs S-0097. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.008	01	The Shock	S-0004;S-0014	2	body_or_heading_cue	Before ChatGPT, large language models had already crossed major technical thresholds. GPT-3 showed that scale could make a single model perform many tasks from context and examples rather than task-specific training. S-0	N01.008: source IDs S-0004, S-0014. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.009	01	The Shock	S-0041;S-0047	2	body_or_heading_cue	Behind each answer was a stack of trained weights, inference servers, GPUs, networking, datacenters, safety systems, monitoring, product design, and capital. Microsoft had already described an Azure AI supercomputer buil	N01.009: source IDs S-0041, S-0047. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N01.010	01	The Shock	S-0002;S-0104;S-0105;S-0106;S-0107	5	continuity_stitch_source_lane	> Source lane (I-0248): S-0104 S-0105 S-0106 S-0107 S-0002	N01.010: source IDs S-0002, S-0104, S-0105, S-0106, S-0107. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.001	02	Before the Transformer	S-0104	1	body_or_heading_cue	That bet runs through the neural probabilistic language model proposed by Yoshua Bengio, Rejean Ducharme, Pascal Vincent, and Christian Jauvin. The paper attacked the curse of dimensionality by learning a distributed rep	N02.001: source IDs S-0104. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.002	02	Before the Transformer	S-0105	1	body_or_heading_cue	Word2vec made that operational picture famous because it made useful word vectors cheap to train at scale. Tomas Mikolov, Kai Chen, Greg Corrado, and Jeffrey Dean proposed efficient architectures for learning continuous 	N02.002: source IDs S-0105. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.003	02	Before the Transformer	S-0104	1	body_or_heading_cue	This is why distributed representation was more than a technical convenience. It was a way to make the model less brittle in the face of novelty. Bengio and his coauthors described a neural language model that learned wo	N02.003: source IDs S-0104. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.004	02	Before the Transformer	S-0105	1	body_or_heading_cue	A useful analogy is a map, with the usual warning that the map is not the territory. If every town is represented only by its name, a traveler who has never seen one town knows nothing about where it lies. If the towns h	N02.004: source IDs S-0105. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.005	02	Before the Transformer	S-0105	1	body_or_heading_cue	The same discipline applies to analogies in word-vector papers and demos. They were striking because they made geometry feel semantic. But an analogy benchmark is not a theory of mind. It is evidence that certain relatio	N02.005: source IDs S-0105. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.006	02	Before the Transformer	S-0106	1	body_or_heading_cue	The encoder-decoder idea turned recurrence into a powerful machine for mapping one sequence to another. In sequence-to-sequence learning, a model could read an input sequence into a representation and then generate an ou	N02.006: source IDs S-0106. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.007	02	Before the Transformer	S-0107	1	body_or_heading_cue	That pressure is where attention entered the story not as a fashionable slogan but as a practical relief valve. Bahdanau, Cho, and Bengio proposed a neural machine translation model that learned to align and translate jo	N02.007: source IDs S-0107. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.008	02	Before the Transformer	S-0106	1	body_or_heading_cue	The fixed-vector bottleneck is worth slowing down for because it gives the early history a dramatic shape. In an encoder-decoder translation system, the encoder reads the source sentence and produces an internal represen	N02.008: source IDs S-0106. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.009	02	Before the Transformer	S-0107	1	body_or_heading_cue	Attention changed the plot because it made memory addressable. Bahdanau, Cho, and Bengio framed their model around learning to align and translate jointly; the decoder did not have to rely only on a single vector but cou	N02.009: source IDs S-0107. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.010	02	Before the Transformer	S-0107	1	body_or_heading_cue	The chapter should also keep a useful skepticism here. Attention did not make models reliable. It made one route for information flow more flexible. A model can attend to the wrong token, learn a spurious relation, or pr	N02.010: source IDs S-0107. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.011	02	Before the Transformer	S-0002	1	body_or_heading_cue	"The Transformer paper, ""Attention Is All You Need,"" made the decisive architectural claim in its title. Vaswani and colleagues replaced recurrence and convolution in the core sequence transduction model with attention me"	N02.011: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.012	02	Before the Transformer	S-0002	1	body_or_heading_cue	Self-attention also changed what a layer could do. Each token representation could be updated by looking across the sequence. Multi-head attention let the model learn multiple relationship patterns in parallel. Positiona	N02.012: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.013	02	Before the Transformer	S-0002	1	body_or_heading_cue	Parallelism sounds like a hardware footnote until it becomes destiny. A recurrent model processes sequence positions in order because each step depends on the previous hidden state. That matches the experience of reading	N02.013: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.014	02	Before the Transformer	S-0002	1	body_or_heading_cue	This is the first glimpse of a theme that will dominate the book later: model history is also infrastructure history. Ideas win partly because they are true or elegant, and partly because they run well on the machines av	N02.014: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.015	02	Before the Transformer	S-0002	1	body_or_heading_cue	The connection to later LLMs should be drawn carefully. It is not that the Transformer paper predicted every product that followed. It is not that architecture alone explains the boom. Data, objectives, optimization, har	N02.015: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N02.016	02	Before the Transformer	S-0002;S-0108	2	continuity_stitch_source_lane	> Source lane (I-0248): S-0002 S-0108	N02.016: source IDs S-0002, S-0108. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.001	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The 2017 Transformer paper made a different wager. It proposed a sequence transduction architecture based entirely on attention mechanisms, dispensing with recurrence and convolution in the core model. S-0002 That senten	N03.001: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.002	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The Transformer paper used scaled dot-product attention: queries, keys, and values are computed from input representations; attention weights come from comparing queries and keys; the resulting weighted sum of values pro	N03.002: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.003	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	Self-attention differs from the earlier encoder-decoder attention story in one important way. In translation attention, a decoder position attends back to source positions while generating output. In Transformer self-att	N03.003: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.004	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	Multi-head attention is one of the Transformer's most important design choices because language rarely has one relationship at a time. A word may need syntactic information, semantic information, local phrase structure, 	N03.004: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.005	03	Attention Catches Fire	S-0108	1	body_or_heading_cue	The Google Research blog introducing the Transformer to a broader technical audience framed it as a novel neural network architecture for language understanding and emphasized self-attention as a way to model dependencie	N03.005: source IDs S-0108. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.006	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The address book still has a price. Each layer has to compute and move attention information, and later systems would spend enormous engineering effort on memory, caching, sparse patterns, kernels, and context management	N03.006: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.007	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The Transformer paper handled order by adding positional encodings to the input embeddings, allowing the model to use sequence order while still avoiding recurrence. S-0002 This is a small detail with large explanatory v	N03.007: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.008	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The Transformer block is a compact industrial design: self-attention, feed-forward computation, residual connections, layer normalization, repeated in depth. The details vary across later systems, but the basic grammar b	N03.008: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.009	03	Attention Catches Fire	S-0004;S-0011;S-0013	3	body_or_heading_cue	The GPT lineage later used Transformer language models trained on text to predict the next token, then adapted and scaled that recipe. GPT-1 used generative Transformer pretraining followed by supervised task adaptation.	N03.009: source IDs S-0004, S-0011, S-0013. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.010	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	"The original Transformer paper presented an encoder-decoder architecture for sequence transduction. That matters because the paper's immediate problem space was not ""build a chatbot."" It was machine translation and relat"	N03.010: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.011	03	Attention Catches Fire	S-0004;S-0011;S-0013	3	body_or_heading_cue	The LLM boom made one branch of that family especially visible: decoder-style autoregressive language modeling. In that setup, the model is trained to predict the next token from previous tokens. GPT-1 used generative Tr	N03.011: source IDs S-0004, S-0011, S-0013. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.012	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	The Transformer paper's architectural move was also a hardware move. By removing recurrence from the core sequence transduction architecture, it allowed more parallel computation over sequence positions during training. 	N03.012: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.013	03	Attention Catches Fire	S-0002	1	body_or_heading_cue	First, it made context relational. Tokens could interact through self-attention rather than only through a compressed state. That gave language modeling a powerful way to condition each position on surrounding text. S-00	N03.013: source IDs S-0002. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.014	03	Attention Catches Fire	S-0011	1	body_or_heading_cue	Fourth, it connected naturally to the pretraining recipe. If large quantities of text can be represented as token sequences, and if a model can learn to predict or transform those sequences, then the same trained model c	N03.014: source IDs S-0011. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N03.015	03	Attention Catches Fire	S-0002;S-0003;S-0004;S-0015	4	continuity_stitch_source_lane	> Source lane (I-0248): S-0002 S-0003 S-0015 S-0004	N03.015: source IDs S-0002, S-0003, S-0004, S-0015. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.001	04	The Scaling Bet	S-0003	1	body_or_heading_cue	"Kaplan and colleagues' ""Scaling Laws for Neural Language Models"" gave that bet a sharp form. The paper studied how language-model performance varied with model size, dataset size, and compute, and argued that performance"	N04.001: source IDs S-0003. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.002	04	The Scaling Bet	S-0003	1	body_or_heading_cue	"Kaplan et al. separated three levers: model size, dataset size, and compute. S-0003 That separation matters because it prevents a common simplification. ""Scale"" is not one thing. A larger parameter count without enough d"	N04.002: source IDs S-0003. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.003	04	The Scaling Bet	S-0003	1	body_or_heading_cue	This is where the book's hardware chapters begin in embryo. A scaling law is not a GPU, but it creates demand for GPUs. It is not a datacenter, but it justifies a datacenter. It is not a business model, but it tells a CE	N04.003: source IDs S-0003. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.004	04	The Scaling Bet	S-0003	1	body_or_heading_cue	"Scaling-law prose can become slippery because ""performance"" sounds general. This chapter should keep the word tied to what the sources actually measured. Kaplan et al. studied language-model loss and related evaluation b"	N04.004: source IDs S-0003. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.005	04	The Scaling Bet	S-0003	1	body_or_heading_cue	That chain is full of ifs. Kaplan et al. did not prove the business model. They supplied a way to reason about the training side of the chain. S-0003 The rest had to be supplied by product design, infrastructure, pricing	N04.005: source IDs S-0003. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.006	04	The Scaling Bet	S-0004	1	body_or_heading_cue	"GPT-3 made the scaling bet culturally legible inside the technical world before ChatGPT made it culturally legible outside it. Brown and colleagues' ""Language Models are Few-Shot Learners"" presented a much larger autoreg"	N04.006: source IDs S-0004. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.007	04	The Scaling Bet	S-0004	1	body_or_heading_cue	GPT-3 also made the scaling question feel urgent. If a bigger language model could perform a wider range of tasks from prompts, then every lab had to ask whether the next jump in scale would unlock more such behavior. Th	N04.007: source IDs S-0004. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.008	04	The Scaling Bet	S-0015	1	body_or_heading_cue	The first scaling story tempted outsiders to look mainly at model size. Bigger parameter count was easy to headline. It turned into a scoreboard number. But parameter count is not the only axis. Hoffmann and colleagues' 	N04.008: source IDs S-0015. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.009	04	The Scaling Bet	S-0015	1	body_or_heading_cue	This is the Chinchilla correction. It did not say scale was over. It said scale had to be balanced. If the budget is compute, then the question is how to allocate compute between a larger model and more training tokens. 	N04.009: source IDs S-0015. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.010	04	The Scaling Bet	S-0015	1	body_or_heading_cue	The Chinchilla lesson also points toward the data chapter. If compute-optimal training asks for more tokens, then the supply, quality, legality, duplication, language mix, code share, and contamination profile of data be	N04.010: source IDs S-0015. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.011	04	The Scaling Bet	S-0015	1	body_or_heading_cue	This pass does not add a full dataset source pack; that belongs in Chapter 17. But Chapter 3 needs the conceptual bridge. Chinchilla's compute/data balance makes data quantity part of the scaling equation, while the rest	N04.011: source IDs S-0015. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.012	04	The Scaling Bet	S-0016	1	body_or_heading_cue	PaLM belongs here as a bounded example of the scaling era moving through a major lab. The PaLM paper presented a large language model trained with Google's Pathways system and framed scaling as part of a broader infrastr	N04.012: source IDs S-0016. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.013	04	The Scaling Bet	S-0016	1	body_or_heading_cue	PaLM also shows why scaling was never only a model story. Infrastructure systems, distributed training, hardware strategy, and organizational patience mattered. S-0016 A scaling law can fit on a chart. A frontier model r	N04.013: source IDs S-0016. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
I-0249	N04.014	04	The Scaling Bet	S-0004	1	body_or_heading_cue	The safe statement is that larger models often showed new or stronger behaviors on tasks and benchmarks, and GPT-3 made in-context learning a central topic. S-0004 The unsafe statement is that scale guarantees qualitativ	N04.014: source IDs S-0004. Placeholder only; expand later with bibliographic detail, page anchors, rights caveats, and blocked-claim boundaries.
