check_id	gate_id	evidence	result	decision	notes
CH13PDF-001	CH13QA-001	pdf=C:/AI/TEMP/World_Of_Computing/rendered/chapter13_i0079/chapter13_i0079_leaderboard_spread.pdf; page_images=C:/AI/TEMP/World_Of_Computing/rendered/chapter13_i0079/chapter13_i0079_leaderboard_spread_p01.png;C:/AI/TEMP/World_Of_Computing/rendered/chapter13_i0079/chapter13_i0079_leaderboard_spread_p02.png	pass	pdf_gate_passed	The render promotes the leaderboard sequence to its own spread and does not repeat the source-section heading.
CH13PDF-002	CH13QA-002	A-0014_page=1; A-0013_page=2	pass	pdf_gate_passed	A-0014 methodology page precedes the A-0013 historical chart page.
CH13PDF-003	CH13QA-003	glossary_index=280; A0014_index=488; page1_contains_terms=True	pass	pdf_gate_passed	Glossary terms appear before the methodology figure label.
CH13PDF-004	CH13QA-004	A-0014 original=1400x860; rendered_width=426pt; scale=0.304; page_image=C:/AI/TEMP/World_Of_Computing/rendered/chapter13_i0079/chapter13_i0079_leaderboard_spread_p01.png	pass_with_caveat	pdf_gate_passed_for_current_spread	A-0014 is rendered as the actual SVG asset; final trim/style may still require a rerender.
CH13PDF-005	CH13QA-005	A-0013 caption text includes text_style_control, latest, overall, top twelve, 2026-05-19, S-0080/SNAP-20260525-008, and uncertainty-overlap.	pass	pdf_gate_passed	Historical-slice scope survives PDF text extraction beside A-0013.
CH13PDF-006	CH13QA-006	A-0013_index=1004; footnote_index=1258; same_page=True	pass	pdf_gate_passed	The shared footnote appears on the same page as A-0013 and before the price divider.
CH13PDF-007	CH13QA-007	prohibited_index=1470; divider_index=1659	pass	pdf_gate_passed	Prohibited-use language appears after the chart footnote and before the price-quality handoff.
CH13PDF-008	CH13QA-008	Price-quality divider explicitly states A-0013 is not a price-quality chart and C-0046 remains active.	pass	pdf_gate_passed	The divider precedes any future price/rank material in the rendered spread.
CH13PDF-009	CH13QA-009	Prohibited shortcuts occur only inside the explicit prohibited-use note in extracted text.	pass	pdf_gate_passed	No heading or caption promotes live/current/best-model wording.
CH13PDF-010	CH13QA-010	A-0013 original=1400x900; rendered_width=708pt; scale=0.506; page_image=C:/AI/TEMP/World_Of_Computing/rendered/chapter13_i0079/chapter13_i0079_leaderboard_spread_p02.png	pass_with_caveat	pdf_gate_passed_for_current_spread	A-0013 is rendered as the actual SVG asset at near full landscape width; final trim/style may still require a rerender.
CH13PDF-011	CH13QA-011	Captions/source notes include S-0036/S-0056/S-0057/S-0080/SNAP-20260525-008 for A-0014 and S-0080/SNAP-20260525-008 for A-0013.	pass	pdf_gate_passed	Source/provenance handles survive as searchable PDF text near the figures.
CH13PDF-012	CH13QA-012	Render adds only layout labels, captions, footnote, prohibited-use language, and C-0046 divider from existing appendix gates.	pass	pdf_gate_passed	No new rank, price, context-window, benchmark-superiority, release-status, safety, latency, coding, or enterprise-usefulness claim is introduced.
