issue_id	issue_type	location	evidence	current_risk	decision_needed	next_pass_bias
I0110-GAP-01	missing_opener	Chapter 1 The Shock	No substantial Chapter 1 manuscript file exists; Chapter 7 covers ChatGPT as interface event but not as book opener.	high: reader lacks central question and first-page narrative hook	Create a distinct Chapter 1 using source-safe ChatGPT shock material without cannibalizing Chapter 7.	after current pending queue, prioritize opener once source/photo package improves
I0110-GAP-02	file_numbering_drift	Chapters 2-4	Existing files 01, 02, and 03 map to outline Chapters 2, 3, and 4.	medium: build/render order can accidentally imply the wrong opening sequence.	Maintain an explicit build map or rename only in a dedicated non-content pass.	defer renaming until all early chapters have stable drafts
I0110-GAP-03	missing_platform_chapters	Chapters 8-9	No Microsoft/OpenAI/cloud or Google/DeepMind/Gemini draft exists.	high: the institutional race is unbalanced toward OpenAI/NVIDIA/Anthropic/Meta/China.	Draft Chapters 8 and 9 with local source captures before more late-book polish.	favor I-0111 and I-0113 soon
I0110-GAP-04	unplaced_anthropic_spine	manuscript/12-anthropic-and-claude-spine-section.md	The current file numbered 12 is Anthropic/Claude, while the outline Chapter 12 is Europe/xAI/rest-of-frontier.	high: strong material could silently displace a mandatory Mistral/xAI/frontier chapter.	Choose either a formal outline swap or place Anthropic material across Chapters 6, 18, 20, and possibly a renamed slot.	resolve before final chapter numbering/render
I0110-GAP-05	missing_cuda_foundation	Chapter 14	Chapter 15 GTC and Chapter 16 infrastructure exist, but no CUDA/GPU moat chapter exists.	high: hardware narrative starts at keynote stagecraft instead of the software/hardware moat.	Draft Chapter 14 before adding more NVIDIA stage visuals.	prioritize after Microsoft/Google or asset pass
I0110-GAP-06	asset_concentration	Chapters 15-16 and 20	Manifest usage is dense around GTC, infrastructure diagrams, and Chapter 20 SVGs; photo/screenshot slots remain around six.	high: visual layer reads diagram-heavy and NVIDIA-heavy.	Acquire non-NVIDIA screenshot/photo-slot provenance across ChatGPT, Claude, Llama, Qwen/DeepSeek, Gemini, and agents.	favor I-0112 soon
I0110-GAP-07	agent_overlap	Chapters 18-20	Chapter 20 now covers Claude Code, harnesses, permissions, benchmarks, and workflows; Chapters 18 and 19 remain missing.	high: one case-study chapter is carrying general agent/tool/code history.	Make Chapter 18 the general tool/RAG/MCP turn and Chapter 19 the code-as-native-language history.	favor I-0115 and a later Chapter 19 pass
I0110-GAP-08	late_book_absence	Chapters 21-24	Reasoning, economics, trust, and synthesis are all missing.	high: the book currently has no final act.	Draft after middle spine stabilizes enough to know what the ending must resolve.	queue future late-book batch after 18/19
I0110-GAP-09	appendix_posture	Chapter 13	Chapter 13 file and sidecars still use appendix language though outline needs a main chapter.	medium: evaluation chapter may feel supplemental instead of central.	Convert title/transition posture in a future structure/prose pass.	defer until Chapter 12/14 neighbors exist
I0110-GAP-10	source_density_vs_readability	Chapters 13, 15, 16	Several drafted chapters have very dense cue counts.	medium: source discipline can turn into visible clutter if final notes are not designed.	Transfer note-system lessons from prior render QA before full PDF production.	perform note/render pass after more chapters exist
