asset_id	category	subject	organization_or_role	source_page_url	source_asset_url	local_path	sha256	file_size	width	height	quality_score	quality_note	rights_status	story_purpose	blocked_claims
A-0284-001	source_image	NVIDIA AI	NVIDIA	https://www.nvidia.com/en-us/ai/	https://www.nvidia.com/content/dam/en-zz/Solutions/ai/nvidia-ai-agents-og.jpg	assets/private_use_photos/i0284_source_images/nvidia-nvidia-ai.jpg	e55e513bb793ab055fa0eeb03b8112ecc58a317024c451ea065e131a44279906	102706	1200	630	100.0	mp=0.76; contrast=253	private_use_source_image_from_public_page	AI platform/source surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-002	source_image	NVIDIA Blackwell	NVIDIA	https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/	https://www.nvidia.com/content/dam/en-zz/Solutions/data-center/technologies/blackwell-architecture/nvidia-blackwell-architecture-og.jpg	assets/private_use_photos/i0284_source_images/nvidia-nvidia-blackwell.jpg	ebb7c143d60f2c1f3fdbb70e437adba73ef979ad93aaaece75342fc7736531ec	70862	1200	630	100.0	mp=0.76; contrast=238	private_use_source_image_from_public_page	Blackwell hardware texture	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-003	source_image	NVIDIA GTC	NVIDIA	https://www.nvidia.com/gtc/	https://www.nvidia.com/content/dam/en-zz/Solutions/gtc/social-image/gtc26-web-homepage-best-of-gtc-og.jpg	assets/private_use_photos/i0284_source_images/nvidia-nvidia-gtc.jpg	5793eacfbcfa796baad5f1709095b94619341ec337788adf08b13eaa57691ebf	468257	1200	630	100.0	mp=0.76; contrast=255	private_use_source_image_from_public_page	GTC public event surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-004	source_image	AMD Instinct	AMD	https://www.amd.com/en/products/accelerators/instinct.html	https://www.amd.com/content/dam/amd/en/images/products/data-centers/4711051-instinct-family-teaser.jpg	assets/private_use_photos/i0284_source_images/amd-amd-instinct.jpg	40a7823b5db48c26f13dfb39e400f6fdc6c2ae1c862148d74237ce3b90cdb17e	193615	1200	675	100.0	mp=0.81; contrast=255	private_use_source_image_from_public_page	accelerator competitor texture	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-005	source_image	CoreWeave	CoreWeave	https://www.coreweave.com/	https://cdn.prod.website-files.com/62ba1fb86485b6d5029975c4/67782a9cb02bc934fae303cb_coreweave_share_v2.png	assets/private_use_photos/i0284_source_images/coreweave-coreweave.png	1e3bd0bb23ff559851ad9ebba3d56f48fbb7de15ec3519ad575e3206ffea0617	56902	5000	2625	100.0	mp=13.12; contrast=255	private_use_source_image_from_public_page	AI cloud/datacenter texture	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-006	source_image	OpenAI API	OpenAI	https://openai.com/api/	https://images.ctfassets.net/kftzwdyauwt9/2QkEfHzYEJhFvNWAkNolg5/264f9db2d3020b1ff65c12aa9c6632e0/API_Refresh_Art_Card_1920x108.png?w=1600&h=900&fit=fill	assets/private_use_photos/i0284_source_images/openai-openai-api.png	f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee	360298	1600	900	98.4	mp=1.44; contrast=106	private_use_source_image_from_public_page	developer API product surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-007	source_image	Anthropic Claude	Anthropic	https://www.anthropic.com/claude	https://cdn.prod.website-files.com/6889473510b50328dbb70ae6/68c469d23594abeb9ab6ee48_70ed020ecf8fa028b9bc95fa819720b6_og_claude-generic.jpg	assets/private_use_photos/i0284_source_images/anthropic-anthropic-claude.jpg	c0e341d521cad8e3737ec6239839264baf397f02680b2ac2a632cecbdb403c1c	36953	2400	1260	100.0	mp=3.02; contrast=254	private_use_source_image_from_public_page	Claude product surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-008	source_image	Anthropic Claude 4	Anthropic	https://www.anthropic.com/news/claude-4	https://www.anthropic.com/api/opengraph-illustration?name=Hand%20HeadShapes&backgroundColor=clay	assets/private_use_photos/i0284_source_images/anthropic-anthropic-claude-4.png	6d577367391ab96500eaca5332c879d052672a8e8aae5716f0d5f8d042b468a1	85158	1900	1000	100.0	mp=1.90; contrast=245	private_use_source_image_from_public_page	model launch source surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-009	source_image	DeepSeek	DeepSeek	https://www.deepseek.com/	https://cdn.deepseek.com/images/deepseek-chat-open-graph-image.jpeg	assets/private_use_photos/i0284_source_images/deepseek-deepseek.jpg	013bf4cf3d35a8034fb4e3d49787effa53462e790e74c5efe1d8c3ae7833b857	621850	2082	1118	100.0	mp=2.33; contrast=176	private_use_source_image_from_public_page	China frontier lab/product surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
A-0284-010	source_image	Meta Llama	Meta	https://www.llama.com/	https://scontent-iad3-2.xx.fbcdn.net/v/t39.2365-6/490739250_3984071921832434_899336421867772992_n.png?_nc_cat=103&ccb=1-7&_nc_sid=aa6a2f&_nc_ohc=GD_lewip41sQ7kNvwGXsbht&_nc_oc=AdqmhHpnHTzhJkNEG6juDrElzeFKocGmt0QUbJ1bQon21TJbxsxqcu1_r9UhIOlyQ92yAe2kIbHPIwPQbNclgZ_0&_nc_zt=14&_nc_ht=scontent-iad3-2.xx&_nc_gid=kqRSQBDoR52FcKXFfQLupA&_nc_ss=7b289&oh=00_Af7fRFoBgdDctzcM8USq6J3yYYO-a4KBgNeS5GgifCXamg&oe=6A1C5B3A	assets/private_use_photos/i0284_source_images/meta-meta-llama.png	cdc69798fec9b02973a9967e1f3287d82954836b874d620c5d7560d907e86509	383580	1200	630	100.0	mp=0.76; contrast=200	private_use_source_image_from_public_page	open-weight model surface	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
