"pass_id"	"action_id"	"priority"	"chapter"	"title"	"action_type"	"word_count"	"target_delta"	"action"	"guardrail"
"I-0239"	"WCA-CH01"	"P1"	"CH01"	"The Shock"	"expansion_needed"	"3844"	"+606"	"Keep opener near current length; add only if later source-note/render apparatus requires smoother front matter."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH02"	"P1"	"CH02"	"Before the Transformer"	"expansion_needed"	"3670"	"+780"	"Add 450-650 words of character/source texture around embeddings, recurrence bottlenecks, and the pressure that made attention feel necessary."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH03"	"P1"	"CH03"	"Attention Catches Fire"	"expansion_needed"	"3674"	"+776"	"Add 450-650 words of concrete mechanism explanation and one reader-facing analogy before final render."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH04"	"P1"	"CH04"	"The Scaling Bet"	"expansion_needed"	"3653"	"+797"	"Add 450-700 words on scaling-law stakes, Chinchilla balance, and benchmark caveats without generic futurism."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH05"	"P1"	"CH05"	"GPT-1 to GPT-3: The Door Opens"	"compression_or_partition_review"	"5488"	"-688"	"Compress 400-600 words or move overlap with Chapter 19/Copilot history to notes if source-density repair does not justify the length."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH08"	"P1"	"CH08"	"Microsoft, OpenAI, and the Cloud Bargain"	"expansion_needed"	"3832"	"+618"	"Add 350-600 words of enterprise/cloud scene texture and Azure/Copilot handoff, sourced beside the prose."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH09"	"P1"	"CH09"	"Google and DeepMind Wake the Sleeping Giant"	"expansion_needed"	"3965"	"+485"	"Add 300-600 words of Google/DeepMind institutional stakes and TPU/Gemini product handoff."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH10"	"P1"	"CH10"	"Meta, Llama, and the Open-Weight Shock"	"expansion_needed"	"3840"	"+610"	"Add 300-500 words only if it clarifies open-weight consequences; otherwise keep lean."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH11"	"P1"	"CH11"	"The Chinese Frontier"	"expansion_needed"	"3823"	"+627"	"Add 350-600 words of China/open-frontier connective tissue, but keep unsupported family lanes quarantined."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH12"	"P0"	"CH12"	"Europe, xAI, and the Rest of the Frontier"	"compound_structure_review"	"7613"	"-1800"	"Resolve compound structure: either trim 1200-1800 words by moving Anthropic sidecar material into Chapter 6/20/notes, or explicitly authorize a long compound frontier chapter after source-density review."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH13"	"P1"	"CH13"	"Benchmarks, Arenas, and the Mirage of Rank"	"expansion_needed"	"3935"	"+515"	"Add 350-600 words of reader-facing leaderboard theater and benchmark caveat narrative; remove appendix posture."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH14"	"P1"	"CH14"	"NVIDIA and CUDA: The Moat Under the Moat"	"expansion_needed"	"3947"	"+503"	"Add 250-500 words of CUDA/developer-habit texture if render rhythm permits."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
"I-0239"	"WCA-CH16"	"P1"	"CH16"	"Datacenters, Power, and the Physical Internet"	"compression_or_partition_review"	"5266"	"-466"	"Compress 300-500 words if power/datacenter evidence repeats visual captions; keep physical-internet scene."	"No filler; any growth must add sourced scene, mechanism clarity, transition force, or reader memory."
